
[00:00:00.000 --> 00:00:01.240]   - Thank you, Carla.
[00:00:01.240 --> 00:00:03.300]   Congratulations to all the baptism candidates.
[00:00:03.300 --> 00:00:07.760]   What a wonderful day to celebrate together.
[00:00:07.760 --> 00:00:10.240]   And so yeah, as Carla said, over the past five weeks,
[00:00:10.240 --> 00:00:12.520]   we've been exploring right through the Old Testament,
[00:00:12.520 --> 00:00:15.040]   these encounters with God.
[00:00:15.040 --> 00:00:16.840]   And through looking at the different characters
[00:00:16.840 --> 00:00:18.720]   and the encounters they've had,
[00:00:18.720 --> 00:00:20.920]   the hope is that you've been challenged,
[00:00:20.920 --> 00:00:23.920]   you've been inspired, and hopefully even changed
[00:00:23.920 --> 00:00:26.180]   as you start to apply some of these things
[00:00:26.180 --> 00:00:28.620]   that we've been talking about into your own life.
[00:00:29.600 --> 00:00:31.680]   The whole heart behind this series was that,
[00:00:31.680 --> 00:00:33.160]   you know, right at the beginning of the year,
[00:00:33.160 --> 00:00:34.140]   I'm not sure if you remember,
[00:00:34.140 --> 00:00:38.400]   the word spoken over us by the Lord was intimacy.
[00:00:38.400 --> 00:00:41.200]   And these encounters prove that God is a God
[00:00:41.200 --> 00:00:42.920]   that wants to be close to us,
[00:00:42.920 --> 00:00:44.260]   that wants us to be close to him,
[00:00:44.260 --> 00:00:47.680]   that wants to reveal things about himself to us
[00:00:47.680 --> 00:00:49.380]   so that we can get to know him.
[00:00:49.380 --> 00:00:52.920]   However, and this is the other side of the coin,
[00:00:52.920 --> 00:00:56.400]   being close to God, encountering him in all we do,
[00:00:56.400 --> 00:00:58.680]   knowing and feeling the love of Jesus
[00:00:58.680 --> 00:01:01.160]   is not necessarily the end goal
[00:01:01.160 --> 00:01:03.920]   of what it means to call yourself a Christian.
[00:01:03.920 --> 00:01:06.240]   And yes, over the summer, right,
[00:01:06.240 --> 00:01:08.360]   we've had some incredible moments in this room,
[00:01:08.360 --> 00:01:10.120]   even this morning today.
[00:01:10.120 --> 00:01:11.600]   There have been times where we've been worshiping
[00:01:11.600 --> 00:01:12.760]   when it feels like we're worshiping
[00:01:12.760 --> 00:01:14.560]   with the angels themselves in heaven, right?
[00:01:14.560 --> 00:01:19.240]   Just really passionate, intimate moments of worship.
[00:01:19.240 --> 00:01:21.520]   There have been stories and testimonies shared
[00:01:21.520 --> 00:01:22.440]   where we've been moved,
[00:01:22.440 --> 00:01:24.880]   it's been encouraging for our souls.
[00:01:24.880 --> 00:01:26.560]   You've heard sermons, hopefully that you've said,
[00:01:26.560 --> 00:01:28.720]   "Yes, that's a word for me, that's so good,
