
[00:00:00.000 --> 00:00:07.000]  剛才說了我待會結束崇拜會去一個婚禮
[00:00:07.000 --> 00:00:09.000]  當我在想的時候
[00:00:09.000 --> 00:00:12.000]  在最開始的講道
[00:00:12.000 --> 00:00:15.000]  我想起今天的訊息
[00:00:15.000 --> 00:00:18.000]  和我自己的經歷
[00:00:18.000 --> 00:00:20.000]  我自己的婚禮
[00:00:20.000 --> 00:00:22.000]  我昨晚跟Michi說
[00:00:22.000 --> 00:00:26.000]  我要分享一下我們結婚的事
[00:00:26.000 --> 00:00:28.000]  然後Michi說你又把我放上台
[00:00:28.000 --> 00:00:30.000]  沒辦法了
[00:00:30.000 --> 00:00:32.000]  我們教會的其中一個傳統
[00:00:32.000 --> 00:00:34.000]  不是把人放上台
[00:00:34.000 --> 00:00:35.000]  我們教會的傳統是
[00:00:35.000 --> 00:00:37.000]  我們都會很真誠很願意
[00:00:37.000 --> 00:00:39.000]  去分享我們自己的生命
[00:00:39.000 --> 00:00:42.000]  讓我們大家可以彼此一起去分享生命
[00:00:42.000 --> 00:00:48.000]  說回我們踏入我們今年第七年的婚姻
[00:00:48.000 --> 00:00:51.000]  應該沒有記錯吧
[00:00:51.000 --> 00:00:52.000]  為什麼呢
[00:00:52.000 --> 00:00:53.000]  經常都好像有點混淆
[00:00:53.000 --> 00:00:54.000]  不太肯定
[00:00:54.000 --> 00:00:58.000]  因為我們的婚禮延遲了半年
[00:00:58.000 --> 00:01:01.000]  話說我本身是一個浪子
[00:01:01.000 --> 00:01:05.000]  不是聖經所說的浪子的比喻
[00:01:05.000 --> 00:01:08.000]  而是一個情場的浪子
[00:01:08.000 --> 00:01:10.000]  當然還年輕的時候
[00:01:10.000 --> 00:01:13.000]  還有未信主之前
[00:01:13.000 --> 00:01:15.000]  當時我的感情生活
[00:01:15.000 --> 00:01:17.000]  未信主之前
[00:01:17.000 --> 00:01:19.000]  很混亂的
[00:01:19.000 --> 00:01:20.000]  關係很混亂
[00:01:20.000 --> 00:01:23.000]  但其實不是一件特別的事
[00:01:23.000 --> 00:01:25.000]  也不是一件新鮮的事
[00:01:25.000 --> 00:01:27.000]  這只不過是一個社會主流文化的
[00:01:27.000 --> 00:01:30.000]  一種很常見的現象
[00:01:30.000 --> 00:01:32.000]  感情關係
[00:01:32.000 --> 00:01:33.000]  感覺先行
[00:01:33.000 --> 00:01:36.000]  有感覺和合不合就一起
[00:01:36.000 --> 00:01:39.000]  不合就分開
[00:01:39.000 --> 00:01:42.000]  這個觀念其實一直影響了我很多年
[00:01:42.000 --> 00:01:43.000]  直至我信了主之後
[00:01:43.000 --> 00:01:46.000]  我發覺在神當中的愛
[00:01:46.000 --> 00:01:48.000]  其實不是這樣的
[00:01:48.000 --> 00:01:50.000]  我用了五年的時間
[00:01:50.000 --> 00:01:53.000]  去整理自己的生命
[00:01:53.000 --> 00:01:57.000]  去重新學習如何建立自己的生命
[00:01:57.000 --> 00:01:59.000]  同時與神的關係
[00:01:59.000 --> 00:02:01.000]  和人與人之間的關係
[00:02:01.000 --> 00:02:03.000]  直到有一天
[00:02:03.000 --> 00:02:07.000]  我會去求神幫助自己
[00:02:07.000 --> 00:02:08.000]  去預備好自己
