
[00:00:00.000 --> 00:00:03.720]  今天我們延續我們的講道系列
[00:00:03.720 --> 00:00:05.480]  未知領域
[00:00:05.480 --> 00:00:11.000]  未知領域是我們在今年教會的意象
[00:00:11.000 --> 00:00:12.800]  當我們講公義
[00:00:12.800 --> 00:00:16.240]  公義也是上帝一直放在我們心中
[00:00:16.240 --> 00:00:19.080]  要我們去回應的一個呼召
[00:00:19.080 --> 00:00:21.080]  當未知領域遇上公義
[00:00:21.080 --> 00:00:24.480]  其實是一個非常好的課題
[00:00:24.480 --> 00:00:25.040]  為什麼呢?
[00:00:25.040 --> 00:00:28.480]  就好像兩樣都很離地的東西走在一起的時候
[00:00:28.480 --> 00:00:29.080]  是不是?
[00:00:29.080 --> 00:00:31.480]  會不會講完之後大家都好像
[00:00:31.480 --> 00:00:32.840]  聽完好像沒聽過
[00:00:32.840 --> 00:00:35.520]  或者好像一團運一樣呢?
[00:00:35.520 --> 00:00:37.160]  放心,我們有很多團運
[00:00:37.160 --> 00:00:39.680]  當很多團運走在一起會怎樣?
[00:00:39.680 --> 00:00:41.080]  就會落地,是不是?
[00:00:41.080 --> 00:00:44.880]  所以這件事是一定會落地的事
[00:00:44.880 --> 00:00:48.320]  笑話講完了
[00:00:48.320 --> 00:00:51.000]  今天我們的經文是延續
[00:00:51.000 --> 00:00:53.680]  講道系列當中
[00:00:53.680 --> 00:00:54.960]  我們用視路行傳
[00:00:54.960 --> 00:00:57.960]  去看到上帝有什麼亮光給我們
[00:00:57.960 --> 00:00:59.880]  上星期我們講到
[00:00:59.880 --> 00:01:01.960]  被聖靈充滿的彼得
[00:01:01.960 --> 00:01:04.240]  在耶路撒冷講道
[00:01:04.240 --> 00:01:07.040]  一天裡面有三千人信主
[00:01:07.040 --> 00:01:08.920]  然後今天的經文繼續會講
[00:01:08.920 --> 00:01:10.520]  這一班的基督徒
[00:01:10.520 --> 00:01:14.400]  基督門徒他們過著怎樣的教會生活
[00:01:14.400 --> 00:01:17.760]  以致他們受到所有人的喜愛
[00:01:17.760 --> 00:01:22.360]  他們是在講主將不舊的人不斷地加給他們
[00:01:22.360 --> 00:01:27.400]  很多時候當說到我們要學習早期教會的生活
[00:01:27.400 --> 00:01:31.440]  學習怎樣成為一間神所喜悅的教會
[00:01:31.440 --> 00:01:34.320]  我們會很多時候去看視路行傳裡面
[00:01:34.320 --> 00:01:38.160]  這一章,這一節的經文當中
[00:01:38.160 --> 00:01:42.640]  我們經常會讀到視路行傳第二章
[00:01:42.640 --> 00:01:47.280]  四十幾節,四十一到四十七
[00:01:47.280 --> 00:01:49.720]  我讀給大家聽
[00:01:49.720 --> 00:01:54.200]  那一天門徒約添了三千人
[00:01:54.200 --> 00:01:57.520]  他們都專注於使徒的教導
[00:01:57.520 --> 00:01:59.800]  和彼此的團契
[00:01:59.800 --> 00:02:01.840]  抹餅和祈禱
[00:02:01.840 --> 00:02:03.840]  眾人都心存敬畏
[00:02:03.840 --> 00:02:07.640]  使徒們又行了很多奇事神蹟
[00:02:07.640 --> 00:02:10.640]  信的人都聚在一起,凡物公用
[00:02:10.640 --> 00:02:12.800]  又賣了田產和家業
[00:02:12.800 --> 00:02:15.760]  照每一個人所需要的分給他們
