
[00:00:00.000 --> 00:00:04.880]  近年當我有機會認識一些新朋友或者新同事
[00:00:04.880 --> 00:00:09.360]  當他們知道我過往的工作或讀書背景後
[00:00:09.360 --> 00:00:11.000]  他們都會很好奇
[00:00:11.000 --> 00:00:13.080]  有一個同事甚至敢問過我
[00:00:13.080 --> 00:00:16.960]  他說:「Ian Lok,通常我認識很多人」
[00:00:16.960 --> 00:00:19.000]  「都是做完很多secular的工作」
[00:00:19.000 --> 00:00:22.960]  「才去讀神學、做傳道人、做宣教士」
[00:00:22.960 --> 00:00:25.120]  「但為什麼你是倒轉的呢?」
[00:00:25.120 --> 00:00:27.480]  「你是先做宣教士,再去讀神學」
[00:00:27.480 --> 00:00:29.600]  「再去做傳道人,之後你讀輔導」
[00:00:29.600 --> 00:00:31.320]  「然後來這裡做輔導員?」
[00:00:31.320 --> 00:00:32.840]  「為什麼你會這樣?」
[00:00:32.840 --> 00:00:35.160]  他很好奇,他很想去問我
[00:00:35.160 --> 00:00:38.320]  但我覺得他背後還想問我的
[00:00:38.320 --> 00:00:39.160]  其實是
[00:00:39.160 --> 00:00:42.720]  「所以你不做傳道人?」
[00:00:42.720 --> 00:00:44.320]  「你不再去宣教了?」
[00:00:44.320 --> 00:00:46.680]  「那你的呼召呢?」
[00:00:46.680 --> 00:00:49.040]  這段時間很多人都會這樣問我
[00:00:49.040 --> 00:00:51.640]  每次聽到這些問題時
[00:00:51.640 --> 00:00:53.480]  我都覺得很有趣
[00:00:53.480 --> 00:00:54.520]  有趣的是
[00:00:54.520 --> 00:00:56.800]  這些問題的背後
[00:00:56.800 --> 00:01:00.520]  其實都反映了我們對呼召
[00:01:00.520 --> 00:01:02.680]  或者召命的一些很牢固
[00:01:02.680 --> 00:01:04.920]  很既有的想法
[00:01:04.920 --> 00:01:08.160]  原來呼召和召命
[00:01:08.160 --> 00:01:11.280]  很多時候都是說我們全時間侍奉
[00:01:11.280 --> 00:01:13.680]  或者做傳道人、做宣教士
[00:01:13.680 --> 00:01:15.840]  在教會、機構裡面侍奉等等
[00:01:15.840 --> 00:01:18.680]  好像是屬於他們,好像是他們專屬
[00:01:18.680 --> 00:01:21.160]  甚至他們會覺得這些崗位
[00:01:21.160 --> 00:01:23.160]  侍奉是神聖一點的
[00:01:23.160 --> 00:01:24.520]  是特別重要一點的
[00:01:24.520 --> 00:01:25.200]  或者特別
[00:01:25.200 --> 00:01:26.800]  總之是特別一點的
[00:01:26.800 --> 00:01:30.920]  但如果這樣說是成立的話
[00:01:30.920 --> 00:01:32.680]  其實這個想法
[00:01:32.680 --> 00:01:35.680]  亦都另一邊廂在說的是
[00:01:35.680 --> 00:01:38.760]  可能我們不多不少都會覺得
[00:01:38.760 --> 00:01:40.480]  一般的工作
[00:01:40.480 --> 00:01:43.120]  可能和呼召談不上關係
[00:01:43.120 --> 00:01:46.000]  或者有一段很大的距離
[00:01:46.000 --> 00:01:47.880]  我不是說我們沒有召命
[00:01:47.880 --> 00:01:48.720]  我們每個人都有
[00:01:48.720 --> 00:01:49.320]  沒錯
[00:01:49.320 --> 00:01:51.920]  這幾個星期我們在說的就是
[00:01:51.920 --> 00:01:53.920]  我們知道上帝創造每一個人
[00:01:53.920 --> 00:01:56.320]  在這個地上都有一個召命
[00:01:56.320 --> 00:01:58.240]  但是有時候
[00:01:58.240 --> 00:01:59.400]  又真的不可以否認的時候
[00:01:59.400 --> 00:02:00.440]  我們會覺得
[00:02:00.440 --> 00:02:03.240]  真的好像和我們有點緣
[00:02:03.240 --> 00:02:05.640]  例如我現在在學校裡面
[00:02:05.640 --> 00:02:07.080]  我是做輔導工作
[00:02:07.080 --> 00:02:09.800]  我自己都是一個受過神學訓練的人
[00:02:09.800 --> 00:02:10.840]  我一定知道的
[00:02:10.840 --> 00:02:11.640]  我進到學校
[00:02:11.640 --> 00:02:13.080]  我一定帶著愛
[00:02:13.080 --> 00:02:13.960]  帶著使命
[00:02:13.960 --> 00:02:14.800]  帶著祝福
[00:02:14.800 --> 00:02:16.280]  希望接觸不同的小朋友
[00:02:16.280 --> 00:02:17.840]  希望接觸不同的家庭
[00:02:17.840 --> 00:02:20.360]  至少我進去之前是這樣想的
[00:02:20.360 --> 00:02:22.400]  理論上當然是這樣
[00:02:22.400 --> 00:02:25.400]  但是前天他們就
[00:02:25.400 --> 00:02:27.040]  都不知道開心還是不開心
[00:02:27.040 --> 00:02:28.040]  多謝
[00:02:28.040 --> 00:02:28.840]  學期末
[00:02:28.840 --> 00:02:30.240]  我想說
[00:02:30.240 --> 00:02:31.880]  每一年最忙的時候
[00:02:31.880 --> 00:02:34.400]  學校就是學期頭和學期尾
[00:02:34.400 --> 00:02:36.160]  因為我們close up很多事情
[00:02:36.160 --> 00:02:36.960]  很多事情要做
[00:02:36.960 --> 00:02:37.560]  我記得
[00:02:37.560 --> 00:02:39.560]  我想說過去這個月
[00:02:39.560 --> 00:02:41.760]  每一天七點半不夠回到學校
[00:02:41.760 --> 00:02:43.480]  然後就排山倒海地來了
[00:02:43.480 --> 00:02:46.160]  一開始就派禮物
[00:02:46.160 --> 00:02:47.320]  做獎勵計劃
[00:02:47.320 --> 00:02:48.560]  然後就見學生
[00:02:48.560 --> 00:02:49.960]  見學生的大活動
[00:02:49.960 --> 00:02:51.680]  然後就不同的濕水的東西
[00:02:51.680 --> 00:02:52.880]  可能貼上貼紙
