
[00:00:00.000 --> 00:00:00.840]   Amen, amen.
[00:00:00.840 --> 00:00:01.680]   Can we put our hands together
[00:00:01.680 --> 00:00:04.800]   and thank our worship team as always.
[00:00:04.800 --> 00:00:09.200]   Have a seat, it's great to have you here.
[00:00:09.200 --> 00:00:10.920]   Welcome to the 11 o'clock service.
[00:00:10.920 --> 00:00:12.840]   We have four services at the Vine on a Sunday,
[00:00:12.840 --> 00:00:16.200]   9, 15, 11, two, and four.
[00:00:16.200 --> 00:00:18.520]   If you are here, you're here at the 11.
[00:00:18.520 --> 00:00:20.160]   Welcome everybody online, it's so good to see you.
[00:00:20.160 --> 00:00:21.480]   I know that people are tuning in
[00:00:21.480 --> 00:00:25.200]   from all over the world still to our live stream.
[00:00:25.200 --> 00:00:26.960]   We're so glad if you're part of the Vine Church
[00:00:26.960 --> 00:00:30.040]   outside of Hong Kong, welcome.
[00:00:30.040 --> 00:00:32.720]   Maybe put a comment in the little box there
[00:00:32.720 --> 00:00:34.680]   as you're watching, just let us know where you're from.
[00:00:34.680 --> 00:00:37.160]   It's always good to know that the Vine Church
[00:00:37.160 --> 00:00:41.000]   is more than just what we have as our 50% in this room.
[00:00:41.000 --> 00:00:43.520]   It is also many of you that are watching in this moment.
[00:00:43.520 --> 00:00:45.560]   So welcome to you and welcome to each person
[00:00:45.560 --> 00:00:47.440]   that managed to get a ticket that is here,
[00:00:47.440 --> 00:00:49.240]   that is present, that didn't have a staycation
[00:00:49.240 --> 00:00:51.200]   on the long weekend, welcome.
[00:00:51.200 --> 00:00:53.200]   It's great to have you here with us as well.
[00:00:53.200 --> 00:00:55.520]   I wanna start by telling you about the day
[00:00:55.520 --> 00:00:57.360]   that I was arrested.
[00:00:57.360 --> 00:01:00.840]   So I was 19 years old at the time.
[00:01:00.840 --> 00:01:02.680]   I was in the first year of university.
[00:01:02.680 --> 00:01:03.840]   Hands up if you were arrested
[00:01:03.840 --> 00:01:05.040]   in your first year at university.
[00:01:05.040 --> 00:01:06.920]   Come on, let's see those, okay.
[00:01:06.920 --> 00:01:09.560]   Now, the only thing you really need to know
[00:01:09.560 --> 00:01:10.960]   about me back in those days
[00:01:10.960 --> 00:01:12.680]   when I was a 19 year old at university
[00:01:12.680 --> 00:01:15.320]   was that I had very long hair.
[00:01:15.320 --> 00:01:17.920]   I'm not just talking about like sort of a little bit longer
[00:01:17.920 --> 00:01:19.280]   than you see now, like I need to get
[00:01:19.280 --> 00:01:20.120]   a little bit of a haircut.
[00:01:20.120 --> 00:01:22.120]   I'm talking about like seriously long hair.
[00:01:22.120 --> 00:01:23.960]   I had hair that kind of came down
[00:01:23.960 --> 00:01:26.200]   to like the middle of your back, you know,
[00:01:26.200 --> 00:01:28.600]   ponytail, I'd shave it underneath.
[00:01:28.600 --> 00:01:31.600]   I wore black all the time from head to toe.
[00:01:31.600 --> 00:01:34.400]   I was into death metal music, right?
[00:01:34.400 --> 00:01:37.080]   This was before I got saved, just wanna say, all right.
[00:01:37.080 --> 00:01:38.960]   But I was into this like crazy music.
[00:01:38.960 --> 00:01:40.680]   I was like wearing black all the time
[00:01:40.680 --> 00:01:42.480]   and I had super long hair.
[00:01:42.480 --> 00:01:44.000]   I thought I was super cool.
[00:01:44.000 --> 00:01:46.760]   Now, the problem was I wasn't cool.
[00:01:46.760 --> 00:01:50.920]   The problem was I went to a university called Durham
[00:01:50.920 --> 00:01:52.200]   in the Northeast of England
[00:01:53.080 --> 00:01:56.280]   and Durham is a small university town,
[00:01:56.280 --> 00:01:57.680]   but there's a bit of an issue.
[00:01:57.680 --> 00:01:59.640]   Number one, the surrounding area of Durham
[00:01:59.640 --> 00:02:01.640]   is kind of like a working class North of England
[00:02:01.640 --> 00:02:04.840]   kind of surrounding area, very proud of its industry.
[00:02:04.840 --> 00:02:07.200]   And most of the men within the working class there
[00:02:07.200 --> 00:02:08.440]   never would have long hair.
[00:02:08.440 --> 00:02:11.640]   In fact, they look at long haired people as weirdos, right?
[00:02:11.640 --> 00:02:13.000]   Likewise, at my university,
[00:02:13.000 --> 00:02:15.320]   it was kind of like this middle to upper class university
[00:02:15.320 --> 00:02:17.000]   where a lot of the kids that were studying there
[00:02:17.000 --> 00:02:18.560]   had gone to public schools in the UK.
[00:02:18.560 --> 00:02:20.640]   And if you were a guy that went to public school in the UK,
[00:02:20.640 --> 00:02:22.920]   you did not have long hair tied in your ponytail
[00:02:22.920 --> 00:02:24.800]   down the middle of your back wearing black all day.
[00:02:24.800 --> 00:02:27.480]   So basically I stood out
[00:02:27.480 --> 00:02:32.200]   in terms of who I was at Durham like completely, right?
[00:02:32.200 --> 00:02:34.360]   So much so that by the end of the first year,
[00:02:34.360 --> 00:02:36.560]   I was thinking about cutting my hair
[00:02:36.560 --> 00:02:40.320]   just so that I could fit in a little bit better.
[00:02:40.320 --> 00:02:43.720]   Now on this one particular day that I got arrested,
[00:02:43.720 --> 00:02:46.440]   I was walking down this long road
[00:02:46.440 --> 00:02:48.920]   that goes from the top of where I was living at the time
[00:02:48.920 --> 00:02:51.760]   to the bottom of Durham where my university lecture hall was.
[00:02:51.760 --> 00:02:54.200]   And I'm walking down this road
[00:02:54.200 --> 00:02:56.960]   and on the other side of the road, about a hundred yards away,
[00:02:56.960 --> 00:03:00.600]   a policeman is walking up in the opposite direction.
[00:03:00.600 --> 00:03:02.400]   And as the policeman's walking up,
[00:03:02.400 --> 00:03:06.360]   he gazes over and he sees me coming down
[00:03:06.360 --> 00:03:08.640]   on the other side of the road.
[00:03:08.640 --> 00:03:12.240]   And immediately I had this sense, you know, the spider sense.
[00:03:12.240 --> 00:03:14.320]   There's a policeman staring at you
[00:03:14.320 --> 00:03:17.080]   and suddenly you don't feel like 100% comfortable anymore.
[00:03:17.080 --> 00:03:18.280]   Like you're like, what is wrong?
[00:03:18.280 --> 00:03:19.280]   Have I done something?
[00:03:19.280 --> 00:03:20.560]   What's the problem here?
[00:03:20.560 --> 00:03:24.400]   And the officer crosses over onto my side of the street,
[00:03:24.400 --> 00:03:27.640]   walks right up to me and he comes straight up to me.
[00:03:27.640 --> 00:03:29.400]   And this was his opening words.
[00:03:29.400 --> 00:03:31.840]   He says, "You have long hair."
[00:03:31.840 --> 00:03:37.520]   And I'm like, wow, you're perceptive here today, officer.
[00:03:37.520 --> 00:03:39.400]   Right? I'm like, yes, I do.
