
[00:00:00.000 --> 00:00:02.960]  好,大家好嗎?
[00:00:02.960 --> 00:00:06.360]  我現在有點開場白,因為我們在調整咪高峰
[00:00:06.360 --> 00:00:10.000]  我們先吹吹水,不是,先按一下播音機,也不是
[00:00:10.000 --> 00:00:11.000]  不過
[00:00:11.000 --> 00:00:12.000]  (記者:對,很冷)
[00:00:12.000 --> 00:00:14.000]  哦,今天的講題是怎樣讀?
[00:00:14.000 --> 00:00:18.000]  英文?英文反而容易一點,中文我覺得反而要查字典
[00:00:18.000 --> 00:00:21.760]  這個「荊棘與擲泥」,我有沒有讀錯?
[00:00:21.760 --> 00:00:26.000]  有沒有中文的老師在場?如果有的話,歡迎隨時糾正我
[00:00:26.000 --> 00:00:34.000]  好,我們OK了,謝謝Toby
[00:00:34.000 --> 00:00:40.000]  香港是一個很美的地方,是我們的家,是一個國際都會
[00:00:40.000 --> 00:00:44.000]  其實我們香港這裡有很多東西都是舉世聞名,很出名的
[00:00:44.000 --> 00:00:49.000]  例如我們看一看維多利亞港,還有我們山頂的景色
[00:00:49.000 --> 00:00:53.000]  很多戲,你看看,戲突然間都會這樣,就會出這一幕出來
[00:00:53.000 --> 00:00:57.000]  我們的景色是很文明的,食物也很出名的,是吧?
[00:00:57.000 --> 00:01:00.000]  我們的點心也有很多人會特意來吃的
[00:01:00.000 --> 00:01:07.000]  話說,我不知道原來香港有一間吃點心的地方叫「添好運」
[00:01:07.000 --> 00:01:11.000]  是我認識了我太太,去到新加坡之後,他們每個人都問我
[00:01:11.000 --> 00:01:14.000]  我去到新加坡,他們都問我,你們是不是經常吃添好運?
[00:01:14.000 --> 00:01:16.000]  我說,什麼來的?沒聽過
[00:01:16.000 --> 00:01:21.000]  原來是,原來是新加坡是很出名的,我們的點心是很出名的
[00:01:21.000 --> 00:01:23.000]  還有,例如香港有什麼很出名呢?
[00:01:23.000 --> 00:01:26.000]  例如我們也出了一些地靈人傑,也出了一些人才
[00:01:26.000 --> 00:01:29.000]  例如李小龍,揚威了國際
[00:01:29.000 --> 00:01:32.000]  但是可能來到這個年代要說,在荷里活出名的香港人
[00:01:32.000 --> 00:01:37.000]  現在已經不是說李小龍了,現在說的叫Jimmy O-Yang,歐陽萬成
[00:01:37.000 --> 00:01:40.000]  大家有沒有去看他的show?很難買票的
[00:01:40.000 --> 00:01:44.000]  還有,咦,還有一個女孩在這裡
[00:01:44.000 --> 00:01:50.000]  還有就是,我們香港很出名是一個中西的文化交會的地方
[00:01:50.000 --> 00:01:56.000]  很多的容奴裡面,我們可以在這裡感受到很多不同的文化
[00:01:56.000 --> 00:01:58.000]  都在這個地方裡面流露出來
[00:01:58.000 --> 00:02:03.000]  有很多很多可以繼續說下去,都是一些我們很引以為傲的東西
[00:02:03.000 --> 00:02:06.000]  不過同樣地,好像這個世界上很多的地方一樣
[00:02:06.000 --> 00:02:11.000]  我們也有一些,我們不是那麼引以為傲的東西在我們的城市裡面
[00:02:11.000 --> 00:02:12.000]  例如是什麼呢?
[00:02:12.000 --> 00:02:16.000]  例如在我們的職場和我們的學校裡面
[00:02:16.000 --> 00:02:20.000]  在2022年,一家全球的人力資源顧問公司
[00:02:20.000 --> 00:02:23.000]  他發佈了一個叫做全球人才趨勢研究
[00:02:23.000 --> 00:02:28.000]  裡面說到有九成半的香港的僱員
[00:02:28.000 --> 00:02:31.000]  是覺得自己有這個burn out,這個叫做
[00:02:31.000 --> 00:02:41.000]  這個比例是整個亞洲市場中最高的
[00:02:41.000 --> 00:02:43.160]  他們提到的原因包括了
[00:02:43.160 --> 00:02:46.880]  相對於自己的同事受到不公平的對待
[00:02:46.880 --> 00:02:49.920]  有四成的人覺得自己和其他同事相比
[00:02:49.920 --> 00:02:51.920]  對我老闆真的不公平
[00:02:51.920 --> 00:02:56.760]  還有他們覺得他們的付出和回報是不成正比的
[00:02:56.760 --> 00:03:04.040]  因為他們出了半斤力,拿不到一百兩
[00:03:04.040 --> 00:03:09.360]  所以他們覺得自己快要燒盡了
[00:03:09.360 --> 00:03:15.280]  在上一年,2024年,有一家保險公司AXA
[00:03:15.280 --> 00:03:18.240]  他們做了另一個研究發佈
[00:03:18.240 --> 00:03:25.520]  裡面說有77%在職的人士曾經在他們的工作或因為他們的工作
[00:03:25.520 --> 00:03:31.520]  經歷到至少一種精神健康的問題
[00:03:31.520 --> 00:03:35.440]  如果我要繼續說我們的學生的話就不得了了
[00:03:35.440 --> 00:03:40.560]  所以我還是不忍心再說下去
[00:03:40.560 --> 00:03:42.160]  以一個很簡單的說法來說
[00:03:42.160 --> 00:03:46.040]  香港是一個很筋疲力盡的城市
[00:03:46.040 --> 00:03:48.040]  這不是一個誇張的收錢手法
[00:03:48.040 --> 00:03:50.920]  而是絕對有我們的數據來支撐
[00:03:50.920 --> 00:03:53.400]  數據反映的一個事實
[00:03:53.400 --> 00:03:57.000]  我們中間可能有很多人壓力大到一個地步
[00:03:57.000 --> 00:03:58.680]  會令到我們
[00:03:58.680 --> 00:04:02.440]  壓力大到一個地步,你會有一件事很認真去做
[00:04:02.440 --> 00:04:03.880]  就是放假
[00:04:03.880 --> 00:04:08.440]  我們有剛剛放完假,去完旅行回來的
[00:04:08.440 --> 00:04:10.200]  還沒放假,對不起
[00:04:10.200 --> 00:04:12.640]  放假也在這裡翻崇拜的Ivan
[00:04:12.640 --> 00:04:14.280]  Yeah,好耶
[00:04:14.280 --> 00:04:16.280]  還沒放完假,對不起
[00:04:16.280 --> 00:04:17.480]  不要找他
[00:04:17.480 --> 00:04:20.200]  大家有什麼這兩個星期不要找他,他放假了
[00:04:20.200 --> 00:04:22.200]  我們香港人很認真放假
