
[00:00:00.000 --> 00:00:02.000]  今天我們會有Pastor Chapman
[00:00:02.000 --> 00:00:04.000]  也邀請Pastor Chapman上來
[00:00:04.000 --> 00:00:08.680]  Chapman會為我們延續我們講道系列
[00:00:08.680 --> 00:00:10.440]  公義與自我
[00:00:10.440 --> 00:00:12.080]  相信這也是一個很好的時候
[00:00:12.080 --> 00:00:13.680]  讓我們能夠去學習
[00:00:13.680 --> 00:00:14.640]  讓我們能夠領受
[00:00:14.640 --> 00:00:16.440]  甚至乎可能是被挑戰
[00:00:16.440 --> 00:00:18.760]  相信我們也不怕被挑戰
[00:00:18.760 --> 00:00:21.440]  因為上帝就是這樣藉著祂的話語
[00:00:21.440 --> 00:00:24.240]  去提醒我們和鼓勵我們
[00:00:24.240 --> 00:00:26.560]  不如我們也伸出手去為Chapman祈禱
[00:00:28.400 --> 00:00:34.680]  天父我們感謝祢讓我們在公義的系列上繼續去領受
[00:00:34.680 --> 00:00:36.400]  求祢使用Chapman
[00:00:36.400 --> 00:00:39.400]  讓祂被聖靈感動
[00:00:39.400 --> 00:00:43.880]  所準備的一切都能夠傳遞給我們
[00:00:43.880 --> 00:00:48.320]  讓我們更加知道神祢的美意在公義當中
[00:00:48.320 --> 00:00:50.400]  我們祈禱奉靠主耶穌基督的名
[00:00:50.400 --> 00:00:51.400]  Amen
[00:00:51.400 --> 00:00:52.880]  Amen, Thank you Ivan
[00:00:52.880 --> 00:00:55.480]  我也很想去踢球
[00:00:55.480 --> 00:00:57.480]  不過可惜不是在香港
[00:00:57.480 --> 00:00:59.280]  真是可惜
[00:00:59.280 --> 00:01:01.280]  作為一個健身房的球迷
[00:01:01.280 --> 00:01:02.280]  不明白的了
[00:01:02.280 --> 00:01:04.280]  作為一個健身房的球迷
[00:01:04.280 --> 00:01:07.280]  唯有到時在這裡打機去支持你們
[00:01:07.280 --> 00:01:14.280]  我真的很喜歡踢球
[00:01:14.280 --> 00:01:16.280]  看人踢球
[00:01:16.280 --> 00:01:18.280]  我昨晚才看完
[00:01:18.280 --> 00:01:23.280]  在我們這個現代的社會裏面
[00:01:23.280 --> 00:01:27.280]  有一樣東西大家都已經非常之習慣
[00:01:27.280 --> 00:01:29.280]  它的存在
[00:01:29.280 --> 00:01:32.280]  它甚至已經成為了我們每天生活裏面的
[00:01:32.280 --> 00:01:34.280]  成為了一件必需品
[00:01:34.280 --> 00:01:37.280]  你每一天去到哪裏周圍都會見到它
[00:01:37.280 --> 00:01:39.280]  如果有一天你見不到它的話
[00:01:39.280 --> 00:01:42.280]  可能有些人中間會覺得很不自在
[00:01:42.280 --> 00:01:45.280]  甚至可能我們會有些人會有焦慮
[00:01:45.280 --> 00:01:48.280]  在你見到它的地方
[00:01:48.280 --> 00:01:50.280]  或者在每一天你出門口之前
[00:01:50.280 --> 00:01:52.280]  可能是你不見過它
[00:01:52.280 --> 00:01:54.280]  或者你出不到門口
[00:01:54.280 --> 00:01:56.280]  不知道大家知不知道我在說什麼
[00:01:56.280 --> 00:01:58.280]  一人一個
[00:01:58.280 --> 00:02:01.280]  我們在說的是
[00:02:01.280 --> 00:02:04.280]  之前風靡了很多香港女士的
