
[00:00:00.000 --> 00:00:02.580]   (gentle music)
[00:00:02.580 --> 00:00:11.820]   "O come, O come, Emmanuel, and ransom captive Israel,
[00:00:11.820 --> 00:00:16.640]   who mourn in lonely exile here
[00:00:16.640 --> 00:00:20.520]   until the Son of God appears."
[00:00:20.520 --> 00:00:25.440]   I wonder if you can hear the longing
[00:00:25.440 --> 00:00:27.560]   and the crying out for change
[00:00:27.560 --> 00:00:30.920]   that is found in those beautiful lyrics of that famous carol
[00:00:30.920 --> 00:00:34.060]   and in the visual imagery that our creative team created
[00:00:34.060 --> 00:00:36.020]   in that opener for you.
[00:00:36.020 --> 00:00:40.000]   Because this longing, this crying out
[00:00:40.000 --> 00:00:42.280]   for the Son of God to appear
[00:00:42.280 --> 00:00:46.200]   is what sits at the very heart of the Advent season
[00:00:46.200 --> 00:00:50.420]   that we enter into today and over the coming Sundays
[00:00:50.420 --> 00:00:52.820]   that lead up to Christmas morning.
[00:00:52.820 --> 00:00:55.520]   Advent itself is driven actually
[00:00:55.520 --> 00:00:57.640]   from the Latin word Adventus,
[00:00:57.640 --> 00:01:01.160]   which literally means arrival or coming.
[00:01:01.160 --> 00:01:03.760]   And here at the Vine over the last many, many years,
[00:01:03.760 --> 00:01:06.280]   we've always celebrated this idea
[00:01:06.280 --> 00:01:08.680]   that we must prepare ourselves as a church
[00:01:08.680 --> 00:01:12.120]   for the arrival of Jesus who is born on Christmas day.
[00:01:12.120 --> 00:01:15.240]   And so Advent in our celebrations here at the Vine
[00:01:15.240 --> 00:01:17.260]   for as far back as I can remember
[00:01:17.260 --> 00:01:19.520]   have always been about this thought
[00:01:19.520 --> 00:01:21.520]   that Christ was born on Christmas day
[00:01:21.520 --> 00:01:24.240]   and we need to prepare ourselves for his arrival.
[00:01:24.240 --> 00:01:26.080]   And so all of our sermon series
[00:01:26.080 --> 00:01:28.640]   and everything we've kind of preached during this season
[00:01:28.640 --> 00:01:30.200]   has been out of the gospels,
[00:01:30.200 --> 00:01:33.240]   out of the story in Matthew and Luke of Jesus's birth
[00:01:33.240 --> 00:01:35.760]   and the prophetic ways in which that birth happens
[00:01:35.760 --> 00:01:38.940]   and the miraculous things that take place in that moment.
[00:01:38.940 --> 00:01:41.080]   But here's the reality.
[00:01:41.080 --> 00:01:44.760]   The birth of Jesus is actually just one side
[00:01:44.760 --> 00:01:47.800]   of the whole Advent story.
[00:01:47.800 --> 00:01:50.400]   In fact, the season of Advent historically
[00:01:50.400 --> 00:01:53.640]   in the global church for over 2000 years
[00:01:53.640 --> 00:01:56.840]   actually contains two sides to its story.
[00:01:56.840 --> 00:02:00.840]   Yes, it is the side of the story of the arrival of Jesus
[00:02:00.840 --> 00:02:03.000]   as a child in Bethlehem in the manger
[00:02:03.000 --> 00:02:05.400]   and everything that we've celebrated usually,
[00:02:05.400 --> 00:02:09.400]   but it is also the story of Jesus coming back
[00:02:09.400 --> 00:02:12.320]   to the world again at the end of all things
[00:02:12.320 --> 00:02:14.100]   as a conquering king.
[00:02:14.100 --> 00:02:19.960]   Advent, if you will, holds intention these two parts
[00:02:19.960 --> 00:02:22.380]   of the Christmas story.
[00:02:22.380 --> 00:02:24.120]   Christmas, you may not realize,
[00:02:24.120 --> 00:02:26.340]   is not just about the birth of Jesus.
[00:02:26.340 --> 00:02:29.280]   The birth of Jesus starts the redemptive story
[00:02:29.280 --> 00:02:30.120]   of Jesus Christ.
[00:02:30.120 --> 00:02:33.480]   And so Advent as a season for the church
[00:02:33.480 --> 00:02:37.960]   also looks forward in longing for the reality
[00:02:37.960 --> 00:02:40.680]   of the return of Jesus at the end of all things.
[00:02:40.680 --> 00:02:43.840]   And when he comes back, he will, if you will,
[00:02:43.840 --> 00:02:47.160]   complete that total story of redemption
[00:02:47.160 --> 00:02:49.060]   of humanity and creation.
[00:02:50.040 --> 00:02:52.620]   Advent is the wonder of longing
[00:02:52.620 --> 00:02:56.220]   for Christmas to be complete.
[00:02:56.220 --> 00:03:01.180]   It celebrates the birth and the return of Jesus.
[00:03:01.180 --> 00:03:06.340]   If you will, Advent is kind of emphasizing the bookends
[00:03:06.340 --> 00:03:08.380]   around the redemptive story of Christ,
[00:03:08.380 --> 00:03:11.460]   his birth and his return with the idea
[00:03:11.460 --> 00:03:14.220]   that if you could really understand
[00:03:14.220 --> 00:03:16.540]   what is there at the end of all things,
[00:03:16.540 --> 00:03:18.140]   if you could really understand what it's like
[00:03:18.140 --> 00:03:22.040]   to long for Christ to come and step back into this world,
[00:03:22.040 --> 00:03:25.320]   if you can understand that, that actually critically
[00:03:25.320 --> 00:03:28.140]   helps you to fully understand what happens
[00:03:28.140 --> 00:03:29.740]   on Christmas day.
[00:03:29.740 --> 00:03:33.580]   Or I would say it a little bit more challenging
[00:03:33.580 --> 00:03:35.480]   to you in this way.
[00:03:35.480 --> 00:03:38.680]   If you really want to live as best you can
[00:03:38.680 --> 00:03:41.320]   as a Christian in this day's world,
[00:03:41.320 --> 00:03:43.520]   you don't need to know just only
[00:03:43.520 --> 00:03:46.320]   how your Christian story began.
[00:03:46.320 --> 00:03:49.400]   You also need to know how it will end.
[00:03:49.400 --> 00:03:54.580]   For once you see what Christ does at the end of all things,
[00:03:54.580 --> 00:03:58.580]   it makes everything that happens now
[00:03:58.580 --> 00:04:00.840]   come in to the right focus.
[00:04:00.840 --> 00:04:06.980]   I don't know about you, but I'm the sort of person
[00:04:06.980 --> 00:04:09.220]   that actually enjoys watching a movie
[00:04:09.220 --> 00:04:11.980]   the second time more than the first time.
[00:04:11.980 --> 00:04:13.400]   Is anyone else like that?
[00:04:13.400 --> 00:04:15.600]   Like when I watch a movie for the first time,
[00:04:15.600 --> 00:04:18.600]   I have no idea how that movie's going to end.
[00:04:18.600 --> 00:04:20.180]   And of course that creates an excitement
[00:04:20.180 --> 00:04:21.020]   when you're watching it.
[00:04:21.020 --> 00:04:23.200]   You're wondering how it's all gonna turn out at the end,
[00:04:23.200 --> 00:04:24.680]   but it also, at least for me,
[00:04:24.680 --> 00:04:26.380]   creates a little bit of anxiety.
[00:04:26.380 --> 00:04:28.040]   I don't know how this is all gonna play out,
[00:04:28.040 --> 00:04:29.740]   and I don't know if it's gonna end
[00:04:29.740 --> 00:04:31.520]   in a way that I'm gonna be happy with.
[00:04:31.520 --> 00:04:32.820]   Will it all resolve?
[00:04:32.820 --> 00:04:35.120]   Will I leave the theater at the end of watching the movie
[00:04:35.120 --> 00:04:37.620]   feeling like all my expectations were met?
[00:04:37.620 --> 00:04:39.860]   And so when I watch a movie for the first time,
[00:04:39.860 --> 00:04:42.180]   I'm kind of excited, I'm kind of nervous,
[00:04:42.180 --> 00:04:43.880]   I don't know how it's gonna turn out.
[00:04:43.880 --> 00:04:45.980]   But when I watch it the second time,
[00:04:45.980 --> 00:04:48.060]   I know how it ends.
[00:04:48.060 --> 00:04:49.360]   And because I know how it ends,
[00:04:49.360 --> 00:04:52.120]   it informs so much of how I watch it
[00:04:52.120 --> 00:04:54.740]   for that second, third, fourth, or fifth time.
[00:04:54.740 --> 00:04:56.760]   It's fascinating to me that when I know
[00:04:56.760 --> 00:04:59.040]   how the movie's gonna end and resolve itself,
[00:04:59.040 --> 00:05:01.800]   I actually enjoy it so much more.
[00:05:01.800 --> 00:05:04.500]   And I get to see all the little nuances
[00:05:04.500 --> 00:05:07.280]   that I missed the first time I watched it.
[00:05:07.280 --> 00:05:09.420]   All those little things that the director included
[00:05:09.420 --> 00:05:12.240]   about characterizations and conversations
[00:05:12.240 --> 00:05:14.820]   and little plot turns and twists
[00:05:14.820 --> 00:05:16.580]   that actually when you've seen it before,
[00:05:16.580 --> 00:05:17.420]   you watch it and you go,
[00:05:17.420 --> 00:05:19.720]   "Ah, I know what that's really about.
[00:05:19.720 --> 00:05:20.860]   "Oh, I know what's gonna happen
[00:05:20.860 --> 00:05:22.860]   "to that character later on, right?"
[00:05:22.860 --> 00:05:25.020]   And it brings this whole different perspective
[00:05:25.020 --> 00:05:26.560]   to the movie as a whole.
[00:05:26.560 --> 00:05:29.600]   I found for me when I watch a movie a second or third time,
[00:05:29.600 --> 00:05:31.400]   when I know how it ends,
[00:05:31.400 --> 00:05:36.140]   I actually find more purpose and joy in the journey itself.
[00:05:36.140 --> 00:05:39.500]   And I think it's exactly the same for the Bible,
[00:05:39.500 --> 00:05:41.180]   for our scriptures.
[00:05:41.180 --> 00:05:42.640]   I wonder if you've ever wondered
[00:05:42.640 --> 00:05:44.920]   why the Bible doesn't finish
[00:05:44.920 --> 00:05:46.880]   with the letters of the New Testament,
[00:05:46.880 --> 00:05:49.060]   these incredible letters that the writers write
[00:05:49.060 --> 00:05:51.920]   about how to live now in the reality of the life, death,
[00:05:51.920 --> 00:05:53.320]   and resurrection of Jesus,
[00:05:53.320 --> 00:05:55.600]   and letters that were written by the apostles
[00:05:55.600 --> 00:05:57.400]   into the churches to help them to understand
[00:05:57.400 --> 00:05:59.860]   what life is like now because of all that.
[00:05:59.860 --> 00:06:02.740]   Why didn't the Bible just finish with those letters?
[00:06:02.740 --> 00:06:03.960]   No, it doesn't.
[00:06:03.960 --> 00:06:07.580]   The Bible actually finishes with this crazy revelation
[00:06:07.580 --> 00:06:10.980]   that God gives John on the island of Patmos,
[00:06:10.980 --> 00:06:12.980]   where he sees this apocalyptic vision
[00:06:12.980 --> 00:06:15.540]   of what the end of the world is going to be like.
[00:06:15.540 --> 00:06:18.520]   And he writes down all these crazy imageries
[00:06:18.520 --> 00:06:20.620]   and all these things that he senses God has given him.
[00:06:20.620 --> 00:06:22.760]   And right at the end of that book
[00:06:22.760 --> 00:06:25.880]   in chapters 21 and 22 of Revelations,
[00:06:25.880 --> 00:06:30.460]   John shows us what our end of the movie is like.
[00:06:30.460 --> 00:06:32.960]   And he paints this beautiful picture
[00:06:32.960 --> 00:06:35.440]   of how all the world is gonna be made new
[00:06:35.440 --> 00:06:39.060]   under this new Jerusalem that comes down to earth.
[00:06:39.060 --> 00:06:41.680]   And he shows us this picture of a new city
[00:06:41.680 --> 00:06:43.440]   coming down from heaven to earth,
[00:06:43.440 --> 00:06:44.740]   fulfilling Jesus's prayer.
[00:06:44.740 --> 00:06:46.320]   When the disciples said, "How should we pray?"
[00:06:46.320 --> 00:06:49.680]   He says, "Pray that heaven will come to earth."
[00:06:49.680 --> 00:06:51.360]   And we see in Revelation 21 and 22
[00:06:51.360 --> 00:06:53.280]   that that's exactly what happens.
[00:06:53.280 --> 00:06:55.920]   Heaven literally comes to earth in this new city.
[00:06:55.920 --> 00:06:58.720]   And we find Jesus in the fullness of his presence
[00:06:58.720 --> 00:07:01.800]   living for all eternity in that city.
[00:07:01.800 --> 00:07:04.160]   And not only that, but in those last chapters,
[00:07:04.160 --> 00:07:06.400]   we see that every tribe and every tongue,
[00:07:06.400 --> 00:07:10.240]   every race and every background is there in unity together,
[00:07:10.240 --> 00:07:12.000]   praising God.
[00:07:12.000 --> 00:07:15.880]   And not only that, but because God is there in his fullness,
[00:07:15.880 --> 00:07:18.480]   we suddenly see the end of poverty,
[00:07:18.480 --> 00:07:21.080]   the end of pain, the end of suffering,
[00:07:21.080 --> 00:07:23.280]   the end of need for anything
[00:07:23.280 --> 00:07:25.600]   other than the incredible presence of God.
[00:07:25.600 --> 00:07:29.040]   We see the end of sin, literally,
[00:07:29.040 --> 00:07:31.320]   and therefore the end of death.
[00:07:31.320 --> 00:07:34.920]   And all that is in this city is a river that flows,
[00:07:34.920 --> 00:07:36.440]   a river of life.
[00:07:36.440 --> 00:07:38.680]   And there are trees on either side of this river
[00:07:38.680 --> 00:07:40.860]   and there are leaves for the healing of the nation.
[00:07:40.860 --> 00:07:42.980]   And everybody who's a part of this city
[00:07:42.980 --> 00:07:45.840]   knows for the final time for the rest of their lives,
[00:07:45.840 --> 00:07:47.680]   the fullness of Shalom,
[00:07:47.680 --> 00:07:50.560]   what the peace of the Lord is all about.
[00:07:50.560 --> 00:07:52.740]   It's a glorious vision.
[00:07:52.740 --> 00:07:56.440]   And the Bible finishes on that vision.
[00:07:56.440 --> 00:07:59.160]   It's almost like God is peeling the curtain back
[00:07:59.160 --> 00:08:02.360]   and going, "Hey, this is how the movie ends."
[00:08:04.400 --> 00:08:07.880]   And in the same way that I enjoy movies so much more
[00:08:07.880 --> 00:08:09.760]   when I know how they're gonna end,
[00:08:09.760 --> 00:08:12.840]   'cause I can find more purpose in my joy of watching it,
[00:08:12.840 --> 00:08:15.440]   so I think God pulls the curtain back
[00:08:15.440 --> 00:08:17.540]   and shows us the end of all things,
[00:08:17.540 --> 00:08:19.480]   shows us Christ returning
[00:08:19.480 --> 00:08:22.240]   so that we can find more purpose and joy
[00:08:22.240 --> 00:08:24.060]   in how we live today.
[00:08:24.060 --> 00:08:28.860]   That, my friends, is Advent.
[00:08:28.860 --> 00:08:32.280]   That is the joy of this season.
[00:08:32.280 --> 00:08:34.480]   You see, the way we live today
[00:08:34.480 --> 00:08:37.720]   is not just informed by what we read in the Gospels,
[00:08:37.720 --> 00:08:39.280]   as important as the Gospels are.
[00:08:39.280 --> 00:08:41.760]   It's not just informed by what we see in the life
[00:08:41.760 --> 00:08:44.360]   and the death and the resurrection of Jesus.
[00:08:44.360 --> 00:08:46.080]   Actually, the Bible presents to us
[00:08:46.080 --> 00:08:48.320]   another way of understanding how to live today.
[00:08:48.320 --> 00:08:50.600]   It's done by seeing what is gonna happen
[00:08:50.600 --> 00:08:51.680]   at the end of all things
[00:08:51.680 --> 00:08:55.240]   and wanting to live on behalf of that vision today,
[00:08:55.240 --> 00:08:58.560]   saying, "If this is the future that we're heading into,
[00:08:58.560 --> 00:09:01.320]   "then how can I live today with purpose, with promise
[00:09:01.320 --> 00:09:03.800]   "that gives honor to the future
[00:09:03.800 --> 00:09:06.840]   "that God is gonna bring to all of creation?"
[00:09:06.840 --> 00:09:08.440]   So listen to this, church.
[00:09:08.440 --> 00:09:12.000]   Any time that you fight for justice today,
[00:09:12.000 --> 00:09:14.400]   any time you care for the poor,
[00:09:14.400 --> 00:09:18.080]   you give to the needy, you walk with the broken,
