
[00:00:00.000 --> 00:00:02.520]  前天 剛剛的星期五
[00:00:02.520 --> 00:00:07.280]  我和Chadman去了一個安息禮拜
[00:00:07.280 --> 00:00:10.080]  應該說是我們主持了一個安息禮拜
[00:00:10.080 --> 00:00:13.080]  那個是我一個很好的朋友
[00:00:13.080 --> 00:00:14.600]  很親密的朋友
[00:00:14.600 --> 00:00:15.600]  他叫Hate
[00:00:15.600 --> 00:00:22.960]  他是Mitchie的表姐的未婚夫
[00:00:22.960 --> 00:00:24.520]  其實也是我的表姐夫
[00:00:24.520 --> 00:00:27.920]  他四十多歲 沒有特別徵兆下
[00:00:28.440 --> 00:00:31.440]  突然間老中風走了
[00:00:31.440 --> 00:00:37.640]  是一件非常難接受的事情
[00:00:37.640 --> 00:00:40.280]  那種突然的失去
[00:00:40.280 --> 00:00:45.560]  那種心如刀割的傷痛
[00:00:45.560 --> 00:00:50.920]  其實沒有任何說話可以去表達
[00:00:50.920 --> 00:00:54.760]  唯有上帝天父的臨在
[00:00:54.760 --> 00:00:57.000]  才可以帶來安慰
[00:00:57.000 --> 00:00:59.000]  (有問題嗎?)
[00:00:59.000 --> 00:01:03.080]  這是一個很嚴重的事
[00:01:03.080 --> 00:01:06.120]  但我不希望將這個很嚴重的感覺
[00:01:06.120 --> 00:01:08.120]  情感帶給大家
[00:01:08.120 --> 00:01:10.520]  為什麼我會這樣分享
[00:01:10.520 --> 00:01:14.200]  我想在我們的生命裏面
[00:01:14.200 --> 00:01:16.200]  我們都經歷很多的事
[00:01:16.200 --> 00:01:20.600]  生離死別是我們必須經歷的
[00:01:20.600 --> 00:01:22.600]  我帶同我兩個兒子一起去
[00:01:22.600 --> 00:01:24.120]  幫他們去處理
[00:01:24.120 --> 00:01:25.400]  一點都不容易
[00:01:25.400 --> 00:01:27.400]  但這是很重要的事情
[00:01:27.400 --> 00:01:29.400]  因為其實與我們每一個人
[00:01:29.400 --> 00:01:31.400]  都有一點相關
[00:01:31.400 --> 00:01:33.400]  說多一點我們的關係
[00:01:33.400 --> 00:01:36.280]  八年前我和Mitchie結婚後
[00:01:36.280 --> 00:01:39.880]  我和阿Hei是一拍即合的好朋友
[00:01:39.880 --> 00:01:41.400]  為什麼呢?
[00:01:41.400 --> 00:01:43.400]  其中一個原因是
[00:01:43.400 --> 00:01:45.000]  他是我的親戚
[00:01:45.000 --> 00:01:46.360]  亦是我的鄰舍
[00:01:46.360 --> 00:01:48.360]  因為他住在我隔壁的大廈
[00:01:48.360 --> 00:01:51.320]  更重要的原因是我們有共同的嗜好
[00:01:51.320 --> 00:01:54.440]  我們都喜歡一起品紅酒
[00:01:55.160 --> 00:01:57.960]  不是「劈」不是「懟」
[00:01:57.960 --> 00:01:59.960]  一起品紅酒
[00:01:59.960 --> 00:02:01.960]  我們一班幾位
[00:02:01.960 --> 00:02:05.080]  五、六個志同道合的朋友
[00:02:05.080 --> 00:02:06.520]  經常聚在一起
[00:02:06.520 --> 00:02:09.240]  基本上我們差不多每個星期都見面
[00:02:09.240 --> 00:02:11.240]  有時一個星期會見多幾次
[00:02:11.240 --> 00:02:13.800]  「品」不是「劈」不是「懟」
[00:02:13.800 --> 00:02:16.760]  大家一起去品嘗紅酒
[00:02:16.760 --> 00:02:19.800]  但其實我們更加享受的
[00:02:19.800 --> 00:02:22.360]  是大家彼此之間的關係
[00:02:23.400 --> 00:02:26.440]  正所謂「天南地北無所不談」
[00:02:26.440 --> 00:02:27.720]  遠至國家大事
[00:02:27.720 --> 00:02:29.720]  小至家中的小事
[00:02:29.720 --> 00:02:31.720]  我們都談得一大餐
[00:02:31.720 --> 00:02:33.240]  久而久之
[00:02:33.240 --> 00:02:36.200]  其實我們本身互不相識
[00:02:36.200 --> 00:02:38.440]  都是因為有人連繫了我們
[00:02:38.440 --> 00:02:39.880]  一起去品紅酒
[00:02:39.880 --> 00:02:41.480]  導致一段時間之後
[00:02:41.480 --> 00:02:44.680]  我們能夠建立一個很深厚的關係
[00:02:44.680 --> 00:02:47.720]  那份是一份很深厚的友誼
[00:02:47.720 --> 00:02:51.000]  當阿Hei離開後
[00:02:51.560 --> 00:02:53.560]  我們才發現原來八年來
[00:02:53.560 --> 00:02:55.880]  一直連繫著我們的
