
[00:00:00.000 --> 00:00:01.420]   Thank you, Carla.
[00:00:01.420 --> 00:00:05.240]   Good morning, how's everyone doing?
[00:00:05.240 --> 00:00:06.480]   Good, good to see you guys.
[00:00:06.480 --> 00:00:09.640]   I want to just say hi to everyone watching online
[00:00:09.640 --> 00:00:11.680]   around the world, half my family's in Japan,
[00:00:11.680 --> 00:00:13.100]   I just want to say hi.
[00:00:13.100 --> 00:00:16.760]   And outside, you guys, I wish you were here,
[00:00:16.760 --> 00:00:20.120]   but I'll join you guys in a week or two.
[00:00:20.120 --> 00:00:21.620]   And I also just want to say hi, Upper House,
[00:00:21.620 --> 00:00:24.420]   I can't see you, but I know you're there.
[00:00:24.420 --> 00:00:26.460]   Welcome, my name is Justin, one of the pastors here.
[00:00:26.460 --> 00:00:29.680]   If this is your first time, I personally want to welcome you.
[00:00:29.680 --> 00:00:32.120]   We feel like a big church, but once you get to know us,
[00:00:32.120 --> 00:00:33.980]   it gets better, so come to Newcomers today,
[00:00:33.980 --> 00:00:36.020]   it's gonna be fun.
[00:00:36.020 --> 00:00:37.980]   Yeah, so the Vine has been my home
[00:00:37.980 --> 00:00:39.480]   for almost the last two decades.
[00:00:39.480 --> 00:00:42.020]   I came here as a young adult, I served,
[00:00:42.020 --> 00:00:45.140]   got called into ministry, continue to remain
[00:00:45.140 --> 00:00:48.400]   in ministry right now, met my wife here,
[00:00:48.400 --> 00:00:51.140]   celebrated the milestones of life with a lot of you,
[00:00:51.140 --> 00:00:53.180]   and so this is my home here.
[00:00:53.180 --> 00:00:55.500]   And so you may ask, Justin, what do you do?
[00:00:55.500 --> 00:00:59.100]   Well, let me tell you, I am a pastoral care pastor.
[00:00:59.100 --> 00:01:01.780]   What that means simply is when you email me,
[00:01:01.780 --> 00:01:05.700]   I reply to your email, and together with my pastoral team,
[00:01:05.700 --> 00:01:07.980]   we figure out a way to support and walk with you.
[00:01:07.980 --> 00:01:11.680]   And so do reach out if there is anything,
[00:01:11.680 --> 00:01:14.420]   yeah, we would love to serve you.
[00:01:14.420 --> 00:01:16.660]   And so in the past four weeks, if you've joined us,
[00:01:16.660 --> 00:01:18.860]   we are in a series of forgiveness.
[00:01:18.860 --> 00:01:21.860]   And so we've been reflecting on the different aspects
[00:01:21.860 --> 00:01:24.480]   of forgiveness, what it is, what it isn't,
[00:01:24.480 --> 00:01:29.480]   that we cannot forgive, we cannot forgive on our own strength
[00:01:29.480 --> 00:01:33.880]   and that the core, what makes Christianity so special
[00:01:33.880 --> 00:01:36.400]   and unique is that it is centered around forgiveness
[00:01:36.400 --> 00:01:38.480]   and that forgiveness renews us.
[00:01:38.480 --> 00:01:42.240]   And last week, we had the privilege of having Pastor Jennifer,
[00:01:42.240 --> 00:01:45.560]   Pastor Jess, Allison, and Charles remind us
[00:01:45.560 --> 00:01:48.400]   that we cannot forgive or extend forgiveness
[00:01:48.400 --> 00:01:50.580]   without the community.
[00:01:50.580 --> 00:01:53.280]   And the health of the church depend
[00:01:53.280 --> 00:01:56.080]   on whether we forgive or not.
[00:01:56.080 --> 00:02:00.400]   And so I would probably be confident to say
[00:02:00.400 --> 00:02:03.640]   that this is not an easy series.
[00:02:03.640 --> 00:02:07.800]   It's not easy because forgiveness is a reality
[00:02:07.800 --> 00:02:11.960]   that all of us must diligently work at and work through.
[00:02:11.960 --> 00:02:14.140]   Forgiveness is not something where we just wake up
[00:02:14.140 --> 00:02:16.480]   or we come to church and done, solved,
[00:02:16.480 --> 00:02:18.600]   or else, I don't know, I think we would be
[00:02:18.600 --> 00:02:21.160]   a lot more happier people, right, if that was the case.
[00:02:21.160 --> 00:02:22.720]   But it is a journey.
[00:02:22.720 --> 00:02:24.600]   Forgiveness is a discipleship journey.
