
[00:00:00.000 --> 00:00:02.000]  謝謝June
[00:00:02.000 --> 00:00:05.000]  還以為你會稱讚我身上的裝束
[00:00:05.000 --> 00:00:08.000]  因為我們教會的傳統是比較casual的
[00:00:08.000 --> 00:00:10.000]  所以我要反我們教會的傳統
[00:00:10.000 --> 00:00:14.000]  我們傳統教會是不同的
[00:00:14.000 --> 00:00:15.000]  我們casual一點
[00:00:15.000 --> 00:00:16.000]  反傳統
[00:00:16.000 --> 00:00:18.000]  因為我待會要去一個wedding
[00:00:18.000 --> 00:00:19.000]  回不來家裡換衣服
[00:00:19.000 --> 00:00:20.000]  所以大家不用擔心
[00:00:20.000 --> 00:00:24.000]  不需要下星期特別穿得很整齊
[00:00:24.000 --> 00:00:25.000]  當然我們
[00:00:25.000 --> 00:00:27.000]  唉,不要說這些了
[00:00:27.000 --> 00:00:29.000]  越說越不知道說到哪裡
[00:00:29.000 --> 00:00:31.000]  不過上星期有傳聞說
[00:00:31.000 --> 00:00:35.000]  崇拜講道之前說什麼都可以
[00:00:35.000 --> 00:00:36.000]  只要跟攝影師說
[00:00:36.000 --> 00:00:38.000]  現在才是剪出來的
[00:00:38.000 --> 00:00:39.000]  cut出來的那段
[00:00:39.000 --> 00:00:40.000]  然後開始
[00:00:40.000 --> 00:00:42.000]  好,現在才正式開始
[00:00:42.000 --> 00:00:44.000]  我們講道時間
[00:00:44.000 --> 00:00:45.000]  好
[00:00:45.000 --> 00:00:51.000]  剛才說我待會完崇拜會去一個婚禮
[00:00:51.000 --> 00:00:53.000]  當我在想的時候
[00:00:53.000 --> 00:00:55.000]  在講道的開頭
[00:00:55.000 --> 00:00:58.000]  我想起今天的訊息
[00:00:58.000 --> 00:01:01.000]  其實是說我自己的經歷
[00:01:01.000 --> 00:01:04.000]  我自己的婚禮
[00:01:04.000 --> 00:01:05.000]  我昨晚跟Mitchy說
[00:01:05.000 --> 00:01:09.000]  我要分享一下我們結婚的事
[00:01:09.000 --> 00:01:10.000]  然後Mitchy說
[00:01:10.000 --> 00:01:12.000]  你又把我放上台
[00:01:12.000 --> 00:01:13.000]  沒辦法了
[00:01:13.000 --> 00:01:15.000]  我們教會的其中一個傳統就是
[00:01:15.000 --> 00:01:17.000]  不是把人放上台
[00:01:17.000 --> 00:01:18.000]  我們教會的傳統是
[00:01:18.000 --> 00:01:22.000]  我們都會很真誠很願意去分享自己的生命
[00:01:22.000 --> 00:01:26.000]  讓我們大家可以彼此一起去分享生命
[00:01:26.000 --> 00:01:32.000]  講回我們踏入我們今年第七年的婚姻
[00:01:32.000 --> 00:01:34.000]  應該沒有記錯吧
[00:01:34.000 --> 00:01:36.000]  為什麼呢
[00:01:36.000 --> 00:01:37.000]  經常都好像有點混淆
[00:01:37.000 --> 00:01:38.000]  不太肯定
[00:01:38.000 --> 00:01:42.000]  因為其實我們的婚禮延遲了半年
[00:01:42.000 --> 00:01:45.000]  話說我本身是一個浪子
[00:01:45.000 --> 00:01:49.000]  不是聖經裡面所說的浪子的比喻
[00:01:49.000 --> 00:01:52.000]  而是一個情場的浪子
[00:01:52.000 --> 00:01:54.000]  當然是年輕的時候
[00:01:54.000 --> 00:01:57.000]  還有在未信主之前
[00:01:57.000 --> 00:01:59.000]  當時我的感情生活
[00:01:59.000 --> 00:02:01.000]  在未信主之前
[00:02:01.000 --> 00:02:02.000]  很混亂
[00:02:02.000 --> 00:02:04.000]  關係很混亂
[00:02:04.000 --> 00:02:07.000]  但其實不是一件特別的事
[00:02:07.000 --> 00:02:09.000]  也不是一件新鮮的事
[00:02:09.000 --> 00:02:11.000]  這只不過是一個社會主流文化的
[00:02:11.000 --> 00:02:13.000]  一種很常見的現象
[00:02:13.000 --> 00:02:15.000]  感情關係
[00:02:15.000 --> 00:02:17.000]  感覺先行
[00:02:17.000 --> 00:02:20.000]  有感覺和合適的就一起
[00:02:20.000 --> 00:02:23.000]  不合適的就分開
[00:02:23.000 --> 00:02:27.000]  這個觀念其實一直影響了我很多年
[00:02:27.000 --> 00:02:28.000]  直至我信了主之後
[00:02:28.000 --> 00:02:30.000]  我發覺在神當中的愛
[00:02:30.000 --> 00:02:32.000]  其實不是這樣的
[00:02:32.000 --> 00:02:37.000]  我用了五年的時間去整理自己的生命
