
[00:00:00.000 --> 00:00:00.840]   Amen.
[00:00:00.840 --> 00:00:03.640]   Thank you worship team for leading us.
[00:00:03.640 --> 00:00:04.800]   That was beautiful.
[00:00:04.800 --> 00:00:05.640]   Thank you church.
[00:00:05.640 --> 00:00:07.080]   You guys can have a seat.
[00:00:07.080 --> 00:00:08.200]   Get yourselves comfortable.
[00:00:08.200 --> 00:00:10.160]   Good afternoon, my name's Ellison.
[00:00:10.160 --> 00:00:13.120]   It's an honor to be sharing God's word with you today.
[00:00:13.120 --> 00:00:14.880]   And yeah, the sun's shining,
[00:00:14.880 --> 00:00:16.800]   so everybody got here nice and dry.
[00:00:16.800 --> 00:00:18.120]   That's really good.
[00:00:18.120 --> 00:00:19.460]   Glad to be here.
[00:00:19.460 --> 00:00:23.240]   Well I'm not sure if you've noticed
[00:00:23.240 --> 00:00:24.200]   in the songs that we sing,
[00:00:24.200 --> 00:00:25.960]   in the popular songs that we sing,
[00:00:25.960 --> 00:00:27.320]   there is this sentiment, right?
[00:00:27.320 --> 00:00:30.440]   For some reason, there's this idea out there
[00:00:30.440 --> 00:00:35.440]   that to go a long distance for the one you love
[00:00:35.440 --> 00:00:37.640]   is really, really romantic.
[00:00:37.640 --> 00:00:40.360]   Okay, it's something really beautifully romantic about that.
[00:00:40.360 --> 00:00:41.960]   As the saying goes,
[00:00:41.960 --> 00:00:45.280]   distance makes the heart grow fonder, right?
[00:00:45.280 --> 00:00:46.920]   Technically, I guess what that means
[00:00:46.920 --> 00:00:48.880]   is the further you are apart,
[00:00:48.880 --> 00:00:51.120]   the more romantic it is, right?
[00:00:51.120 --> 00:00:53.680]   So I can testify to this a little bit.
[00:00:53.680 --> 00:00:55.720]   There was a period for about nine months, right,
[00:00:55.720 --> 00:00:58.080]   when Brittany and I were dating long distance,
[00:00:58.080 --> 00:00:59.200]   nine, 10 months.
[00:00:59.200 --> 00:01:01.840]   I was here in Hong Kong, she was back in Texas.
[00:01:01.840 --> 00:01:03.360]   And I have the receipts, okay?
[00:01:03.360 --> 00:01:04.400]   I'm not lying, okay?
[00:01:04.400 --> 00:01:06.420]   And she's sitting right there, so you can ask her.
[00:01:06.420 --> 00:01:09.780]   For nine months, every single day,
[00:01:09.780 --> 00:01:11.880]   I wrote a handwritten letter,
[00:01:11.880 --> 00:01:14.720]   put it in the mail, and sent it over to Texas, right?
[00:01:14.720 --> 00:01:15.940]   Sometimes it'd just be one word,
[00:01:15.940 --> 00:01:17.640]   like hello, or whatever, right?
[00:01:17.640 --> 00:01:20.320]   Sometimes it'd be like a little doodle I did during the day.
[00:01:20.320 --> 00:01:23.100]   But pretty much every single day,
[00:01:24.040 --> 00:01:27.840]   I would send a letter by mail to Brittany, right?
[00:01:27.840 --> 00:01:29.440]   And it was a good thing, right?
[00:01:29.440 --> 00:01:31.120]   Yeah, we still have those letters.
[00:01:31.120 --> 00:01:34.420]   If you ever wanna come over for dinner, I'll show you, okay?
[00:01:34.420 --> 00:01:37.200]   But there's that idea out there.
[00:01:37.200 --> 00:01:40.120]   We sing about it, there's popular songs about it.
[00:01:40.120 --> 00:01:41.960]   This is kinda old now, I'm dating myself.
[00:01:41.960 --> 00:01:43.720]   But do you remember the soundtrack
[00:01:43.720 --> 00:01:45.840]   for the first Space Jam movie,
[00:01:45.840 --> 00:01:48.600]   the original Space Jam movie with Michael Jordan, right?
[00:01:48.600 --> 00:01:50.800]   There was a song there called "For You I Will"
[00:01:50.800 --> 00:01:53.840]   by a pop star called Monica, right?
[00:01:53.840 --> 00:01:55.240]   And the lyrics go like this,
[00:01:55.240 --> 00:01:57.680]   I would cross the ocean for you.
[00:01:57.680 --> 00:02:00.120]   I would go and bring you the moon, all right?
[00:02:00.120 --> 00:02:04.240]   I would be your hero, your strength, anything you need.
[00:02:04.240 --> 00:02:06.000]   Right, a song that's made popular again,
[00:02:06.000 --> 00:02:07.680]   or actually I don't think it's ever been not popular,
[00:02:07.680 --> 00:02:08.700]   the Proclaimers, right?
[00:02:08.700 --> 00:02:09.780]   It's really famous, right?
[00:02:09.780 --> 00:02:14.780]   I would walk 500 miles, and I would walk 500 more, right?
[00:02:14.780 --> 00:02:19.000]   To be the man who walks 1,000 miles,
[00:02:19.000 --> 00:02:22.080]   1,000 miles to end up at your door.
[00:02:22.080 --> 00:02:24.640]   Right, Vanessa Carlton, you know, the do-do-do-do-do-do,
[00:02:24.640 --> 00:02:27.400]   you know, she also walks 1,000 miles, right?
[00:02:27.400 --> 00:02:30.360]   To just be with the person that she loves.
[00:02:30.360 --> 00:02:33.080]   Tonight, right, that's how she thinks.
[00:02:33.080 --> 00:02:34.080]   But it's kinda silly, right,
[00:02:34.080 --> 00:02:35.840]   when you think about these things.
[00:02:35.840 --> 00:02:38.080]   Because, okay, I'm sorry, Monica,
[00:02:38.080 --> 00:02:41.200]   but you are an R&B pop star, you're not an astronaut,
[00:02:41.200 --> 00:02:43.640]   you're not a nautical expert, okay?
[00:02:43.640 --> 00:02:46.200]   Do you know how even the smallest ocean
[00:02:46.200 --> 00:02:51.200]   is 14,000, 140,000 square kilometers wide?
[00:02:52.120 --> 00:02:57.120]   The moon is more than 380,000 kilometers away from Earth.
[00:02:57.120 --> 00:03:01.640]   I'm not sure she's capable of going to the moon and back.
[00:03:01.640 --> 00:03:03.920]   The average walking pace of someone,
[00:03:03.920 --> 00:03:07.160]   unless you're Carla Roscoe, who walks like lightning speed,
[00:03:07.160 --> 00:03:10.120]   is about three to four miles per hour.
[00:03:10.120 --> 00:03:13.680]   If you were to walk 1,000 miles without taking any breaks,
[00:03:13.680 --> 00:03:14.880]   the song should really go,
[00:03:14.880 --> 00:03:18.360]   I would walk 1,000 miles to see you in about two weeks.
[00:03:18.360 --> 00:03:19.800]   Not tonight, right?
[00:03:19.800 --> 00:03:22.480]   So, it's ridiculous, right?
[00:03:22.480 --> 00:03:25.240]   These things are just hyperboles,
[00:03:25.240 --> 00:03:29.000]   these things are just imagination, right?
[00:03:29.000 --> 00:03:34.000]   It's romanticized way of expressing our love for someone.
[00:03:34.000 --> 00:03:36.800]   But what would you be willing to do?
[00:03:36.800 --> 00:03:39.640]   Like, how far would you be willing to go
[00:03:39.640 --> 00:03:41.160]   for the one you love?
[00:03:41.160 --> 00:03:43.700]   These days, if you ask me,
[00:03:43.700 --> 00:03:46.460]   my distance and romance is a bit more limited, right?
[00:03:46.460 --> 00:03:48.600]   I get annoyed these days when after I sit down
[00:03:48.600 --> 00:03:50.960]   and Brittany goes, can you go and get me a glass of water?
[00:03:50.960 --> 00:03:53.640]   I'm like, all the way to the kitchen and back?
[00:03:53.640 --> 00:03:54.680]   Like, really?
[00:03:54.680 --> 00:03:57.120]   Like, I don't really have the energy for that, right?
[00:03:57.120 --> 00:04:00.200]   So, maybe I could do with being a bit more romantic
[00:04:00.200 --> 00:04:01.880]   these days as well.
[00:04:01.880 --> 00:04:03.240]   But we like the idea of this, right?
[00:04:03.240 --> 00:04:05.040]   We like the idea of someone doing something
[00:04:05.040 --> 00:04:08.120]   spectacular for us, of someone going all the lengths
[00:04:08.120 --> 00:04:10.460]   to the end of the world and back.
[00:04:10.460 --> 00:04:14.240]   It's romantic, it's good, but no one actually expects
[00:04:14.240 --> 00:04:16.480]   their loved ones to do these kind of things for them,
[00:04:16.480 --> 00:04:17.320]   do they?
[00:04:18.120 --> 00:04:21.600]   But here's the thing, and as cheesy as this sounds,
[00:04:21.600 --> 00:04:25.200]   I have to tell you, somebody has.
[00:04:25.200 --> 00:04:26.600]   All right, this is one of the key points
[00:04:26.600 --> 00:04:29.400]   we like to emphasize when it comes to the Christian faith.
[00:04:29.400 --> 00:04:32.480]   We have a savior who left his home in heaven,
[00:04:32.480 --> 00:04:35.860]   came down to earth, took on sin and darkness
[00:04:35.860 --> 00:04:38.620]   and shame and evil and injustice and all this other way
[00:04:38.620 --> 00:04:40.960]   the world's been messed up, died the death
[00:04:40.960 --> 00:04:43.920]   that was meant for us just because he loved us
[00:04:43.920 --> 00:04:47.000]   and he wanted to be near to us.
[00:04:47.000 --> 00:04:49.520]   And so in this process, we've been brought near to Jesus,
[00:04:49.520 --> 00:04:51.800]   he has also made us new.
[00:04:51.800 --> 00:04:54.480]   And we have been made new to carry out the many
[00:04:54.480 --> 00:04:58.020]   wonderful things that he has prepared for his children
[00:04:58.020 --> 00:04:59.360]   to do.
[00:04:59.360 --> 00:05:01.900]   This was a beautiful reminder, this was the message
[00:05:01.900 --> 00:05:05.040]   that Pastor Andrew said to us last week.
[00:05:05.040 --> 00:05:07.880]   But this is just the starting point.
[00:05:07.880 --> 00:05:10.360]   And if we want to know his love, his grace,
[00:05:10.360 --> 00:05:13.000]   his mercy and forgiveness, if we want to know
[00:05:13.000 --> 00:05:17.240]   the nearness of Christ, then there is a part
[00:05:17.240 --> 00:05:20.120]   for us to play as well, as his children,
[00:05:20.120 --> 00:05:22.560]   as his church, as his people.
[00:05:22.560 --> 00:05:26.040]   Being close to Jesus isn't just about soaking it all in
[00:05:26.040 --> 00:05:29.200]   and being in that space, but there's a challenge
[00:05:29.200 --> 00:05:31.960]   for us too, when we receive his love,
[00:05:31.960 --> 00:05:35.360]   there is something we have to do with it.
[00:05:35.360 --> 00:05:37.360]   And so we come to a point in our journey
[00:05:37.360 --> 00:05:39.920]   through the book of Ephesians, because like we said,
[00:05:39.920 --> 00:05:41.920]   yes, we've been blessed by God.
[00:05:41.920 --> 00:05:43.440]   Yes, our hope is in Christ.
[00:05:43.440 --> 00:05:46.260]   Yes, we have this resurrection power at work within us.
[00:05:46.260 --> 00:05:50.020]   We've been raised to life by God, but there's one reminder.
[00:05:50.020 --> 00:05:54.800]   God didn't do it just for you, the individual.
[00:05:54.800 --> 00:05:57.640]   He did it for everybody.
[00:05:57.640 --> 00:06:00.760]   And so if he did it for everybody, it means everybody
[00:06:00.760 --> 00:06:02.600]   is being brought near to Christ, which means
[00:06:02.600 --> 00:06:05.760]   there has to be unity as we're being brought together
[00:06:05.760 --> 00:06:08.120]   as one body.
[00:06:08.120 --> 00:06:10.360]   The question is, how?
[00:06:10.360 --> 00:06:14.160]   How do we have this unity in Christ?
[00:06:14.160 --> 00:06:16.080]   And the passage we're looking at today
[00:06:16.080 --> 00:06:17.680]   is gonna tell us a little bit about that.
[00:06:17.680 --> 00:06:20.160]   So I'm gonna read it, and we're gonna go through it
[00:06:20.160 --> 00:06:22.160]   and see what God has to say to us.
[00:06:22.160 --> 00:06:26.000]   Ephesians chapter two, verses 11 to 22.
[00:06:26.000 --> 00:06:28.800]   It says this.
[00:06:28.800 --> 00:06:32.240]   Therefore, remember that formerly you who were Gentiles
[00:06:32.240 --> 00:06:35.120]   by birth and called uncircumcised by those
[00:06:35.120 --> 00:06:37.600]   who call themselves the circumcision,
[00:06:37.600 --> 00:06:40.240]   which is done in the body by human hands.
[00:06:40.240 --> 00:06:43.240]   Remember that at that time you were separate from Christ,
[00:06:43.240 --> 00:06:45.560]   excluded from citizenship in heaven,
[00:06:45.560 --> 00:06:48.040]   and foreigners to the covenants of the promise,
[00:06:48.040 --> 00:06:50.840]   without hope and without God in the world.
