
[00:00:00.000 --> 00:00:03.840]  接下來我要說的內容是得到批准的
[00:00:03.840 --> 00:00:07.120]  大家知道我女兒Megan
[00:00:07.120 --> 00:00:10.240]  她去年11月4歲
[00:00:10.240 --> 00:00:13.360]  我們12月的時候回到新加坡
[00:00:13.360 --> 00:00:16.760]  為什麼我記得接下來發生的事情在新加坡發生呢?
[00:00:16.760 --> 00:00:19.480]  因為在香港的時候開車的是爸爸
[00:00:19.480 --> 00:00:21.520]  在新加坡的時候開車的是媽媽
[00:00:21.520 --> 00:00:24.600]  爸爸就會坐在車的後排位置
[00:00:24.600 --> 00:00:27.280]  跟Megan和Mabel一起坐在那裡
[00:00:27.280 --> 00:00:32.400]  有一晚我們出完街,媽媽開車,我們回家的時候
[00:00:32.400 --> 00:00:35.480]  Megan突然問我一個問題
[00:00:35.480 --> 00:00:44.600]  她說:爸爸是不是人是會死的?
[00:00:44.600 --> 00:00:48.920]  對於一個剛剛才4歲的小朋友來說
[00:00:48.920 --> 00:00:55.080]  其實是我沒有心理準備要去有這個對話
[00:00:55.080 --> 00:00:57.360]  她開始問我人是否會死的?
[00:00:57.360 --> 00:00:59.360]  為什麼人會死的?
[00:00:59.360 --> 00:01:05.080]  我嘗試盡量將我僅有的科學生物學的知識
[00:01:05.080 --> 00:01:09.160]  簡化成幼稚園學生聽得懂的版本來跟她分享
[00:01:09.160 --> 00:01:12.760]  但她開始問:爸爸我是否會死的?
[00:01:12.760 --> 00:01:15.760]  媽媽是不是會死?你是不是會死?
[00:01:15.760 --> 00:01:19.160]  說著說著的時候她開始很不開心
[00:01:19.160 --> 00:01:21.800]  她就說:我不想死
[00:01:21.800 --> 00:01:25.520]  我不想爸爸死,我不想媽媽死
[00:01:25.520 --> 00:01:29.040]  然後她越說越不開心
[00:01:29.040 --> 00:01:34.560]  當時大家吃飽飯,開車回家的時候
[00:01:34.560 --> 00:01:38.960]  我一時之間在想我應該可以說些什麼
[00:01:38.960 --> 00:01:44.640]  我應該可以用什麼話來安慰她,或者來教她
[00:01:44.640 --> 00:01:49.360]  一會兒我會多說一點,多分享我跟她分享了什麼
[00:01:49.360 --> 00:01:52.640]  不過在那一刻我突然明白到
[00:01:52.640 --> 00:01:57.920]  一個四歲的小朋友,一個腦還在高速成長發育的小朋友
[00:01:57.920 --> 00:02:04.640]  原來她已經可以明白,掌握死亡這個概念
[00:02:04.640 --> 00:02:08.560]  不單止這樣,她不只是抽象地理解死亡
[00:02:08.560 --> 00:02:13.040]  在她四歲的時候,她已經可以對死亡有一份很強烈的感受
[00:02:13.040 --> 00:02:17.640]  她會懂得說:我不想死,我不想離開這個世界
[00:02:17.640 --> 00:02:20.720]  或者我不想我的爸爸媽媽離開這個世界
[00:02:20.720 --> 00:02:23.040]  原來在我們這麼小的時候
[00:02:23.040 --> 00:02:26.200]  當她沒有真的經歷或面對過死亡的時候
[00:02:26.200 --> 00:02:32.800]  我們已經天生對死亡有一種真實的恐懼存在
[00:02:32.800 --> 00:02:35.400]  這份對死亡的恐懼或感受
[00:02:35.400 --> 00:02:40.400]  可能我們在人生不同的階段都有去經歷過
[00:02:40.400 --> 00:02:43.800]  上星期是復活節,如果大家有回來的話
[00:02:43.800 --> 00:02:46.760]  你可能會聽到Ivan的講道
[00:02:46.760 --> 00:02:51.440]  他在約翰福音第20章關於復活節的記載
[00:02:51.440 --> 00:02:58.760]  裡面提到耶穌用果絲包著祂的頭巾
[00:02:58.760 --> 00:03:00.600]  可能你會說為什麼會有頭巾呢?
[00:03:00.600 --> 00:03:02.320]  如果你錯過了上星期的講道
[00:03:02.320 --> 00:03:05.120]  你可以回到我們的YouTube再聽一次
[00:03:05.120 --> 00:03:08.640]  但是Ivan教授跟我們講這麼小的細節
[00:03:08.640 --> 00:03:09.920]  在約翰福音裡面
[00:03:09.920 --> 00:03:12.560]  原來講了一個非常非常厲害
[00:03:12.560 --> 00:03:16.000]  一個非常重要的圖畫和復活節的訊息
