
[00:00:00.000 --> 00:00:03.280]  坐那邊有位坐,不斷跟身邊的工人姐姐說
[00:00:03.280 --> 00:00:06.440]  然後,Michi相信那位小朋友
[00:00:06.440 --> 00:00:08.440]  應該都是SEN的小朋友
[00:00:08.440 --> 00:00:11.040]  SEN即是Special Education Need
[00:00:11.040 --> 00:00:13.400]  即是有特別學習需要的小朋友
[00:00:13.400 --> 00:00:15.200]  她不斷在哭
[00:00:15.200 --> 00:00:17.920]  哭到身邊,因為沒有位坐,她真的很擠
[00:00:17.920 --> 00:00:20.720]  然後身邊直至有一位阿姨
[00:00:20.720 --> 00:00:22.360]  她忍不住大聲地說
[00:00:22.360 --> 00:00:25.000]  「沒有位坐就沒有位坐」
[00:00:25.000 --> 00:00:27.760]  很正常,大家都會遇見的
[00:00:27.760 --> 00:00:29.520]  遇到這樣的情況
[00:00:29.520 --> 00:00:32.680]  然後,Michi心裏一直在想
[00:00:32.680 --> 00:00:34.800]  究竟我怎樣可以幫到她
[00:00:34.800 --> 00:00:36.680]  怎樣可以幫到那位小朋友
[00:00:36.680 --> 00:00:40.080]  然後那位小朋友越來越情緒不穩定
[00:00:40.080 --> 00:00:42.400]  然後開始打工人
[00:00:42.400 --> 00:00:44.560]  即是打那位姐姐
[00:00:44.560 --> 00:00:47.520]  然後Michi就立即走上去嘗試去安慰她
[00:00:47.520 --> 00:00:49.800]  即是怎樣去幫到她的小朋友
[00:00:49.800 --> 00:00:54.040]  然後還問有沒有人可以給那位小朋友坐
[00:00:54.040 --> 00:00:57.480]  最後有一位太太都起身了
[00:00:57.480 --> 00:00:59.400]  那位女士就讓了位給她
[00:00:59.400 --> 00:01:04.000]  但當時那位小朋友的情緒已經有點失控
[00:01:04.000 --> 00:01:07.000]  她自己都控制不了
[00:01:07.000 --> 00:01:10.480]  在一個不能再好好控制的狀態
[00:01:10.480 --> 00:01:13.160]  想帶她過去都帶不到
[00:01:13.160 --> 00:01:18.080]  然後有位男人很大聲地在罵
[00:01:18.080 --> 00:01:20.640]  他說「閉嘴」
[00:01:20.640 --> 00:01:22.840]  然後就走了,下車了
[00:01:22.840 --> 00:01:24.360]  可能她忍了一整程
[00:01:24.360 --> 00:01:27.560]  下車那一刻,她終於可以爆發
[00:01:27.560 --> 00:01:30.400]  其實Michi很想罵那位男人
[00:01:30.400 --> 00:01:33.480]  不過她有智慧,她想了一會
[00:01:33.480 --> 00:01:35.400]  那個男人可能都有情緒問題
[00:01:35.400 --> 00:01:39.840]  否則都未必會這樣
[00:01:39.840 --> 00:01:43.200]  直至那個男人奪門而出的時候
[00:01:43.200 --> 00:01:45.920]  那個工人同時被人罵完
[00:01:45.920 --> 00:01:49.080]  她都帶了那個小朋友離開了車廂
[00:01:49.080 --> 00:01:51.200]  整個過程裏面
[00:01:51.200 --> 00:01:53.360]  Michi其實她覺得很心痛
[00:01:53.360 --> 00:01:57.080]  她說大部份人都很難忘
[00:01:57.080 --> 00:01:59.960]  在過程裏面她看到一個男人
[00:01:59.960 --> 00:02:01.400]  他沒有大聲地去罵
[00:02:01.400 --> 00:02:03.640]  但他有一個很鄙視的眼神
[00:02:03.640 --> 00:02:05.400]  帶著一些很鄙視的笑容
[00:02:05.400 --> 00:02:08.160]  然後說「神經病」
