
[00:00:00.000 --> 00:00:02.800]   Man, my name's Andrew.
[00:00:02.800 --> 00:00:06.960]   I'm one of the pastors here, and we are so grateful that you are here, whether you're
[00:00:06.960 --> 00:00:11.080]   in the room, whether you're online with us right now, whether you're in the overflow
[00:00:11.080 --> 00:00:14.640]   just outside or anywhere else in the building right now listening to this.
[00:00:14.640 --> 00:00:18.400]   We're so glad that you are a part of this, that you are here with us.
[00:00:18.400 --> 00:00:23.340]   I cannot be more excited about the journey that is ahead of us as we start the second
[00:00:23.340 --> 00:00:26.240]   half of our Exodus series here today.
[00:00:26.240 --> 00:00:30.960]   And I honestly believe, and I'm not just saying this, but if this is your home church, if
[00:00:30.960 --> 00:00:35.280]   this is where you fellowship, if this is the place where you're connected in community
[00:00:35.280 --> 00:00:40.080]   and you come here, I believe that the next 14 weeks of your life will truly be transformative
[00:00:40.080 --> 00:00:41.940]   to you.
[00:00:41.940 --> 00:00:43.640]   Because we're not here to play church, amen?
[00:00:43.640 --> 00:00:46.840]   Let me try that again one more time.
[00:00:46.840 --> 00:00:48.800]   We're not here to play church, amen?
[00:00:48.800 --> 00:00:53.400]   We're here to open our hearts and our lives to the transformative work of God's power.
[00:00:53.400 --> 00:00:57.920]   And you know, I said the very first words that I said at the beginning of our Exodus
[00:00:57.920 --> 00:01:02.440]   series back in the middle of April are no more important than right now as we start
[00:01:02.440 --> 00:01:04.000]   the second half today.
[00:01:04.000 --> 00:01:10.800]   And the words are this, that there is nothing more powerful than truly being set free.
[00:01:10.800 --> 00:01:17.320]   Nothing more powerful for you, for your family, for your marriage, for your work, for your
[00:01:17.320 --> 00:01:21.800]   sphere of influence than you truly being set free.
[00:01:21.800 --> 00:01:25.680]   Set free from the things that hold you bound to the patterns of this world.
[00:01:25.680 --> 00:01:31.240]   Set free from the things that hold you enslaved to addictions and brokenness and hurt.
[00:01:31.240 --> 00:01:35.960]   Set free from the things that the enemy has done, is trying to do, and will do in your
[00:01:35.960 --> 00:01:36.960]   life.
