
[00:00:00.000 --> 00:00:02.560]   Well, good morning, everyone.
[00:00:02.560 --> 00:00:06.880]   Thank you so much for joining us here today.
[00:00:06.880 --> 00:00:10.040]   2020 is coming to an end.
[00:00:10.040 --> 00:00:11.440]   Can I hear an amen?
[00:00:11.440 --> 00:00:16.040]   And some of you are saying, finally.
[00:00:16.040 --> 00:00:18.400]   It was about time.
[00:00:18.400 --> 00:00:23.560]   Hey, to start things off in a bit of a lighter way,
[00:00:23.560 --> 00:00:29.160]   I want to do a review that I call Remember When.
[00:00:29.160 --> 00:00:32.040]   Now, remember when the pandemic first hit
[00:00:32.040 --> 00:00:36.480]   and we became experts on sourcing masks?
[00:00:36.480 --> 00:00:39.640]   Now, I want to share with you about my moment of glory.
[00:00:39.640 --> 00:00:42.000]   I feel really good about this.
[00:00:42.000 --> 00:00:44.920]   I was at a friend's New Year's party,
[00:00:44.920 --> 00:00:49.280]   and word came out that HKTV Mall was
[00:00:49.280 --> 00:00:51.680]   going to be selling some masks.
[00:00:51.680 --> 00:00:54.040]   And so we all got online on our phones,
[00:00:54.040 --> 00:00:56.620]   and we got ready to the strike.
[00:00:56.620 --> 00:00:58.600]   And when those masks became available,
[00:00:58.600 --> 00:01:00.780]   I managed to secure 90.
[00:01:00.780 --> 00:01:01.780]   And I was so excited.
[00:01:01.780 --> 00:01:04.580]   I felt like I finally arrived in Hong Kong.
[00:01:04.580 --> 00:01:07.740]   I know how to take care of stuff here.
[00:01:07.740 --> 00:01:10.580]   You know, that's not that easy.
[00:01:10.580 --> 00:01:13.260]   But then I also realized that I actually
[00:01:13.260 --> 00:01:17.820]   had an oven sitting in my HKTV Mall cart
[00:01:17.820 --> 00:01:21.220]   that I not only bought masks, but I also bought an oven.
[00:01:21.220 --> 00:01:22.480]   So I got masks and an oven.
[00:01:22.480 --> 00:01:24.460]   But hey, you know, in the pandemic,
[00:01:24.460 --> 00:01:25.780]   that wasn't that bad of a thing.
[00:01:25.780 --> 00:01:29.140]   But I just was not as cool as I thought I was.
[00:01:29.140 --> 00:01:33.500]   Now, we managed to source masks from all over the world.
[00:01:33.500 --> 00:01:35.260]   You know, some of us on our own.
[00:01:35.260 --> 00:01:36.860]   Hong Kong people are really resourceful.
[00:01:36.860 --> 00:01:39.540]   They know how to get stuff.
[00:01:39.540 --> 00:01:42.820]   Some of us collaborated with friends, family, co-workers,
[00:01:42.820 --> 00:01:45.500]   and they sent us masks here, only for us
[00:01:45.500 --> 00:01:48.260]   to send them back to them as the pandemic spread
[00:01:48.260 --> 00:01:52.580]   and when they needed masks and didn't have them.
[00:01:52.580 --> 00:01:55.620]   Remember when we could go on vacations
[00:01:55.620 --> 00:01:57.900]   and didn't have to quarantine?
[00:01:57.900 --> 00:02:00.100]   Yeah, me neither.
[00:02:00.100 --> 00:02:01.820]   Man, I miss traveling.
[00:02:01.820 --> 00:02:03.980]   You know, that's one of the things I was really excited
[00:02:03.980 --> 00:02:08.220]   about coming back to Asia was the travel.
[00:02:08.220 --> 00:02:12.540]   Remember when we became Zoom experts?
[00:02:12.540 --> 00:02:15.740]   We're like, hey, virus, we're going to bypass you.
[00:02:15.740 --> 00:02:17.700]   You have nothing on us.
[00:02:17.700 --> 00:02:21.380]   We're going to go digital online.
[00:02:21.380 --> 00:02:24.900]   And so we learned about things like a virtual background,
[00:02:24.900 --> 00:02:26.020]   which works for some of us.
[00:02:26.020 --> 00:02:27.620]   We have good enough computers and chips
[00:02:27.620 --> 00:02:28.580]   in our computer.
[00:02:28.580 --> 00:02:30.340]   For others, not so much.
[00:02:30.340 --> 00:02:33.260]   We learned about Zoom fatigue.
[00:02:33.260 --> 00:02:34.740]   Anyone experience Zoom fatigue?
[00:02:34.740 --> 00:02:38.100]   Hey, you can put a comment in the feed
[00:02:38.100 --> 00:02:40.380]   if you know what Zoom fatigue's like.
