
[00:00:00.000 --> 00:00:02.400]   - Amen, amen, awesome.
[00:00:02.400 --> 00:00:03.960]   Have a seat, have a seat.
[00:00:03.960 --> 00:00:05.000]   Well, welcome to The Vine.
[00:00:05.000 --> 00:00:07.520]   If this is your first time with us ever,
[00:00:07.520 --> 00:00:09.080]   we're glad that you're here.
[00:00:09.080 --> 00:00:12.040]   If this is your first time with us in 2026,
[00:00:12.040 --> 00:00:14.000]   we're glad that you're here with us.
[00:00:14.000 --> 00:00:15.920]   We know that many people have been traveling
[00:00:15.920 --> 00:00:17.880]   and some of you are here with us
[00:00:17.880 --> 00:00:20.920]   for the first time this year, so welcome back.
[00:00:20.920 --> 00:00:23.240]   Last week, I introduced to us the idea
[00:00:23.240 --> 00:00:26.480]   that as a leadership here at The Vine in this season,
[00:00:26.480 --> 00:00:29.920]   the beginning of 26, we're feeling very led by the Lord
[00:00:29.920 --> 00:00:33.760]   to teach into the context of seasons of waiting
[00:00:33.760 --> 00:00:36.600]   and that the reality might be for you
[00:00:36.600 --> 00:00:39.600]   that you're either in a season of waiting right now
[00:00:39.600 --> 00:00:41.320]   or maybe you've just come out of one
[00:00:41.320 --> 00:00:43.080]   or you're gonna be heading into one,
[00:00:43.080 --> 00:00:44.880]   but for all of us, we know what it is
[00:00:44.880 --> 00:00:46.360]   to be in seasons of waiting,
[00:00:46.360 --> 00:00:48.600]   to struggle in the realities
[00:00:48.600 --> 00:00:50.640]   that we're waiting for something to happen
[00:00:50.640 --> 00:00:54.880]   that we expect it to happen but hasn't happened.
[00:00:54.880 --> 00:00:57.020]   And we believe that what the Holy Spirit wants to do
[00:00:57.020 --> 00:00:59.240]   in the first part of this year for us
[00:00:59.240 --> 00:01:02.760]   is that Jesus wants to meet us pastorally
[00:01:02.760 --> 00:01:07.360]   and compassionately and powerfully renew our strength.
[00:01:07.360 --> 00:01:09.720]   So if you're in a season of waiting,
[00:01:09.720 --> 00:01:13.680]   this is a very encouraging next number of weeks for you,
[00:01:13.680 --> 00:01:16.960]   or if you're not, you may well enter into one
[00:01:16.960 --> 00:01:19.880]   in the near future and the things that we're gonna teach
[00:01:19.880 --> 00:01:22.640]   over this series will be helpful tools for you
[00:01:22.640 --> 00:01:25.680]   for the season that might be ahead.
[00:01:25.680 --> 00:01:28.440]   We shared last week that we don't like waiting
[00:01:28.440 --> 00:01:30.400]   as human beings, waiting is hard.
[00:01:30.400 --> 00:01:32.760]   In fact, in our modern world, in our modern context,
[00:01:32.760 --> 00:01:35.340]   we're now conditioned not to wait,
