
[00:00:00.000 --> 00:00:04.000]  你們覺得上帝是否閱立大家的奉獻?
[00:00:04.000 --> 00:00:06.000]  大家都很有信心
[00:00:06.000 --> 00:00:09.000]  答案是Yes and No
[00:00:09.000 --> 00:00:12.000]  你可能心想,不是吧
[00:00:12.000 --> 00:00:16.000]  你們經常叫人敬拜,祈禱,奉獻
[00:00:16.000 --> 00:00:20.000]  然後你說上帝不閱立,不喜悅,不聽禱告
[00:00:20.000 --> 00:00:23.000]  頂主妹,對不起,不是我說的
[00:00:23.000 --> 00:00:25.000]  是聖經說的
[00:00:25.000 --> 00:00:27.000]  我們一起看看聖經怎樣說
[00:00:27.000 --> 00:00:29.000]  你就會知道為何我會這樣說
[00:00:29.000 --> 00:00:32.000]  今日我們的經文在二乘下書第一章
[00:00:32.000 --> 00:00:34.000]  我讀一讀給大家聽
[00:00:34.000 --> 00:00:36.000]  由十二節開始
[00:00:36.000 --> 00:00:41.000]  你們來朝見我,誰向你們的手要求這些東西呢?
[00:00:41.000 --> 00:00:44.000]  使得你們踐踏我的婉語呢?
[00:00:44.000 --> 00:00:47.000]  不要再去獻這些無謂的貢物了
[00:00:47.000 --> 00:00:49.000]  香是我所珍惡的
[00:00:49.000 --> 00:00:52.000]  我不能夠容忍行惡,又搜嚴肅會
[00:00:52.000 --> 00:00:55.000]  初一,安息日,和召集大會
[00:00:55.000 --> 00:00:58.000]  你們的初一和節期,我心裡行惡
[00:00:58.000 --> 00:01:01.000]  他們成為了我的重擔
[00:01:01.000 --> 00:01:03.000]  擔當這些東西令我煩厭
[00:01:03.000 --> 00:01:05.000]  你們舉手禱告,我必遮眼不寒
[00:01:05.000 --> 00:01:08.000]  就算你們多多祈禱,我也不聽
[00:01:08.000 --> 00:01:10.000]  你們的手指滿了血
[00:01:10.000 --> 00:01:12.000]  你們要洗滌,自潔
[00:01:12.000 --> 00:01:15.000]  從我眼前除掉惡恨,要停止作惡
[00:01:15.000 --> 00:01:18.000]  學習行善,尋求公平
[00:01:18.000 --> 00:01:21.000]  幫助受欺壓的,替孤兒伸冤
[00:01:21.000 --> 00:01:24.000]  為寡婦辯護
[00:01:24.000 --> 00:01:30.000]  二乘下書一開始頭幾章已經是很強烈地去譴責以色列人
[00:01:30.000 --> 00:01:33.000]  因為他們叛逆,不聽從神
[00:01:33.000 --> 00:01:36.000]  因為他們做了很多不公義的行為
[00:01:36.000 --> 00:01:40.000]  同時他們沒有去做一些神眼中公義的行為
[00:01:40.000 --> 00:01:46.000]  縱然以色列人做了很多看似虔誠的宗教活動
[00:01:46.000 --> 00:01:50.000]  可能他們那一刻,他們真的懷著一個健全的心去敬拜
[00:01:50.000 --> 00:01:54.000]  懷著一個敬虔心,很全心地去奉獻和禱告
[00:01:54.000 --> 00:01:57.000]  但可惜,這裡說什麼?
[00:01:57.000 --> 00:02:00.000]  神說這些東西都是他所真惡的
[00:02:00.000 --> 00:02:02.000]  是他心裡恨惡的
[00:02:02.000 --> 00:02:06.000]  是他不想聽,不想看到
[00:02:06.000 --> 00:02:14.000]  因為神說他容忍不了人一邊作惡,一邊故作虔誠
[00:02:14.000 --> 00:02:16.000]  兩樣東西不能夠共存
[00:02:16.000 --> 00:02:19.000]  因為神是聖潔公義的神
[00:02:19.000 --> 00:02:22.000]  我自己也是一個罪人,我也會有犯罪的時候
[00:02:22.000 --> 00:02:25.000]  當我看到聖經這樣說的時候,其實我也害怕
[00:02:25.000 --> 00:02:30.000]  不過上個星期,我們的訊息說到聖經中的公義
[00:02:30.000 --> 00:02:33.000]  我們從聖經的敘事裡明白到
[00:02:33.000 --> 00:02:38.000]  公義和憐憫是直根於上帝的本性
[00:02:38.000 --> 00:02:43.000]  公義和憐憫是直根於上帝本性之中
[00:02:43.000 --> 00:02:46.000]  現在遭受到壓抑逼迫的人
[00:02:46.000 --> 00:02:49.000]  將來注定要被公義審判的人
[00:02:49.000 --> 00:02:53.000]  他們同時間都是因為愛和憐憫的緣故
[00:02:53.000 --> 00:02:58.000]  上帝救贖人的工作會藉著耶穌去成就
[00:02:58.000 --> 00:03:01.000]  今天二創教書同樣要帶出的是
[00:03:01.000 --> 00:03:03.000]  如果我們不處理好自己的罪
[00:03:03.000 --> 00:03:09.000]  我們不離開不義而轉向在主裡面活出公義
[00:03:09.000 --> 00:03:13.000]  無論我們做什麼,上帝都是不會越立的
[00:03:13.000 --> 00:03:15.000]  十六節那裡說到
[00:03:15.000 --> 00:03:23.000]  你們要洗滌、自潔,從我眼前除掉惡行,要停止作惡
[00:03:23.000 --> 00:03:25.000]  這是一個好消息,好消息在哪裡?
