
[00:00:00.000 --> 00:00:02.880]   Man, well good morning.
[00:00:02.880 --> 00:00:06.280]   If you're joining us online, good morning as well.
[00:00:06.280 --> 00:00:07.640]   It's good to see everybody back.
[00:00:07.640 --> 00:00:10.560]   We've enjoyed another week of black rainstorms
[00:00:10.560 --> 00:00:11.520]   and crazy weather.
[00:00:11.520 --> 00:00:12.840]   I know what's going on, seriously.
[00:00:12.840 --> 00:00:15.640]   It's craziness in the weather,
[00:00:15.640 --> 00:00:17.760]   but I'm glad everybody is here this morning.
[00:00:17.760 --> 00:00:21.360]   See some old familiar faces, which is good as well, right?
[00:00:21.360 --> 00:00:23.280]   And so yeah, really good to see friends
[00:00:23.280 --> 00:00:26.460]   and family gathered together this Sunday.
[00:00:26.460 --> 00:00:28.840]   And if you've been walking with us through this summer,
[00:00:28.840 --> 00:00:32.060]   we've come to the end of our sermon series
[00:00:32.060 --> 00:00:33.900]   in the book of James.
[00:00:33.900 --> 00:00:37.140]   And the hope and the prayer is that we've been changed
[00:00:37.140 --> 00:00:41.900]   and moved and challenged to consider our faith seriously.
[00:00:41.900 --> 00:00:44.180]   Right, that we've not just been walking through a letter,
[00:00:44.180 --> 00:00:47.060]   but we've been letting the words through scripture
[00:00:47.060 --> 00:00:49.000]   penetrate our hearts.
[00:00:49.000 --> 00:00:53.380]   It's a reminder that this life that we claim to live,
[00:00:53.380 --> 00:00:54.820]   that faith that we came to have,
[00:00:54.820 --> 00:00:59.720]   there is no room in scripture for nominal Christianity.
[00:00:59.720 --> 00:01:02.360]   Right, there's no room for saying I am a Christian
[00:01:02.360 --> 00:01:04.900]   and coming on Sunday and worshiping with our hands up,
[00:01:04.900 --> 00:01:07.740]   all that kind of stuff, without actually living it out.
[00:01:07.740 --> 00:01:09.500]   Because if we do that, it's just noise.
[00:01:09.500 --> 00:01:11.460]   It's just a distraction.
[00:01:11.460 --> 00:01:12.980]   It's almost craziness, right?
[00:01:12.980 --> 00:01:16.020]   There's a lot better places you could spend on a Sunday
[00:01:16.020 --> 00:01:19.160]   than coming here to this church, if you're not about that.
[00:01:20.720 --> 00:01:25.500]   But James lets us know, right, that real and pure religion,
[00:01:25.500 --> 00:01:28.500]   right, that following Christ must make a difference
[00:01:28.500 --> 00:01:30.440]   in the way we live our lives.
[00:01:30.440 --> 00:01:33.660]   Right, it has to transform everything that we do.
[00:01:33.660 --> 00:01:36.140]   It's a transformative kind of faith
[00:01:36.140 --> 00:01:37.940]   that Jesus calls us to have.
[00:01:37.940 --> 00:01:39.700]   It's an active kind of faith, right,
[00:01:39.700 --> 00:01:44.180]   that moves us into deeds and actions and not just words.
[00:01:44.180 --> 00:01:46.060]   It's a countercultural kind of faith
[00:01:46.060 --> 00:01:47.760]   where we're not friends with the world,
[00:01:47.760 --> 00:01:51.280]   but we are standing in our friendship with the Lord.
[00:01:51.280 --> 00:01:54.680]   Otherwise, like I said, all this is just noise.
[00:01:54.680 --> 00:01:57.740]   Actually, I got some really cool feedback lately.
[00:01:57.740 --> 00:02:00.060]   One of our teenagers, as he's been walking
[00:02:00.060 --> 00:02:02.020]   through the book of James, he's been listening,
[00:02:02.020 --> 00:02:03.700]   he's been reading the book of James,
[00:02:03.700 --> 00:02:06.300]   I hope by himself as well, he noticed,
[00:02:06.300 --> 00:02:09.300]   so in response to what he felt like God's speaking
[00:02:09.300 --> 00:02:12.020]   to his heart, he said he was walking down the road one day
[00:02:12.020 --> 00:02:14.100]   and he saw someone in need and so he stopped
[00:02:14.100 --> 00:02:16.940]   to give some money to this person that was in need.
[00:02:17.760 --> 00:02:20.440]   And as a result, the person behind him saw
[00:02:20.440 --> 00:02:22.520]   what he was doing and they too stopped
[00:02:22.520 --> 00:02:23.720]   and gave a little bit of money.
[00:02:23.720 --> 00:02:26.120]   And the person in front of him turned around
[00:02:26.120 --> 00:02:28.560]   and saw what he was doing and also gave
[00:02:28.560 --> 00:02:30.940]   that person a little bit of money.
[00:02:30.940 --> 00:02:34.180]   Right, just a small act of kindness, right,
[00:02:34.180 --> 00:02:37.560]   set off a chain reaction in the people around him.
[00:02:37.560 --> 00:02:39.640]   You see what difference it makes when we actually
[00:02:39.640 --> 00:02:43.880]   put some actions behind this faith that we claim to have?
[00:02:43.880 --> 00:02:45.440]   It's amazing, it's beautiful.
[00:02:46.540 --> 00:02:48.680]   But there's one more reason why I felt
[00:02:48.680 --> 00:02:50.320]   or we felt like it was important for us
[00:02:50.320 --> 00:02:54.640]   to go through this book of James and embrace its challenges.
[00:02:54.640 --> 00:02:59.960]   And that is because there is an urgency to our faith.
[00:02:59.960 --> 00:03:03.840]   You see, if you read through the entire letter of James
[00:03:03.840 --> 00:03:06.400]   in one sitting, which I highly recommend you do,
[00:03:06.400 --> 00:03:08.640]   right, you'll notice that throughout the letter
[00:03:08.640 --> 00:03:11.460]   there is a pressing, there's a desperation
[00:03:11.460 --> 00:03:15.400]   to remind everyone that time is short.
[00:03:15.400 --> 00:03:20.320]   Right, that Jesus is returning soon just as he promised.
[00:03:20.320 --> 00:03:23.480]   Right, which is why James is strong in his tone, right?
[00:03:23.480 --> 00:03:26.240]   We've held no punches back throughout this series.
[00:03:26.240 --> 00:03:29.700]   He is strong in his tone, it's challenging,
[00:03:29.700 --> 00:03:33.200]   but yet there's a deep and tender pastoral heart
[00:03:33.200 --> 00:03:35.580]   for the hearers of this letter.
[00:03:35.580 --> 00:03:42.400]   And the urgency and the reminder that we cannot wait
[00:03:42.400 --> 00:03:46.000]   to act upon this, our faith in Jesus
[00:03:46.000 --> 00:03:50.080]   must start making an impact right now.
[00:03:50.080 --> 00:03:53.440]   So once again, read with me as we come
[00:03:53.440 --> 00:03:55.640]   to the closing words of this letter.
[00:03:55.640 --> 00:03:57.840]   Yes, it's gonna continue to be challenging,
[00:03:57.840 --> 00:04:00.240]   but at the same time, I hope you know
[00:04:00.240 --> 00:04:03.240]   that it's filled by love and the passion
[00:04:03.240 --> 00:04:06.660]   and the recognition that there is no time to waste,
[00:04:06.660 --> 00:04:08.960]   that our time for our faith to make an impact
[00:04:08.960 --> 00:04:11.320]   is indeed right now.
[00:04:12.240 --> 00:04:15.200]   James chapter five, chapter first one.
[00:04:15.200 --> 00:04:19.800]   Now, now listen, now listen, you rich people,
[00:04:19.800 --> 00:04:24.160]   weep and wail because of the misery that is coming on you.
[00:04:24.160 --> 00:04:27.760]   Your wealth has rotted, moths have eaten your clothes,
[00:04:27.760 --> 00:04:30.500]   your gold and silver are corroded.
[00:04:30.500 --> 00:04:32.560]   The corrosion will testify against you
[00:04:32.560 --> 00:04:34.640]   and eat your flesh like fire.
[00:04:34.640 --> 00:04:37.860]   You have hoarded wealth in the last days.
[00:04:37.860 --> 00:04:40.480]   Look, the wages you failed to pay the workers
[00:04:40.480 --> 00:04:43.400]   who mowed your fields are crying out against you.
