
[00:00:00.000 --> 00:00:04.000]  Amen,多謝Pastor Ivan,我們給他掌聲多謝
[00:00:04.000 --> 00:00:07.000]  (掌聲)
[00:00:07.000 --> 00:00:11.000]  在2005年9月7日
[00:00:11.000 --> 00:00:14.000]  Steve Jobs在蘋果發佈會上
[00:00:14.000 --> 00:00:16.000]  又公佈了一件新的產品
[00:00:16.000 --> 00:00:18.000]  為大家帶來了一個驚喜
[00:00:18.000 --> 00:00:20.000]  No,不是iPhone
[00:00:20.000 --> 00:00:23.000]  iPhone是之後兩年才面世
[00:00:23.000 --> 00:00:24.000]  Steve Jobs那一天
[00:00:24.000 --> 00:00:27.000]  他把他的手在發佈會上
[00:00:27.000 --> 00:00:29.000]  伸進了他的牛仔褲的褲袋
[00:00:29.000 --> 00:00:32.000]  上面那個裝小銀的袋子裡
[00:00:32.000 --> 00:00:35.000]  當他把手一拿出來的時候
[00:00:35.000 --> 00:00:36.000]  登登登登
[00:00:36.000 --> 00:00:38.000]  就是一部iPod Nano
[00:00:38.000 --> 00:00:41.000]  今時今日已經很難見
[00:00:41.000 --> 00:00:43.000]  我剛好有一部帶了來
[00:00:43.000 --> 00:00:46.000]  這部就是我的iPod Nano
[00:00:46.000 --> 00:00:49.000]  在過年2005年12月
[00:00:49.000 --> 00:00:50.000]  當我生日的時候
[00:00:50.000 --> 00:00:52.000]  我有班很疼愛我的朋友
[00:00:52.000 --> 00:00:54.000]  他們就湊錢買了一部送給我
[00:00:54.000 --> 00:00:55.000]  做我的生日禮物
[00:00:55.000 --> 00:00:57.000]  很珍惜我第一部
[00:00:57.000 --> 00:00:59.000]  人生第一部iPod
[00:00:59.000 --> 00:01:01.000]  過了大約一兩個月左右
[00:01:01.000 --> 00:01:04.000]  大約在2005年年頭的時間
[00:01:04.000 --> 00:01:07.000]  我當時正準備要去考A級
[00:01:07.000 --> 00:01:09.000]  如果上次我提到你在這裡的朋友
[00:01:09.000 --> 00:01:11.000]  你會知道我大概的故事是怎樣
[00:01:11.000 --> 00:01:13.000]  我2004年考完會考之後
[00:01:13.000 --> 00:01:14.000]  2004年
[00:01:14.000 --> 00:01:15.000]  啊2006年,對不起
[00:01:15.000 --> 00:01:17.000]  2004年考完會考之後
[00:01:17.000 --> 00:01:18.000]  我去了一個夏令營
[00:01:18.000 --> 00:01:19.000]  實體高中去呼召我
[00:01:19.000 --> 00:01:21.000]  所以來到2005年尾
[00:01:21.000 --> 00:01:22.000]  2006年頭的時候
[00:01:22.000 --> 00:01:23.000]  當時我是一個
[00:01:23.000 --> 00:01:26.000]  嘩,很為主火熱的一個年輕人
[00:01:26.000 --> 00:01:27.000]  有朋友跟我說
[00:01:27.000 --> 00:01:28.000]  在教會時突然跟我說
[00:01:28.000 --> 00:01:29.000]  我有一個idea
[00:01:29.000 --> 00:01:31.000]  我決定要將我的
[00:01:31.000 --> 00:01:32.000]  他也有部iPod
[00:01:32.000 --> 00:01:34.000]  我決定要將我的iPod裡面
[00:01:34.000 --> 00:01:35.000]  所有的流行曲
[00:01:35.000 --> 00:01:37.000]  那些東西全部洗掉
[00:01:37.000 --> 00:01:40.000]  我只是放敬拜的詩歌進去
[00:01:40.000 --> 00:01:42.000]  當時我的生命都是
[00:01:42.000 --> 00:01:43.000]  嘩,被主火熱
[00:01:43.000 --> 00:01:45.000]  我覺得任何可以幫我去敬拜神
[00:01:45.000 --> 00:01:47.000]  去親近神的idea
[00:01:47.000 --> 00:01:48.000]  都是一個good idea
[00:01:48.000 --> 00:01:49.000]  我說正
[00:01:49.000 --> 00:01:51.000]  我就跟你一起去做這件事
[00:01:51.000 --> 00:01:53.000]  於是我就將裡面的陳奕迅
[00:01:53.000 --> 00:01:54.000]  容祖兒那些
[00:01:54.000 --> 00:01:55.000]  全部洗掉
[00:01:55.000 --> 00:01:56.000]  他連我的
[00:01:56.000 --> 00:01:57.000]  我的小提琴
[00:01:57.000 --> 00:01:58.000]  大家記得嗎
[00:01:58.000 --> 00:01:59.000]  我將我的古典音樂
[00:01:59.000 --> 00:02:00.000]  小提琴
[00:02:00.000 --> 00:02:01.000]  全部都洗掉
[00:02:01.000 --> 00:02:03.000]  當時我大約儲存了一兩年
[00:02:03.000 --> 00:02:05.000]  有十隻八隻的CD
[00:02:05.000 --> 00:02:08.000]  我將那些CD全部塞進去
[00:02:08.000 --> 00:02:09.000]  但你要知道一件事
[00:02:09.000 --> 00:02:11.000]  在這部機面世之前
[00:02:11.000 --> 00:02:12.000]  或者iPod面世之前
[00:02:12.000 --> 00:02:15.000]  有沒有人用過MP3機那些
[00:02:15.000 --> 00:02:16.000]  這裡有沒有人用過
[00:02:16.000 --> 00:02:17.000]  出賣年齡系列
[00:02:17.000 --> 00:02:18.000]  OK
[00:02:18.000 --> 00:02:19.000]  有沒有人用過
[00:02:19.000 --> 00:02:22.000]  在之前有沒有人用過MD機呢
[00:02:22.000 --> 00:02:24.000]  嘩,出賣年齡系列
[00:02:24.000 --> 00:02:26.000]  有沒有人是有DISMAN的呢
[00:02:26.000 --> 00:02:27.000]  這裡
[00:02:27.000 --> 00:02:30.000]  集體回憶
[00:02:30.000 --> 00:02:32.000]  好了,我不會再問下去了
[00:02:32.000 --> 00:02:33.000]  CASSETTE機
[00:02:33.000 --> 00:02:35.000]  我都好像不知道是什麼
[00:02:35.000 --> 00:02:37.000]  以前你用
[00:02:37.000 --> 00:02:40.000]  這部機出現之前那些MP3機
[00:02:40.000 --> 00:02:43.000]  你只得過128MB
