
[00:00:00.000 --> 00:00:01.440]   Amen. Thank you, Jason.
[00:00:01.440 --> 00:00:03.440]   Let's give Jason a round of applause.
[00:00:03.440 --> 00:00:05.440]   That was a great leading.
[00:00:05.440 --> 00:00:08.080]   And congratulations to June.
[00:00:08.080 --> 00:00:10.080]   June has been accepted.
[00:00:10.080 --> 00:00:14.480]   I'm so touched to see her being selected
[00:00:14.480 --> 00:00:16.960]   and to see how she has helped us improve our book.
[00:00:16.960 --> 00:00:18.400]   Congratulations to everyone.
[00:00:18.400 --> 00:00:21.040]   Because today is the last day of the audition.
[00:00:21.040 --> 00:00:25.040]   I don't know how you feel about the last 21 days of the audition.
[00:00:25.040 --> 00:00:27.840]   I heard everyone was sharing their experiences.
[00:00:27.840 --> 00:00:30.400]   The two ladies next to me were sharing their experiences.
[00:00:30.400 --> 00:00:31.440]   I was talking to them.
[00:00:31.440 --> 00:00:34.640]   And I found out that they had some experiences.
[00:00:34.640 --> 00:00:37.440]   Maybe we'll share them together later.
[00:00:37.440 --> 00:00:41.280]   Today is the last day of the auditions.
[00:00:41.280 --> 00:00:48.000]   I don't know how you feel about the last 21 days of the audition.
[00:00:48.000 --> 00:00:52.640]   What do you feel when you start the audition?
[00:00:52.640 --> 00:00:54.640]   What do you expect?
[00:00:54.640 --> 00:00:58.800]   I remember when I first started this year,
[00:00:58.800 --> 00:01:00.320]   and I wrote the book for the first time,
[00:01:00.320 --> 00:01:04.480]   I was looking forward to what God would say to me.
[00:01:04.480 --> 00:01:07.920]   Especially last year,
[00:01:07.920 --> 00:01:10.640]   when we entered a new stage of life.
[00:01:10.640 --> 00:01:12.240]   My wife and I were both thinking,
[00:01:12.240 --> 00:01:13.440]   we were both servants,
[00:01:13.440 --> 00:01:14.560]   we were both thinking,
[00:01:14.560 --> 00:01:18.880]   "After marriage, how will God use us?"
[00:01:18.880 --> 00:01:20.640]   "How will He serve us?"
[00:01:20.640 --> 00:01:24.400]   "How will we use the past two years?"
[00:01:24.400 --> 00:01:26.000]   I still remember the first week,
[00:01:26.000 --> 00:01:27.920]   when we started to eat lunch,
[00:01:27.920 --> 00:01:29.920]   I simply couldn't believe
[00:01:29.920 --> 00:01:32.960]   how God would keep talking to us that week.
[00:01:32.960 --> 00:01:34.560]   I was looking forward to every day of prayer,
[00:01:34.560 --> 00:01:37.600]   because you never know what God will say to you the next day.
[00:01:37.600 --> 00:01:42.080]   It was like God was giving us His will every day.
[00:01:42.080 --> 00:01:44.880]   Not only in the proclamation,
[00:01:44.880 --> 00:01:46.960]   but also when we were in our lives,
[00:01:46.960 --> 00:01:48.960]   when we were going through struggles,
[00:01:48.960 --> 00:01:50.800]   God was slowly showing us.
[00:01:50.800 --> 00:01:54.320]   I remember when we were 15, 16 years old,
[00:01:54.320 --> 00:01:55.760]   we were making decisions,
[00:01:55.760 --> 00:01:59.440]   and we didn't know how to apply them.
[00:01:59.440 --> 00:02:03.600]   God was actually opening doors for us,
[00:02:03.600 --> 00:02:05.520]   to give us a chance.
[00:02:05.520 --> 00:02:07.040]   When we were worried,
[00:02:07.040 --> 00:02:09.920]   and we were looking for something,
[00:02:09.920 --> 00:02:12.880]   when we were talking about how to deal with things,
[00:02:12.880 --> 00:02:14.560]   we received a phone call,
[00:02:14.560 --> 00:02:17.760]   and God was slowly opening doors for us.
[00:02:17.760 --> 00:02:19.760]   On the one hand, we were very excited,
[00:02:19.760 --> 00:02:21.760]   God was talking to us like that.
[00:02:21.760 --> 00:02:23.040]   On the other hand, we were looking forward to
[00:02:23.040 --> 00:02:25.040]   what would happen the next week.
[00:02:25.040 --> 00:02:28.800]   Would there be someone to give us a service offer?
[00:02:28.800 --> 00:02:30.800]   Or what?
[00:02:30.800 --> 00:02:34.560]   But when I went into the prayer the next week,
