
[00:00:00.000 --> 00:00:02.600]  剛才我去洗手間看到自己的時候
[00:00:02.600 --> 00:00:06.960]  想起在抽屜底下找到一件衣服
[00:00:06.960 --> 00:00:08.080]  終於冬天了
[00:00:08.080 --> 00:00:11.720]  大家都可以迎接春天的來臨
[00:00:11.720 --> 00:00:12.720]  我想起什麼呢?
[00:00:12.720 --> 00:00:15.320]  想起原來我上一次穿這件衣服的時候
[00:00:15.320 --> 00:00:16.720]  是三年前
[00:00:16.720 --> 00:00:17.760]  就是和你一起
[00:00:17.760 --> 00:00:20.840]  我們當時還沒有這個地方
[00:00:20.840 --> 00:00:22.960]  但我們在隔壁會所
[00:00:22.960 --> 00:00:28.000]  屋苑會所租了一個房間開啟發
[00:00:28.000 --> 00:00:31.280]  當中有沒有人參與啟發呢?
[00:00:31.280 --> 00:00:32.560]  也有
[00:00:32.560 --> 00:00:33.760]  另外還有幾個人
[00:00:33.760 --> 00:00:35.200]  我們幾個人
[00:00:35.200 --> 00:00:37.600]  我們幾個人在
[00:00:37.600 --> 00:00:39.040]  對,幾個人
[00:00:39.040 --> 00:00:40.080]  幾個人和幾個人
[00:00:40.080 --> 00:00:42.760]  有一個啟發課程在會所裡
[00:00:42.760 --> 00:00:45.040]  怎會想到今天我們可以在這裡
[00:00:45.040 --> 00:00:47.200]  我們有這麼多弟兄姊妹一起
[00:00:47.200 --> 00:00:50.280]  好像有一點點弯弯的
[00:00:50.280 --> 00:00:52.040]  可能細聲一點
[00:00:52.040 --> 00:00:53.640]  想到在這裡我們可以一起敬拜
[00:00:53.640 --> 00:00:55.000]  一起崇拜
[00:00:55.000 --> 00:00:56.560]  接下來我們會有啟發的
[00:00:56.560 --> 00:00:58.640]  到時再和大家說
[00:00:58.640 --> 00:01:00.320]  我們可以一起去服侍
[00:01:00.320 --> 00:01:02.040]  一件很好的事
[00:01:02.040 --> 00:01:04.520]  大家的祈禱如何?
[00:01:04.520 --> 00:01:06.360]  還可以嗎?
[00:01:06.360 --> 00:01:07.080]  是嗎?
[00:01:07.080 --> 00:01:09.040]  好,繼續加油
[00:01:09.040 --> 00:01:10.120]  努力
[00:01:10.120 --> 00:01:12.840]  求主繼續加力保守你們
[00:01:12.840 --> 00:01:14.800]  讓大家可以繼續在
[00:01:14.800 --> 00:01:16.760]  這個屬靈的操練裡面
[00:01:16.760 --> 00:01:18.680]  去被神裝備
