
[00:00:00.000 --> 00:00:05.800]  為你們禱告,也為我禱告,我去年也踢完也散了
[00:00:05.800 --> 00:00:09.000]  今年不知道踢不踢,我自己帶,我們也會去支持的
[00:00:09.000 --> 00:00:15.600]  如果真的有興趣,藉著足球去支持士工的時候,報名吧
[00:00:15.600 --> 00:00:20.200]  我們十月也很快了,所以快點報名吧
[00:00:20.200 --> 00:00:26.200]  其實這個也是邀請一些你們身邊很親近,又喜歡運動的朋友
[00:00:26.200 --> 00:00:33.200]  縱使他未必暫時回到這間教會,我們之前也有因為踢足球而連結了一些新的朋友
[00:00:33.200 --> 00:00:36.200]  已經再加強了廣告,催眠我們
[00:00:36.200 --> 00:00:43.200]  我想問大家有沒有數過你們手機上有多少個apps?
[00:00:43.200 --> 00:00:48.200]  放心,這些不是我的軟件,也不知道是什麼,只是其中一張照片
[00:00:48.200 --> 00:01:01.200]  有一個統計,最近的統計,平均每個用智能手機的人大概有60至100個apps
[00:01:01.200 --> 00:01:06.200]  真的會用的大概有10至30個apps
[00:01:06.200 --> 00:01:10.200]  真的每一天都會用的,其實是6至10個apps
[00:01:10.200 --> 00:01:14.200]  你有多少個?我發現我有193個
[00:01:14.200 --> 00:01:21.200]  真的,什麼apps呢?會有一些購物apps,會有一些外賣apps
[00:01:21.200 --> 00:01:26.200]  會有一些理財、健身、健康
[00:01:26.200 --> 00:01:30.200]  剛剛轉了電車,10個apps就要下載
[00:01:30.200 --> 00:01:36.200]  然後還有很多很多拍照、修圖的apps,大家應該也有一點吧
[00:01:36.200 --> 00:01:39.200]  每個apps背後都有一個承諾
[00:01:39.200 --> 00:01:46.200]  他就說我可以給你解決你的問題
[00:01:46.200 --> 00:01:54.200]  我們習慣了這個思維模式,只要你找到最多最多最好的解決方案
[00:01:54.200 --> 00:01:58.200]  我們去找最多最好的導師,找最多的課程
[00:01:58.200 --> 00:02:01.200]  我們的人生就可以成功了
[00:02:01.200 --> 00:02:04.200]  是不是有點歪歪的這個詞語?成功了
[00:02:04.200 --> 00:02:09.200]  問題是這個思維模式會入侵了我們信仰的生活裡面
[00:02:09.200 --> 00:02:13.200]  當我們跟神的關係疏遠了
[00:02:13.200 --> 00:02:17.200]  我們會去想我去買一本什麼的屬靈書籍呢?
[00:02:17.200 --> 00:02:19.200]  可能我覺得我禱告很無力
[00:02:19.200 --> 00:02:23.200]  我會想我可能要去找一些禱告工作坊
[00:02:23.200 --> 00:02:26.200]  我們會找很多很多不同的方法
[00:02:26.200 --> 00:02:30.200]  禱告apps,我讀經apps也有十幾個
[00:02:30.200 --> 00:02:36.200]  我們會將我們的信仰生活都成為一個需要升級的技巧
[00:02:36.200 --> 00:02:39.200]  變成一個技能
[00:02:39.200 --> 00:02:42.200]  但是很奇怪的是越是去找一些不同的方法
[00:02:42.200 --> 00:02:45.200]  越是不斷去尋找的時候,未必真的會尋見
[00:02:45.200 --> 00:02:51.200]  可能反而會覺得問題好像越來越嚴重,為什麼會這樣呢?
[00:02:51.200 --> 00:02:57.200]  因為我們將關係的問題當成一個技術的問題來解決
[00:02:57.200 --> 00:03:02.200]  我們將關係的問題當成一個技術的問題
[00:03:02.200 --> 00:03:09.200]  試想想,如果你跟你老婆有關係上的衝突問題
[00:03:09.200 --> 00:03:12.200]  你會不會說,讓我立刻什麼都不要做
[00:03:12.200 --> 00:03:17.200]  我去找一個如何做一個好丈夫的課程去上課
[00:03:17.200 --> 00:03:20.200]  真的有的,不好意思,難怪問題沒解決
[00:03:20.200 --> 00:03:23.200]  還越來越嚴重
[00:03:23.200 --> 00:03:29.200]  當一個關係在當中的時候,關係的問題是透過關係本身去解決
[00:03:29.200 --> 00:03:35.200]  關係的問題不是透過找一些什麼技巧去解決
[00:03:35.200 --> 00:03:39.200]  同樣的道理,當我們跟神的關係疏遠的時候
[00:03:39.200 --> 00:03:44.200]  答案不是找更多不同的方法去處理
[00:03:44.200 --> 00:03:48.200]  而是應該在關係本身裡面
[00:03:48.200 --> 00:03:51.200]  今天我們透過史萊恆傳第三章
[00:03:51.200 --> 00:03:54.200]  我們要去看看當神蹟發生之後
[00:03:54.200 --> 00:03:56.200]  群眾的焦點放在哪裡?
[00:03:56.200 --> 00:03:59.200]  彼得又如何去糾正他們呢?
[00:03:59.200 --> 00:04:01.200]  我們要學習將我們的焦點
[00:04:01.200 --> 00:04:04.200]  不是去找很多很多不同的解決方法
[00:04:04.200 --> 00:04:08.200]  而是轉移到這個地方,神的裡面
[00:04:08.200 --> 00:04:14.200]  這樣我們才可以重新去經歷那份信仰,經歷神
[00:04:14.200 --> 00:04:18.200]  今天我們的題目是復蘇的時刻
[00:04:18.200 --> 00:04:22.200]  是靈的復蘇,是關係的復蘇
[00:04:22.200 --> 00:04:24.200]  當我們這樣重新經歷神的時候
