
[00:00:00.000 --> 00:00:01.500]  大家好,我是June
[00:00:01.500 --> 00:00:05.120]  也很感謝Yanis帶領我們
[00:00:05.120 --> 00:00:06.120]  很感謝她
[00:00:06.120 --> 00:00:08.620]  介紹一下,我也是June
[00:00:08.620 --> 00:00:09.920]  是這裡其中一位牧師
[00:00:09.920 --> 00:00:12.800]  很開心能夠在這裡見到大家
[00:00:12.800 --> 00:00:14.120]  我想分享一下
[00:00:14.120 --> 00:00:16.300]  過去的異象主日
[00:00:16.300 --> 00:00:19.420]  就像Tim和Ivan教父所說
[00:00:19.420 --> 00:00:22.300]  他鼓勵我們離開我們的安書區
[00:00:22.300 --> 00:00:24.000]  跟神一起去冒險
[00:00:24.000 --> 00:00:26.500]  但跟一般的冒險不一樣
[00:00:26.500 --> 00:00:29.120]  就是這個冒險是神帶領我們的
[00:00:29.120 --> 00:00:30.800]  有聖靈作為我們的風
[00:00:30.800 --> 00:00:34.300]  好像一艘船般在海上航行
[00:00:34.300 --> 00:00:36.500]  就像我小時候
[00:00:36.500 --> 00:00:38.800]  爸爸媽媽跟我說
[00:00:38.800 --> 00:00:41.120]  「去海洋公園了,我帶你去」
[00:00:41.120 --> 00:00:43.500]  完全不知道海洋公園是什麼
[00:00:43.500 --> 00:00:45.920]  但我就帶著這份期待的心情
[00:00:45.920 --> 00:00:49.120]  跟我的父母一起去海洋公園
[00:00:49.120 --> 00:00:50.920]  出發去未知的領域
[00:00:50.920 --> 00:00:54.300]  是不是每次都這麼期待,令人興奮呢?
[00:00:54.300 --> 00:00:56.500]  我回想起2022年
[00:00:56.500 --> 00:01:00.000]  那時候我們剛離開COVID不久
[00:01:00.000 --> 00:01:01.500]  那時候對我來說
[00:01:01.500 --> 00:01:03.500]  也是一個未知的領域
[00:01:03.500 --> 00:01:07.500]  那裡有很多令我不確定的因素
[00:01:07.500 --> 00:01:10.000]  我記得那時候無論是我的工作
[00:01:10.000 --> 00:01:11.500]  或是我的侍奉
[00:01:11.500 --> 00:01:13.500]  都遇到很大的迷惘
[00:01:13.500 --> 00:01:17.500]  迷惘到那時候我參加了四個不同的教會
[00:01:17.500 --> 00:01:19.500]  一個月只有四個星期
[00:01:19.500 --> 00:01:23.500]  但我在四個不同的教會服侍
[00:01:23.500 --> 00:01:25.500]  有很多不同的事情在做
[00:01:25.500 --> 00:01:27.500]  因為我很想靠自己的力量
[00:01:27.500 --> 00:01:29.500]  去尋找一些機會
[00:01:29.500 --> 00:01:32.500]  很想靠自己的力量去找一些事情去做
[00:01:32.500 --> 00:01:35.000]  我知道有很多事情都是可行的
[00:01:35.000 --> 00:01:37.500]  但不是每一樣事情都對的
[00:01:37.500 --> 00:01:39.000]  那怎樣才是正確呢?
[00:01:39.000 --> 00:01:41.500]  我應該怎樣去走呢?
[00:01:41.500 --> 00:01:43.500]  我經常都會跟天父祈禱
[00:01:43.500 --> 00:01:46.500]  「天父,我究竟怎樣去做?怎樣去走?」
[00:01:46.500 --> 00:01:49.500]  但天父很少直接地跟我講話
[00:01:49.500 --> 00:01:51.500]  我經常都覺得
[00:01:51.500 --> 00:01:53.500]  「是不是應該這樣去做呢?」
