
[00:00:00.000 --> 00:00:03.800]  在上星期,Pastor Ivan 幫我們總結了
[00:00:03.800 --> 00:00:07.800]  和總結了我們這個同心前行的系列
[00:00:07.800 --> 00:00:10.680]  今天我們不是要開始一個新的講道系列
[00:00:10.680 --> 00:00:14.680]  你會發現我們每一年總會有一兩次
[00:00:14.680 --> 00:00:15.880]  或者有幾次的時間
[00:00:15.880 --> 00:00:17.600]  我們會有一些我們叫做One-off
[00:00:17.600 --> 00:00:20.600]  這些一次過的講道訊息
[00:00:20.600 --> 00:00:23.680]  今天我所說的是一個叫做One-off
[00:00:23.680 --> 00:00:25.640]  一次過的一個訊息
[00:00:25.640 --> 00:00:27.600]  我們回顧一下
[00:00:27.600 --> 00:00:30.400]  在2025年到目前為止我們經歷過
[00:00:30.400 --> 00:00:32.200]  或者我們聽了些什麼
[00:00:32.200 --> 00:00:33.600]  在今年一開始的時候
[00:00:33.600 --> 00:00:35.880]  我們在禱告的主題裡面
[00:00:35.880 --> 00:00:37.800]  我們去探索了
[00:00:37.800 --> 00:00:38.800]  我記得我在這裡的時候
[00:00:38.800 --> 00:00:42.000]  和大家分享了一些關於屬靈的discipline
[00:00:42.000 --> 00:00:44.800]  一些屬靈操練的課題
[00:00:44.800 --> 00:00:47.000]  然後接著我們有差不多兩個月的時間
[00:00:47.000 --> 00:00:50.400]  我們去來看一看弱勢它的生命
[00:00:50.400 --> 00:00:51.800]  它的故事是怎麼樣
[00:00:51.800 --> 00:00:54.200]  我們見證了它很多的高高低低
[00:00:54.200 --> 00:00:56.400]  而且我們在它的高高低低裡面
[00:00:56.400 --> 00:00:57.800]  我們去見到它的生命
[00:00:57.800 --> 00:01:00.400]  原來有很多很寶貴的功課
[00:01:00.400 --> 00:01:02.000]  是我們可以去學習
[00:01:02.000 --> 00:01:04.600]  我們見到它在試探經歷試探的時候
[00:01:04.600 --> 00:01:06.600]  本身它都是一個man of discipline
[00:01:06.600 --> 00:01:08.800]  它都是一個在屬靈操練裡面
[00:01:08.800 --> 00:01:10.000]  一個很有紀律的人
[00:01:10.000 --> 00:01:11.400]  即使它面對試探的時候
[00:01:11.400 --> 00:01:13.600]  它仍然都可以站立得穩
[00:01:13.600 --> 00:01:16.000]  接下來我們去在那個
[00:01:16.000 --> 00:01:18.000]  就是講弱勢的過程裡面
[00:01:18.000 --> 00:01:20.200]  中間Pastor Ivan和Pastor Tim
[00:01:20.200 --> 00:01:21.600]  都為我們帶來了
[00:01:21.600 --> 00:01:23.400]  我們教會今年一個的儀仗
[00:01:23.400 --> 00:01:25.800]  講到我們在未來一個Uncharted
[00:01:25.800 --> 00:01:28.200]  一個未知的旅程裡面
[00:01:28.200 --> 00:01:29.400]  我們想做些什麼
[00:01:29.400 --> 00:01:31.000]  我們覺得神呼召著我們
[00:01:31.000 --> 00:01:32.200]  要來去接觸
[00:01:32.200 --> 00:01:33.400]  要來去reach out
[00:01:33.400 --> 00:01:36.000]  在我們城市裡面那個年輕的一代
[00:01:36.000 --> 00:01:38.600]  但在我們去接觸年輕的一代之前
[00:01:38.600 --> 00:01:39.800]  首先我們要學習
[00:01:39.800 --> 00:01:40.800]  我們要明白到
[00:01:40.800 --> 00:01:42.200]  在這個這麼破碎
[00:01:42.200 --> 00:01:45.400]  在這個充滿著這麼多的憂慮
[00:01:45.400 --> 00:01:47.200]  在這個充滿著這麼多的黑暗
[00:01:47.200 --> 00:01:48.200]  充滿著這麼多
[00:01:48.200 --> 00:01:50.400]  這些depression的世界裡面
[00:01:50.400 --> 00:01:52.000]  這個這麼抑鬱的世界裡面
[00:01:52.000 --> 00:01:54.200]  究竟耶穌復活的大能
[00:01:54.200 --> 00:01:55.400]  在這個世界裡面
[00:01:55.400 --> 00:01:56.200]  是什麼的意義
[00:01:56.200 --> 00:01:58.400]  於是我們花了一些時間在那裡
[00:01:58.400 --> 00:02:00.600]  然後我們就講到
[00:02:00.600 --> 00:02:02.400]  當我們說我們要在這個地方裡面
[00:02:02.400 --> 00:02:03.600]  我們要去reach out
[00:02:03.600 --> 00:02:05.400]  我們的下一代的時候
[00:02:05.400 --> 00:02:07.000]  是在講我們在這個地方裡面
[00:02:07.000 --> 00:02:08.800]  這間教會要成為一間
[00:02:08.800 --> 00:02:10.000]  multi-generational
[00:02:10.000 --> 00:02:11.200]  一間跨世代
[00:02:11.200 --> 00:02:13.200]  一間跨文化的教會
[00:02:13.200 --> 00:02:15.000]  所以我們剛剛在幾個星期裡面
