
[00:00:00.000 --> 00:00:06.400]  今晚我們去到以西傑書第八章
[00:00:06.400 --> 00:00:14.560]  以西傑書第八章是記載到以西傑見異象
[00:00:14.560 --> 00:00:19.040]  這個異象很不尋常很特別
[00:00:19.040 --> 00:00:21.920]  神有特別的意思在裏面
[00:00:21.920 --> 00:00:28.560]  這張異象特別的地方是不單止以西傑見到一些奇怪的東西
[00:00:28.560 --> 00:00:35.840]  異象就是你平時不會見到的東西,但是神讓你看到給你一個訊息
[00:00:35.840 --> 00:00:46.480]  不單止以西傑見到這些異象,這個異象是神帶他回到耶路撒冷的聖殿
[00:00:46.480 --> 00:00:54.320]  有時神叫人見異象是將異象帶到他面前,他不需要動
[00:00:54.320 --> 00:01:03.760]  但是以西傑這個異象是將他帶到六百多七百里以外的耶路撒冷
[00:01:03.760 --> 00:01:08.320]  根據歷史以西傑從來沒有回到耶路撒冷
[00:01:08.320 --> 00:01:13.520]  他被擄到巴比倫之後再沒有回到耶路撒冷
[00:01:13.520 --> 00:01:18.000]  我們來看一看第八章第一節
[00:01:18.000 --> 00:01:25.280]  第一節先給我們看到他在家裏,一會兒我們再說時間和地點
[00:01:25.280 --> 00:01:32.960]  他在家裏說在那裏耶和華的靈降在我身上
[00:01:32.960 --> 00:01:40.320]  首先是被聖靈充滿,我們也說過在舊約聖靈充滿一個人
[00:01:40.320 --> 00:01:48.160]  就是神要用他,神有特別的使命給過他,所以神的靈在那段時間充滿他
[00:01:48.160 --> 00:01:55.040]  但是不等於說神的靈經常在那裏,這個和我們現在新約很不同
[00:01:55.040 --> 00:02:03.200]  我們今天信了主之後,一直有聖靈在我們裏面,永遠和我們在一起
[00:02:03.200 --> 00:02:10.480]  所以你可以說神給我們新約信徒的恩典特別大
[00:02:10.480 --> 00:02:16.960]  第二節就說我觀看,這個我就是以西傑
[00:02:16.960 --> 00:02:22.880]  他看到形象彷彿火的形狀,從他腰下的形狀有火
[00:02:22.880 --> 00:02:28.800]  從他腰以上有光輝的形狀,彷彿光耀的精金
[00:02:28.800 --> 00:02:33.920]  然後第三節就說到他被提了
