
[00:00:00.000 --> 00:00:02.000]  我信耶稣二十多年
[00:00:02.000 --> 00:00:05.000]  侍奉神都差不多有二十年了
[00:00:05.000 --> 00:00:07.000]  我今天想和你們說
[00:00:07.000 --> 00:00:09.000]  在過去這二十多年裡
[00:00:09.000 --> 00:00:13.000]  我最怕見到兩類基督徒
[00:00:13.000 --> 00:00:20.000]  第一類就是兩頭不到岸的基督徒
[00:00:20.000 --> 00:00:22.000]  兩頭不到岸的基督徒的意思
[00:00:22.000 --> 00:00:25.000]  就是說他們信了耶稣
[00:00:25.000 --> 00:00:27.000]  他們回教會
[00:00:27.000 --> 00:00:34.000]  但是他們沒有享受到真正在信仰裡應該有的屬靈的享受
[00:00:34.000 --> 00:00:38.000]  但是因為他們回了教會
[00:00:38.000 --> 00:00:42.000]  所以他們要離開這個世界
[00:00:42.000 --> 00:00:44.000]  世界的人
[00:00:44.000 --> 00:00:47.000]  他們以前的朋友覺得他們很老套
[00:00:47.000 --> 00:00:49.000]  一個星期天又沒空
[00:00:49.000 --> 00:00:51.000]  他們就離開了這個世界
[00:00:51.000 --> 00:00:56.000]  所以世界的人不欣賞不歡迎他們
[00:00:56.000 --> 00:00:58.000]  他們回到禮拜堂
[00:00:58.000 --> 00:01:04.000]  就享受不到在耶穌基督裡面屬靈的豐盛
[00:01:04.000 --> 00:01:08.000]  我覺得這類基督徒是很可憐的
[00:01:08.000 --> 00:01:10.000]  如果他們還沒有信耶穌
[00:01:10.000 --> 00:01:11.000]  他們還有些享受
[00:01:11.000 --> 00:01:13.000]  他們也可以打麻將
[00:01:13.000 --> 00:01:15.000]  他們可以去玩遊戲
[00:01:15.000 --> 00:01:17.000]  他們可以去玩遊戲
[00:01:17.000 --> 00:01:19.000]  他們還有些享受
[00:01:19.000 --> 00:01:21.000]  他們也可以打麻將
[00:01:21.000 --> 00:01:25.000]  信了耶穌
[00:01:25.000 --> 00:01:27.000]  沒得打
[00:01:27.000 --> 00:01:31.000]  但是回到禮拜堂又沒有取代那種快樂
[00:01:31.000 --> 00:01:35.000]  所以耶穌的麻將友不理會他們
[00:01:35.000 --> 00:01:36.000]  回到禮拜堂
[00:01:36.000 --> 00:01:42.000]  團契又找不到資深的朋友可以彌補他們友情上的空虛
[00:01:42.000 --> 00:01:45.000]  我覺得這類基督徒很可憐
[00:01:45.000 --> 00:01:46.000]  離開世界
[00:01:46.000 --> 00:01:48.000]  又得不到屬靈的享受
[00:01:48.000 --> 00:01:50.000]  兩頭都不到
[00:01:50.000 --> 00:01:51.000]  這是第一類
[00:01:51.000 --> 00:01:53.000]  我覺得我很怕見這類基督徒
[00:01:53.000 --> 00:01:54.000]  很慘
[00:01:54.000 --> 00:01:56.000]  我提議他們不如不要信
[00:01:56.000 --> 00:01:57.000]  好好地回去
[00:01:57.000 --> 00:01:59.000]  讓他們開心一下
[00:01:59.000 --> 00:02:01.000]  另外一類
[00:02:01.000 --> 00:02:03.000]  我也是很怕
[00:02:03.000 --> 00:02:05.000]  很怕見
[00:02:05.000 --> 00:02:07.000]  在兩面的基督徒
[00:02:07.000 --> 00:02:09.000]  但我不知道說出來你們有沒有共鳴
[00:02:09.000 --> 00:02:13.000]  我今晚和大家說些誠實說話
[00:02:14.000 --> 00:02:17.000]  在過去二十多年裡我最怕見到另一類的基督徒
[00:02:17.000 --> 00:02:22.000]  事實上我很多次有這樣的真實的自己的經驗
[00:02:22.000 --> 00:02:26.000]  在教會裡有些基督徒很熱心
[00:02:26.000 --> 00:02:28.000]  我很欣賞他們
[00:02:28.000 --> 00:02:30.000]  參與很多的侍奉
[00:02:30.000 --> 00:02:32.000]  祈禱很真誠
[00:02:32.000 --> 00:02:33.000]  我很欣賞他們
[00:02:33.000 --> 00:02:35.000]  知道他們在世界上
[00:02:35.000 --> 00:02:37.000]  在他們的工作上
[00:02:37.000 --> 00:02:38.000]  很有成就
[00:02:38.000 --> 00:02:40.000]  很有成就的工程師
[00:02:40.000 --> 00:02:42.000]  很有成就的地產商
[00:02:42.000 --> 00:02:45.000]  是一個很好的校長
[00:02:45.000 --> 00:02:48.000]  我覺得他們真是很好的基督徒
[00:02:48.000 --> 00:02:50.000]  難得他們有事業的成就
[00:02:50.000 --> 00:02:52.000]  又有愛主的心
[00:02:52.000 --> 00:02:57.000]  我以前初初信主的時候很天真
[00:02:57.000 --> 00:03:00.000]  我說這些基督徒真的需要介紹給更多人認識
[00:03:00.000 --> 00:03:05.000]  到時我去到弟兄的公司裡
[00:03:05.000 --> 00:03:07.000]  和一些人聊天的時候
[00:03:07.000 --> 00:03:09.000]  我就說這個念理波斯真是好
[00:03:09.000 --> 00:03:12.000]  他和他們有熱心又愛人又愛神
[00:03:12.000 --> 00:03:15.000]  他又是一個成功的商人
[00:03:15.000 --> 00:03:19.000]  很多次我不知道你們有沒有這樣的經驗
[00:03:19.000 --> 00:03:24.000]  那個公司和他一起做公司的同事
[00:03:24.000 --> 00:03:27.000]  聽完我的稱讚之後
[00:03:27.000 --> 00:03:31.000]  有一種很奇怪的笑容
[00:03:31.000 --> 00:03:33.000]  陰陰笑
[00:03:33.000 --> 00:03:36.000]  溫先生
[00:03:36.000 --> 00:03:38.000]  他不是很認識他
[00:03:39.000 --> 00:03:40.000]  他很絕的
[00:03:40.000 --> 00:03:44.000]  做事心狠手辣
[00:03:44.000 --> 00:03:46.000]  我試過一次
[00:03:46.000 --> 00:03:48.000]  一個地產的弟兄
