
[00:00:00.000 --> 00:00:01.720]  在我們開始講之前
[00:00:01.720 --> 00:00:03.200]  亦想讓大家知道一下
[00:00:03.200 --> 00:00:05.200]  今天的訊息
[00:00:05.200 --> 00:00:08.800]  聽一送三
[00:00:08.800 --> 00:00:10.800]  是甚麼意思呢
[00:00:10.800 --> 00:00:12.800]  就是你聽完這一講
[00:00:12.800 --> 00:00:14.800]  我送三講給你
[00:00:14.800 --> 00:00:17.400]  這三講就是路德記的第一章
[00:00:17.400 --> 00:00:19.400]  一到五節
[00:00:19.400 --> 00:00:20.900]  然後六到尾
[00:00:20.900 --> 00:00:21.900]  然後第二章
[00:00:21.900 --> 00:00:23.900]  一共有三講的訊息
[00:00:23.900 --> 00:00:27.400]  大家在網上可以看又看到
[00:00:27.400 --> 00:00:29.400]  聽又聽到
[00:00:29.400 --> 00:00:31.400]  隨時都可以聽
[00:00:31.400 --> 00:00:35.400]  這樣你便可以一連串
[00:00:35.400 --> 00:00:37.400]  整個路德記的片段
[00:00:37.400 --> 00:00:39.400]  你都可以知道
[00:00:39.400 --> 00:00:42.400]  我們一起先做一個禱告
[00:00:42.400 --> 00:00:45.400]  親愛的主耶穌
[00:00:45.400 --> 00:00:47.400]  再一次的多謝你
[00:00:47.400 --> 00:00:49.400]  讓我們有機會
[00:00:49.400 --> 00:00:52.400]  讓你的說話去影響我們的人生
[00:00:52.400 --> 00:00:58.400]  這個世界是變幻無常
[00:00:58.400 --> 00:01:01.400]  常常可以有喜有福
[00:01:01.400 --> 00:01:04.400]  人不知不覺的時候
[00:01:04.400 --> 00:01:06.400]  災難、逆境
[00:01:06.400 --> 00:01:09.400]  可能忽然來到他們當中
[00:01:09.400 --> 00:01:12.400]  大主我求祢幫助我們
[00:01:12.400 --> 00:01:16.400]  注目在天上
[00:01:16.400 --> 00:01:18.400]  在我們神的身上
[00:01:18.400 --> 00:01:21.400]  因為在這裡一定有出路
[00:01:21.400 --> 00:01:24.400]  我們多謝祢
[00:01:24.400 --> 00:01:26.400]  我們的一家
[00:01:26.400 --> 00:01:29.400]  雖然曾經做錯過決定
[00:01:29.400 --> 00:01:31.400]  但當他們回轉的時候
[00:01:31.400 --> 00:01:33.400]  他們看到出路
[00:01:33.400 --> 00:01:36.400]  他們看到你自己的眷顧
[00:01:36.400 --> 00:01:38.400]  甚至變相的祝福
[00:01:38.400 --> 00:01:41.400]  都臨到他們的身上
[00:01:41.400 --> 00:01:42.400]  求你透過你的說話
[00:01:42.400 --> 00:01:45.400]  安慰我們每一位頂尖會員
[00:01:45.400 --> 00:01:46.400]  又透過你的說話
[00:01:46.400 --> 00:01:49.400]  堅強我們對你的信心
[00:01:49.400 --> 00:01:53.400]  更加是按你的說話去行
[00:01:53.400 --> 00:01:58.400]  以至迎接一個更美的前景
[00:01:58.400 --> 00:01:59.400]  求你聽我們禱告
[00:01:59.400 --> 00:02:03.400]  奉耶穌基督的命令
[00:02:03.400 --> 00:02:04.400]  各位親愛的姐妹
[00:02:04.400 --> 00:02:05.400]  我想問大家
[00:02:05.400 --> 00:02:09.400]  在人類這麼多種不同的關係當中
[00:02:09.400 --> 00:02:15.400]  你覺得最難的是哪一種關係呢?
[00:02:15.400 --> 00:02:17.400]  什麼關係呢?
[00:02:17.400 --> 00:02:19.400]  大聲一點
[00:02:19.400 --> 00:02:20.400]  婆媳
[00:02:20.400 --> 00:02:24.400]  當然是幾分的了
[00:02:24.400 --> 00:02:25.400]  有多少人同意的?
[00:02:25.400 --> 00:02:27.400]  婆媳的關係是最難的
[00:02:27.400 --> 00:02:30.400]  舉手吧
[00:02:30.400 --> 00:02:35.400]  有多少人覺得母子的關係是最難的?
[00:02:35.400 --> 00:02:39.400]  父女的關係是最難的?
[00:02:39.400 --> 00:02:46.400]  後母和子女的關係
[00:02:46.400 --> 00:02:48.400]  後母和子女的關係
[00:02:48.400 --> 00:02:50.400]  或者後父和子女的關係是最難的
[00:02:50.400 --> 00:02:52.400]  是別人的子女,不是自己
[00:02:52.400 --> 00:02:55.400]  可不可以舉手?
[00:02:55.400 --> 00:02:56.400]  很少
[00:02:56.400 --> 00:02:58.400]  大部分都不知道
[00:02:58.400 --> 00:03:00.400]  因為沒有難的
[00:03:00.400 --> 00:03:02.400]  在我自己的墓會
[00:03:02.400 --> 00:03:06.400]  三十多
[00:03:06.400 --> 00:03:11.400]  差不多去到四十年的經歷當中
[00:03:11.400 --> 00:03:14.400]  我處理的那些關係
[00:03:14.400 --> 00:03:16.400]  最結塌塌
[00:03:16.400 --> 00:03:24.400]  亦都是令我們心驚膽戰的經歷
[00:03:24.400 --> 00:03:31.400]  大部分是與婆媳的關係有關
[00:03:31.400 --> 00:03:32.400]  有些人說
[00:03:32.400 --> 00:03:37.400]  為什麼婆媳的關係特別困難呢?
[00:03:37.400 --> 00:03:38.400]  後母的關係都不難
[00:03:38.400 --> 00:03:40.400]  因為小孩子小
[00:03:40.400 --> 00:03:43.400]  沒有一個傷害是那麼嚴重的
[00:03:43.400 --> 00:03:45.400]  但是婆媳的關係
[00:03:45.400 --> 00:03:46.400]  因為兩個都是成年人
