
[00:00:00.000 --> 00:00:05.880]  今天我們活在這個世界裏面
[00:00:05.880 --> 00:00:11.460]  我經常都會有一些自我的反思或者思想
[00:00:11.460 --> 00:00:14.860]  不過在那個思想過程當中
[00:00:14.860 --> 00:00:19.200]  有時我就會覺得在聖經的啟示當中
[00:00:19.200 --> 00:00:22.000]  去陳述到有關於這個世界
[00:00:22.000 --> 00:00:24.240]  究竟我們這個世界
[00:00:24.240 --> 00:00:27.200]  究竟是不是真的一直墮落下去呢?
[00:00:27.200 --> 00:00:29.080]  在教會的神學裏面
[00:00:29.080 --> 00:00:30.880]  有些信徒認為
[00:00:30.880 --> 00:00:35.600]  我們只要我們忠心信主、忠心侍奉主
[00:00:35.600 --> 00:00:38.640]  於是我們就可以有能力
[00:00:38.640 --> 00:00:42.000]  可以將這個世界弄得更加美好
[00:00:42.000 --> 00:00:47.200]  也有另一批信徒在聖經的啟示裏面
[00:00:47.200 --> 00:00:50.360]  他會有另外的完全相反的看法
[00:00:50.360 --> 00:00:53.080]  認為這個世界是一直墮落
[00:00:53.080 --> 00:00:56.000]  隨著在創世記的開始
[00:00:56.000 --> 00:01:00.560]  人因為在這個罪的世界當中
[00:01:00.560 --> 00:01:06.080]  能夠導致這個世界在一個敗壞裏面
[00:01:06.080 --> 00:01:07.760]  地被咒詛
[00:01:07.760 --> 00:01:10.200]  於是我們活在這個世界
[00:01:10.200 --> 00:01:12.960]  其實只會一直這樣敗壞下去
[00:01:12.960 --> 00:01:15.760]  究竟哪一派的想法才是對的呢?
[00:01:15.760 --> 00:01:20.080]  哪一派的主張才是聖經的啟示
[00:01:20.080 --> 00:01:21.760]  合乎聖經的啟示呢?
[00:01:21.760 --> 00:01:26.080]  我很多時候在這個題目上有些反思
[00:01:26.080 --> 00:01:29.040]  特別當我們再仔細看一下
[00:01:29.040 --> 00:01:33.160]  今時今日我們在這個世界裏面的環境
[00:01:33.160 --> 00:01:37.560]  我不想講太多有關於人為的因素
[00:01:37.560 --> 00:01:40.000]  不過我們可以細心看一下
[00:01:40.000 --> 00:01:42.400]  今時今日特別我們在加拿大
[00:01:42.400 --> 00:01:44.720]  這個天氣的改變
[00:01:44.720 --> 00:01:49.160]  其實真是很引發我們去對這個世界
[00:01:49.160 --> 00:01:51.440]  越來越墮落的情況
[00:01:51.440 --> 00:01:54.360]  我們有一個更深切的反思
[00:01:54.360 --> 00:01:56.960]  我們發覺加拿大再不像
[00:01:56.960 --> 00:02:00.240]  我們最初30年前來到的加拿大一樣
[00:02:00.240 --> 00:02:02.760]  冬天真是冷的
[00:02:02.760 --> 00:02:05.840]  夏天真是風和日麗的
[00:02:05.840 --> 00:02:09.240]  現在我們發覺加拿大的冬天
[00:02:09.240 --> 00:02:12.000]  冬天其實真是不是很多時間
[00:02:12.000 --> 00:02:13.120]  特別是多倫多
[00:02:13.120 --> 00:02:16.960]  但是天氣的惡劣程度
[00:02:16.960 --> 00:02:18.480]  就越來越嚴重
[00:02:18.480 --> 00:02:20.480]  我可以講早幾天之前
[00:02:20.480 --> 00:02:22.080]  突然間下了一場冰雨
[00:02:22.080 --> 00:02:24.480]  就滑到我躺在家裏
[00:02:24.480 --> 00:02:28.480]  只是拿些recycle出去門口
[00:02:28.480 --> 00:02:30.680]  已經經驗老到的我
[00:02:30.680 --> 00:02:34.480]  竟然去到路邊都會躺在那裏
[00:02:34.480 --> 00:02:38.160]  這個真是天氣的一個警告
[00:02:38.160 --> 00:02:40.400]  告訴我們知道其實這個世界
[00:02:40.400 --> 00:02:43.120]  已經不像以前一樣
[00:02:43.120 --> 00:02:47.360]  是一個有系統或者是一個比較
[00:02:47.360 --> 00:02:52.160]  合理的四季分明的一個天氣
[00:02:52.160 --> 00:02:55.880]  加上你看看現在全世界的
[00:02:55.880 --> 00:02:58.760]  所謂空氣污染的狀態
[00:02:58.760 --> 00:03:01.760]  人為的因素
[00:03:01.760 --> 00:03:04.080]  現在的打仗的模式
[00:03:04.080 --> 00:03:07.680]  已經和過去20世紀那種
