
[00:00:00.000 --> 00:00:05.440]  好多謝大家 多謝陳牧師
[00:00:05.440 --> 00:00:09.640]  其實下大雨 我只想起一個鏡頭
[00:00:09.640 --> 00:00:12.000]  就是生命還有陽光
[00:00:12.000 --> 00:00:13.640]  我覺得這句說話放得很好
[00:00:13.640 --> 00:00:16.440]  就是令一個可能有少少灰心的人
[00:00:16.440 --> 00:00:18.680]  聽到一個人跟他說
[00:00:18.680 --> 00:00:20.680]  這個世界還有陽光
[00:00:20.680 --> 00:00:23.680]  希望今天我們一起去想一想
[00:00:23.680 --> 00:00:25.480]  其實做岩灣工作
[00:00:25.480 --> 00:00:29.600]  其實有些人覺得這些是醫生、醫療、
[00:00:29.600 --> 00:00:31.400]  醫院的工作
[00:00:31.400 --> 00:00:34.320]  有些非醫療人員做的
[00:00:34.320 --> 00:00:37.120]  又好像是醫療人員做的事
[00:00:37.120 --> 00:00:38.680]  但我們關懷些甚麼呢
[00:00:38.680 --> 00:00:39.880]  我們沒有藥開的
[00:00:39.880 --> 00:00:41.000]  又不懂得打針
[00:00:41.000 --> 00:00:42.040]  又不懂得斷性
[00:00:42.040 --> 00:00:43.440]  甚麼都不懂
[00:00:43.440 --> 00:00:45.600]  但有可能反過來說
[00:00:45.600 --> 00:00:48.120]  對一個病人收到的東西
[00:00:48.120 --> 00:00:49.920]  不低於醫生
[00:00:49.920 --> 00:00:50.840]  很多人都承認
[00:00:50.840 --> 00:00:52.400]  如果沒有了岩灣
[00:00:52.400 --> 00:00:53.920]  我都不知道怎樣過了幾年
[00:00:53.920 --> 00:00:56.680]  有些人真的日子不是很長
[00:00:56.680 --> 00:01:00.280]  但他每天都覺得很精彩
[00:01:00.280 --> 00:01:02.960]  今天其實我不是一個口合式的講員
[00:01:02.960 --> 00:01:05.760]  我知道有些影雄
[00:01:05.760 --> 00:01:07.640]  我的老友都來了
[00:01:07.640 --> 00:01:11.680]  我們是一家護心起藥團的幫手
