
[00:00:00.000 --> 00:00:03.640]  願我口中的言語 心裡的意念
[00:00:03.640 --> 00:00:09.100]  在你面前得蒙月立 阿門
[00:00:09.100 --> 00:00:12.100]  多謝主教的介紹
[00:00:12.100 --> 00:00:18.260]  我太太和師母是小學一年級的同學
[00:00:18.260 --> 00:00:21.400]  所以淵源很深
[00:00:21.400 --> 00:00:26.840]  不過我是中學才進聖保羅的
[00:00:26.840 --> 00:00:33.000]  剛才主教提到在溫哥華見面
[00:00:33.000 --> 00:00:34.600]  印象很深刻
[00:00:34.600 --> 00:00:36.320]  1986年
[00:00:36.320 --> 00:00:39.520]  當時我在唐人街
[00:00:39.520 --> 00:00:43.520]  設立中華基督教會侍奉
[00:00:43.520 --> 00:00:46.320]  感謝神
[00:00:46.320 --> 00:00:52.920]  多年來我們能夠在教會當中
[00:00:52.920 --> 00:00:55.760]  在神的國度裏面
[00:00:55.760 --> 00:01:02.480]  我們可以一起並肩服侍上帝
[00:01:02.480 --> 00:01:07.400]  我信聖兒宮之教會
[00:01:07.400 --> 00:01:14.560]  是《使徒信經》裏面的一句說話
[00:01:14.560 --> 00:01:21.160]  《使徒信經》有一個很美麗的傳說
[00:01:21.160 --> 00:01:25.040]  為何叫做《使徒信經》呢?
[00:01:25.040 --> 00:01:30.560]  因為十二個使徒在耶穌升天之後
[00:01:30.560 --> 00:01:33.560]  有一次大家坐在一起
[00:01:33.560 --> 00:01:36.360]  在聖靈感動之下
[00:01:36.360 --> 00:01:39.560]  西門彼得開始說
[00:01:39.560 --> 00:01:44.840]  「我信上帝全能的輔」
[00:01:44.840 --> 00:01:47.040]  雅各接下去
[00:01:47.040 --> 00:01:50.360]  「創造天地的主」
[00:01:50.360 --> 00:01:51.960]  約翰馬上跟著說
[00:01:51.960 --> 00:01:54.680]  「我信我主耶穌基督」
[00:01:54.680 --> 00:01:58.200]  「上帝獨生兒子」
[00:01:58.200 --> 00:01:59.880]  安德烈接著說
[00:01:59.880 --> 00:02:02.480]  「因聖靈能力感人」
[00:02:02.480 --> 00:02:05.680]  「由童貞女瑪利亞所生」
[00:02:05.680 --> 00:02:11.480]  於是十二使徒就完成了《使徒信經》
[00:02:11.480 --> 00:02:13.760]  這個當然是傳說
[00:02:13.760 --> 00:02:16.560]  一點歷史根據都沒有
[00:02:16.560 --> 00:02:20.960]  但是猶太人的故事
[00:02:20.960 --> 00:02:23.240]  我們要懂得理解
[00:02:23.240 --> 00:02:26.640]  正如《拉比》的《釋經》
[00:02:26.640 --> 00:02:31.080]  他們不是用西方的理性邏輯
[00:02:31.080 --> 00:02:32.840]  去解釋經文
[00:02:32.840 --> 00:02:35.560]  他們往往是用故事
[00:02:35.560 --> 00:02:39.800]  來幫助我們明白《聖經》的意思
[00:02:39.800 --> 00:02:44.400]  《使徒信經》其實每一句說話
[00:02:44.400 --> 00:02:49.200]  都是根據新舊約聖經而來的
[00:02:49.200 --> 00:02:51.920]  《使徒信經》的結構
