
[00:00:00.000 --> 00:00:06.240]  路德基我已經講了有五講了
[00:00:06.240 --> 00:00:10.240]  你說一張書講一個訊息
[00:00:10.240 --> 00:00:12.560]  四張書怎會講了五講
[00:00:12.560 --> 00:00:15.360]  因為我第一講是一個介紹
[00:00:15.360 --> 00:00:17.920]  今天又要講第六講
[00:00:17.920 --> 00:00:22.000]  四張書你又多了一講出來
[00:00:22.000 --> 00:00:24.800]  其實今天是壓軸的好戲
[00:00:24.800 --> 00:00:30.640]  這一篇的道我叫做奧庇猶隱藏的外邦辛苦
[00:00:30.640 --> 00:00:34.880]  這個外邦辛苦就是由路德來代表
[00:00:34.880 --> 00:00:38.880]  外邦辛苦就是教會
[00:00:38.880 --> 00:00:43.200]  我們知道現在是外邦人得救
[00:00:43.200 --> 00:00:46.720]  外邦人就是猶太人之外的人
[00:00:46.720 --> 00:00:49.360]  教會大部分都是外邦人
[00:00:49.360 --> 00:00:51.280]  現在就是外邦人得救的時候
[00:00:51.280 --> 00:00:56.080]  就是路德所預表的外邦新娘
[00:00:56.080 --> 00:00:58.560]  有人問了我很多次
[00:00:58.560 --> 00:01:02.640]  究竟教會是否起源於十二支派
[00:01:02.640 --> 00:01:05.920]  教會是否由以色列就開始
[00:01:05.920 --> 00:01:11.760]  我今天會有一個非常詳細的解答這個問題
[00:01:11.760 --> 00:01:14.480]  在賀西亞書的十二章第十節
[00:01:14.480 --> 00:01:17.200]  神說我以曉如眾先知
[00:01:17.200 --> 00:01:21.680]  並且加真物是直先知設立比喻
[00:01:21.680 --> 00:01:24.800]  在這裡比喻這個字和合本
[00:01:24.800 --> 00:01:26.560]  將它翻譯成比喻
[00:01:26.560 --> 00:01:29.360]  但原文是Adama這個字
[00:01:29.360 --> 00:01:33.040]  意思就是說相似的類似的
[00:01:33.040 --> 00:01:35.680]  這個就是我講的預表
[00:01:35.680 --> 00:01:37.680]  就是預象
[00:01:37.680 --> 00:01:39.680]  你說有什麼預象
[00:01:39.680 --> 00:01:41.680]  我講路德記的時候
[00:01:41.680 --> 00:01:46.640]  我經常說主角波亞斯就是耶穌基督的預象
[00:01:46.640 --> 00:01:48.880]  耶穌是我們的救主
[00:01:48.880 --> 00:01:52.400]  就好像波亞斯是路德的救主一樣
[00:01:52.400 --> 00:01:54.000]  救贖路德
[00:01:54.000 --> 00:01:55.440]  他就是Gal
[00:01:55.440 --> 00:01:58.160]  在路德記的第二章我們看到
[00:01:58.160 --> 00:02:00.720]  波亞斯是有地位有身份
[00:02:00.720 --> 00:02:04.320]  就好像耶穌基督一樣能夠救贖我們
[00:02:04.320 --> 00:02:06.320]  你說路德呢?
[00:02:06.320 --> 00:02:09.040]  路德就是教會的預象
[00:02:09.040 --> 00:02:11.040]  是外邦的新娘子
[00:02:11.040 --> 00:02:13.520]  現在是外邦人得救的時候
[00:02:14.240 --> 00:02:17.040]  在聖經裡不單止路德記
[00:02:17.040 --> 00:02:20.000]  是有耶穌基督和教會的預象
[00:02:20.000 --> 00:02:24.080]  早在創世紀的二十四章就已經有了
[00:02:24.080 --> 00:02:26.960]  記不記得在創世紀二十四章
[00:02:26.960 --> 00:02:28.960]  阿伯拉罕要為以撒
[00:02:28.960 --> 00:02:31.680]  為他的兒子來找一個新娘
[00:02:31.680 --> 00:02:36.240]  他就找了他最忠實最老的這位僕人
[00:02:36.240 --> 00:02:39.280]  去替以撒來找一個妻子
[00:02:39.280 --> 00:02:41.840]  這個僕人就立刻起來
[00:02:41.840 --> 00:02:46.640]  向著阿伯拉罕所指定的地方去找新娘
[00:02:46.640 --> 00:02:49.280]  他就和神來禱告
[00:02:49.280 --> 00:02:50.480]  他說死啦
[00:02:50.480 --> 00:02:51.680]  那麼多女子
[00:02:51.680 --> 00:02:55.360]  怎麼知道誰是你為以撒所預備的
[00:02:55.360 --> 00:02:56.560]  所以他就說
[00:02:56.560 --> 00:02:59.440]  如果你真是為以撒預備的
[00:02:59.440 --> 00:03:01.840]  這個女子就會給我水喝
[00:03:01.840 --> 00:03:03.840]  不單止給我水喝
[00:03:03.840 --> 00:03:06.320]  還給我水就下台喝
[00:03:06.320 --> 00:03:10.800]  後來利伯加真的出現在井的旁邊
[00:03:10.800 --> 00:03:12.800]  把水給僕人喝
[00:03:12.800 --> 00:03:15.040]  和給他的妻子喝
[00:03:15.040 --> 00:03:16.880]  於是這個僕人就知道
[00:03:16.880 --> 00:03:20.960]  這個一定是神所預備的以撒的妻子
[00:03:20.960 --> 00:03:23.280]  就和他講明了來意
[00:03:23.280 --> 00:03:25.280]  和利伯加講明了他的來意
[00:03:25.280 --> 00:03:27.280]  居然這位利伯加
[00:03:27.280 --> 00:03:29.920]  沒見過這位新郎以撒
[00:03:29.920 --> 00:03:33.040]  他只是從這個僕人的口中聽見
[00:03:33.040 --> 00:03:34.480]  以撒是怎樣
[00:03:34.480 --> 00:03:35.760]  他就相信了
[00:03:35.760 --> 00:03:39.200]  他願意接受以撒成為他的新郎
[00:03:39.200 --> 00:03:41.760]  一切都是聽這個僕人所講的
