
[00:00:00.000 --> 00:00:10.680]  今天在這個世界裏面地緣政治不斷改變的過程當中
[00:00:10.680 --> 00:00:15.280]  我們有很多的很不肯定的不定性
[00:00:15.280 --> 00:00:19.120]  能夠存留在我們的生命裏面
[00:00:19.120 --> 00:00:21.120]  可能成為你一種的擔憂
[00:00:21.120 --> 00:00:25.560]  在這個世界當中我們會發覺到有一些東西
[00:00:25.560 --> 00:00:31.080]  也不是我們作為一個個別的人士可以改變
[00:00:31.080 --> 00:00:34.080]  因為有很多的政治上的問題
[00:00:34.080 --> 00:00:42.920]  完全是超出了我們平時可以去掌管的一些空間
[00:00:42.920 --> 00:00:48.000]  於是乎有些人就有一種另外的想法
[00:00:48.000 --> 00:00:53.360]  既然地緣政治這件事不到我們自己去決定
[00:00:53.360 --> 00:00:59.080]  不如我們改為去嘗試在人心裏面去做一些工作
[00:00:59.080 --> 00:01:01.080]  怎樣做呢?
[00:01:01.080 --> 00:01:03.080]  不如我們就講愛
[00:01:03.080 --> 00:01:06.960]  所以在這個世界裏面我們發覺到
[00:01:06.960 --> 00:01:16.840]  很多人在無助的時間就很主張這個所謂大愛包容的一種做法
[00:01:16.840 --> 00:01:25.240]  愛好像成為一切事情的最後歸根究底要尋找的事情
[00:01:25.240 --> 00:01:29.960]  嘗試用這樣的方法去使人心能夠比較安定
[00:01:29.960 --> 00:01:34.440]  或者讓人可以得到一些安慰
[00:01:34.440 --> 00:01:37.560]  甚至有些基督徒牧師
[00:01:37.560 --> 00:01:41.120]  於是乎也都用同樣的想法
[00:01:41.120 --> 00:01:48.240]  認為傳福音 辦教會都是要傳揚愛的
[00:01:48.240 --> 00:01:50.920]  如果大家認識聖經的啟示
[00:01:50.920 --> 00:01:57.520]  我們會明白到聖經裏面所講的不只是神的愛
[00:01:57.520 --> 00:02:02.560]  聖經有更大部分是講到神的義
[00:02:02.560 --> 00:02:09.480]  而義的決定和義的成就就不是一件這麼簡單的事情
[00:02:09.480 --> 00:02:15.040]  可能會有懲罰 可能會有警戒
[00:02:15.040 --> 00:02:20.680]  所以在新約聖經裏面甚至保羅在提摩太后書裏講到
[00:02:20.680 --> 00:02:29.000]  神的道理是於教訓督責使人歸正讓人學義
[00:02:29.000 --> 00:02:32.120]  所以聖經裏面可以說得
[00:02:32.120 --> 00:02:38.120]  講義的部分是比講愛的多很多倍
[00:02:38.120 --> 00:02:44.320]  而今天如果教會也都調揚一種和世人一種的觀念
[00:02:44.320 --> 00:02:47.440]  就是說要主張大愛包容
[00:02:47.440 --> 00:02:51.920]  不過我們用上帝的愛來感染這個世界
[00:02:51.920 --> 00:02:57.600]  其實我們是遺留了聖經很大部分的啟示
[00:02:57.600 --> 00:03:00.880]  於是乎我們就會見到
[00:03:00.880 --> 00:03:05.680]  無論在這個世界當中那些主張用大愛包容的人
[00:03:05.680 --> 00:03:12.440]  所做出的結果很多人就用了這個大愛來成為一個藉口
[00:03:12.440 --> 00:03:15.640]  變成一種不務正業的人口
[00:03:15.640 --> 00:03:19.680]  在這個世界裏容許這些人在偷懶
[00:03:19.680 --> 00:03:25.400]  有時我們在公司裏面在這個世界裏面做事就很多時見到這一類型
[00:03:25.400 --> 00:03:31.560]  譬如有些人動不動就說我又有什麼小小毛病了
[00:03:31.560 --> 00:03:36.200]  接著又拿長假期休息一下休息一下假期
[00:03:36.200 --> 00:03:38.880]  讓我可以重新恢復過來
[00:03:38.880 --> 00:03:41.920]  接著加上醫生寫上醫生紙
[00:03:41.920 --> 00:03:46.560]  然後就去和公司一拿就拿幾個月假
[00:03:46.560 --> 00:03:51.280]  造成了很多人在公司裏面什麼事情
[00:03:51.280 --> 00:03:55.640]  都可以拿出來去成為一種藉口
[00:03:55.640 --> 00:03:58.240]  給到他們不需要負責任
[00:03:58.240 --> 00:04:08.920]  而這種趨向這種心態就導致到現在我們在這個世界裏面所見到的是非顛倒的一個狀態
[00:04:08.920 --> 00:04:14.320]  甚至去到一個地步有一種橫不講理的一種苛索
[00:04:14.320 --> 00:04:19.960]  你不對我好 你不容許我這樣做 你就歧視我
[00:04:19.960 --> 00:04:27.320]  所以為什麼你會發覺到有些人在這個世界很喜歡說人歧視他
[00:04:27.320 --> 00:04:28.880]  動不動就歧視
[00:04:28.880 --> 00:04:31.200]  甚至他自己做了一些無理的事情
[00:04:31.200 --> 00:04:34.000]  好像別人不容許他做一些無理的事情
[00:04:34.000 --> 00:04:36.000]  他都覺得他是歧視的
[00:04:36.000 --> 00:04:38.080]  為什麼有些人會有這樣的狀態呢
[00:04:38.080 --> 00:04:44.640]  無非其實一方面就是恃著這個所謂大愛的社會風氣
[00:04:44.640 --> 00:04:52.840]  另外一樣東西就是他們去在這個情況裏面嘗試去獲取一些利益
[00:04:52.840 --> 00:04:57.640]  如果我們作為教徒你都是掉入這樣的狀態
[00:04:57.640 --> 00:04:59.640]  我覺得實在是很可惜
[00:04:59.640 --> 00:05:05.200]  你能夠回到教會打開一本聖經來細心研讀
[00:05:05.200 --> 00:05:12.520]  為什麼我們不去重新看看聖經裏面所講的上帝的心思是怎麼樣
[00:05:12.520 --> 00:05:15.320]  而聽了很多牧者
[00:05:15.320 --> 00:05:17.320]  我可以大膽的說一句
[00:05:17.320 --> 00:05:23.560]  十個有九個牧者都是經常講教會有大愛 教會是講神的愛
[00:05:23.560 --> 00:05:27.000]  但是於是乎大家好像不用做一樣
[00:05:27.000 --> 00:05:31.840]  等入天堂等耶穌找十人大花轎抬你上天國
[00:05:31.840 --> 00:05:37.000]  這種觀念其實我們很多時候拿來就評擊天主教
[00:05:37.000 --> 00:05:43.880]  其實暗底裏面基督教其實是廣泛地去宣揚
[00:05:43.880 --> 00:05:48.600]  最近有些人介紹我聽一些流行詩歌
[00:05:48.600 --> 00:05:53.320]  無論英語也好或者是廣東話也好國語也好
[00:05:53.320 --> 00:05:56.840]  我都會發現到絕大部分
[00:05:56.840 --> 00:06:01.480]  我可以說絕大部分99.9%
[00:06:01.480 --> 00:06:10.040]  那些詩歌都是將愛和上帝的關係是唯一一個建立的基礎
[00:06:10.040 --> 00:06:15.480]  從來很少去講到我怎樣承認自己的罪
[00:06:15.480 --> 00:06:18.200]  怎樣從罪那裏改變過來之後
[00:06:18.200 --> 00:06:21.160]  透過認罪悔改和神恢復關係
[00:06:21.160 --> 00:06:25.160]  你試一下現在今天的詩歌
[00:06:25.160 --> 00:06:31.800]  你將那個所謂你或者神的字將它改做你喜歡的男孩女孩都可以的
[00:06:31.800 --> 00:06:34.200]  就會馬上變成一首情歌
[00:06:34.200 --> 00:06:40.280]  為什麼我們教會今天會墮落到這個地步呢
[00:06:40.280 --> 00:06:44.120]  聖經其實怎樣教導我們
[00:06:44.120 --> 00:06:48.040]  俄巴底亞書我們今天來到最後的一部分
[00:06:48.040 --> 00:06:58.840]  這個部分我可以說如果不明白俄巴底亞書上帝要寫下來的原因的人
