
[00:00:00.000 --> 00:00:06.800]  我們今天來到論盡是、是成與敗的第二課
[00:00:06.800 --> 00:00:09.460]  是、是記我們上次輕輕說了一點
[00:00:09.460 --> 00:00:13.660]  就是在約書亞之後就進了加拿大
[00:00:13.660 --> 00:00:16.460]  有一段幾百年的時間
[00:00:16.460 --> 00:00:19.520]  我們今天會說第二講
[00:00:19.520 --> 00:00:22.320]  很多時候大家都會覺得一讀是、是記
[00:00:22.320 --> 00:00:29.120]  就是一個很低沉、很不開心、很失敗的一個場景
[00:00:29.120 --> 00:00:31.660]  但是其實《時詩記》一開始的時候
[00:00:31.660 --> 00:00:34.560]  其實大家讀下去的時候那個感覺是挺好的
[00:00:34.560 --> 00:00:37.600]  因為一開始其實他們是很積極的
[00:00:37.600 --> 00:00:41.160]  我們一會兒會用一點時間來看
[00:00:41.160 --> 00:00:44.480]  在我們開始的時候我們先一起來看第二條片段
[00:00:44.480 --> 00:00:47.720]  我們多謝我們的主讓我們今天早上一起來學習
[00:00:47.720 --> 00:00:49.840]  我們盼望能夠透過《時詩記》
[00:00:49.840 --> 00:00:53.680]  來學到裡面當中一些熟悉的功課
[00:00:53.680 --> 00:00:55.840]  來應用在我們今天的裡面
[00:00:55.840 --> 00:01:01.720]  使我們能夠不單止懂得去觀察、去閱讀
[00:01:01.720 --> 00:01:03.200]  更加能夠懂得去應用
[00:01:03.200 --> 00:01:05.760]  我們將在這一堂的時間來到公眾教堂
[00:01:05.760 --> 00:01:08.680]  求你帶領我們去祈禱奉耶穌基督的名
[00:01:08.680 --> 00:01:10.360]  多謝
[00:01:10.360 --> 00:01:12.960]  好 我們先來打開《時詩記》
[00:01:12.960 --> 00:01:16.240]  我們今天主要是看第一章
[00:01:16.240 --> 00:01:17.520]  第一章都很長的
[00:01:17.520 --> 00:01:22.800]  所以我們都不會全部逐節跟大家看
[00:01:22.800 --> 00:01:26.160]  不過就會看一些比較重點式的
[00:01:26.160 --> 00:01:28.680]  來到它第一部分
[00:01:28.680 --> 00:01:34.160]  我們先來打開《時詩記》的第一章
[00:01:34.160 --> 00:01:36.240]  《時詩記》第一章我們就看
[00:01:36.240 --> 00:01:37.560]  第一節開始看一下
[00:01:37.560 --> 00:01:39.800]  它說:「約書亞死了之後
[00:01:39.800 --> 00:01:42.200]  以色列人求問耶和華說
[00:01:42.200 --> 00:01:44.840]  我們中間誰當首先上去
[00:01:44.840 --> 00:01:47.840]  攻擊迦南人與他們爭戰?」
[00:01:47.840 --> 00:01:50.400]  這一句話我們通常如果大家讀聖經
[00:01:50.400 --> 00:01:51.680]  我們就記得了
[00:01:51.680 --> 00:01:56.520]  通常第一句話的第一個字
[00:01:56.520 --> 00:01:58.920]  就是那一本書的書名
[00:01:58.920 --> 00:02:00.640]  所以其實這一本書
[00:02:00.640 --> 00:02:03.440]  就應該不是叫做《時詩記》
[00:02:03.440 --> 00:02:04.120]  是不是?
[00:02:04.120 --> 00:02:07.760]  應該叫做「求問」
[00:02:07.760 --> 00:02:09.160]  其實是很好的
[00:02:09.160 --> 00:02:09.600]  是不是?
[00:02:09.600 --> 00:02:12.720]  因為是約書亞死了之後
[00:02:12.720 --> 00:02:15.360]  以色列人來到求問
[00:02:15.360 --> 00:02:19.000]  但是你都可以將約書亞死後
[00:02:19.000 --> 00:02:22.160]  來作為這本書的書名
[00:02:22.160 --> 00:02:26.880]  約書亞死了之後發生很多事
[00:02:26.880 --> 00:02:29.440]  《時詩記》的作者我們相信是薩姆爾
[00:02:29.440 --> 00:02:32.120]  就拿這個約書亞死了之後
[00:02:32.120 --> 00:02:34.160]  來作一個分水嶺
[00:02:34.160 --> 00:02:35.680]  我們都明白約書亞記
[00:02:35.680 --> 00:02:37.200]  如果大家讀過約書亞記都知道
[00:02:37.200 --> 00:02:39.160]  約書亞記我們大部分人都相信
[00:02:39.160 --> 00:02:40.920]  約書亞記應該是誰寫的?
[00:02:40.920 --> 00:02:42.320]  當然是約書亞寫的
[00:02:42.320 --> 00:02:45.400]  但問題是裡面又有些後記
[00:02:45.400 --> 00:02:45.800]  是不是?
[00:02:45.800 --> 00:02:48.280]  那後記又是誰寫的呢?
[00:02:48.280 --> 00:02:50.880]  我們相信都是薩姆爾寫的
[00:02:50.880 --> 00:02:54.560]  這裡就是說約書亞的死
[00:02:54.560 --> 00:02:59.560]  來作整個歷史進程的分水嶺
[00:02:59.560 --> 00:03:01.320]  約書亞一死了之後
[00:03:01.320 --> 00:03:05.080]  我們就不要想著以色列人馬上慣了
[00:03:05.080 --> 00:03:06.880]  不是的
[00:03:06.880 --> 00:03:09.440]  一開始發生什麼事?
[00:03:09.440 --> 00:03:13.600]  就是以色列人去求問耶和華
[00:03:13.600 --> 00:03:19.080]  所以當我們看筆記的時候
[00:03:19.080 --> 00:03:21.320]  看筆記的時候你會留意到
[00:03:21.320 --> 00:03:24.760]  《時詩記》的第一章是描述以色列
[00:03:24.760 --> 00:03:28.160]  是一個信靠神的良神美景
[00:03:28.160 --> 00:03:30.760]  一開始的時候
[00:03:30.760 --> 00:03:32.000]  你說他信靠神就行
[00:03:32.000 --> 00:03:34.040]  你說他尋求神就行
[00:03:34.040 --> 00:03:40.640]  總之就是一個很美的開始
[00:03:40.640 --> 00:03:42.120]  一開始雖然沒有錯
[00:03:42.120 --> 00:03:43.560]  約書亞是死了
[00:03:43.560 --> 00:03:47.360]  但是是以禱告或者以信靠
[00:03:47.360 --> 00:03:49.360]  來作為這本書的開始
[00:03:49.360 --> 00:03:52.000]  本來就真的開始得很好
[00:03:52.000 --> 00:03:53.360]  很吸引
[00:03:53.360 --> 00:03:59.120]  所以這裡就說猶大的放膽和德性
[00:03:59.120 --> 00:04:01.640]  因為當以色列人求問耶和華
[00:04:01.640 --> 00:04:03.640]  誰先上去
[00:04:03.640 --> 00:04:05.160]  耶和華就說
[00:04:05.160 --> 00:04:07.480]  猶大先上去
[00:04:07.480 --> 00:04:10.680]  猶大第三節就和哥哥西勉說
[00:04:10.680 --> 00:04:13.520]  請你和我到涟溝所得之地去
[00:04:13.520 --> 00:04:15.520]  好與迦南人爭戰
[00:04:15.520 --> 00:04:18.040]  第四節猶大就上去
[00:04:18.040 --> 00:04:22.520]  耶和華就把迦南和比利西人交在他們的手裡
[00:04:22.520 --> 00:04:25.840]  在整件事裡你會發覺
[00:04:25.840 --> 00:04:27.440]  是一個德性的記錄
[00:04:27.440 --> 00:04:29.040]  打贏
