
[00:00:00.000 --> 00:00:02.000]  師父多謝你的恩典
[00:00:02.000 --> 00:00:05.000]  從頭到尾是恩典
[00:00:05.000 --> 00:00:09.000]  無論是逆境還是順境都是恩典
[00:00:09.000 --> 00:00:12.000]  我求你幫助我們在恩典裏面
[00:00:12.000 --> 00:00:18.000]  不要忘記怎樣善用我們的機會回報你的恩典
[00:00:18.000 --> 00:00:20.000]  我們特別在禱告當中
[00:00:20.000 --> 00:00:27.000]  不忘記在歐洲差不多近百年來最嚴寒的一個冬天
[00:00:27.000 --> 00:00:32.000]  那些仍然在海上掙扎著的難民
[00:00:32.000 --> 00:00:38.000]  在大海當中生死未卜的難民
[00:00:38.000 --> 00:00:45.000]  或者上了岸仍然沒有人去接濟他們救援他們
[00:00:45.000 --> 00:00:47.000]  這些難民
[00:00:47.000 --> 00:00:54.000]  或者在世界各地是衣食都不足夠的那些貧民
[00:00:54.000 --> 00:00:57.000]  求你幫助我們開我們的眼
[00:00:57.000 --> 00:01:00.000]  讓我們看到他們在哪裏
[00:01:00.000 --> 00:01:05.000]  到不了的地方讓我們去禱告奉獻支持
[00:01:05.000 --> 00:01:12.000]  到得到的地方讓我們心裏的溫暖熱力
[00:01:12.000 --> 00:01:17.000]  行動上我們的溫暖能夠直接帶到他們當中
[00:01:17.000 --> 00:01:21.000]  讓他們透過我們聽到福音
[00:01:21.000 --> 00:01:24.000]  認識到耶穌基督就是愛
[00:01:24.000 --> 00:01:26.000]  保守我們
[00:01:26.000 --> 00:01:30.000]  特別當我們紀念那些難民的時候
[00:01:30.000 --> 00:01:34.000]  我們都需要為他們來奉獻
[00:01:34.000 --> 00:01:39.000]  以致我們可以讓那些在前線服侍他們的弟兄姊妹
[00:01:39.000 --> 00:01:43.000]  沒有後顧之憂的來服侍他們
[00:01:43.000 --> 00:01:45.000]  保守我們下邊的時間
[00:01:45.000 --> 00:01:48.000]  讓講的和聽的都是因為你的話
[00:01:48.000 --> 00:01:54.000]  我們受激勵願意按正義來行在你的真道上
[00:01:54.000 --> 00:01:56.000]  奉耶穌基督的名就
[00:01:56.000 --> 00:02:04.000]  今天很想和大家分享一個偉大心靈的禱告
[00:02:04.000 --> 00:02:09.000]  這個禱告有很多人來說都已經聽過
[00:02:09.000 --> 00:02:12.000]  首先我想問大家
[00:02:12.000 --> 00:02:20.000]  有多少人曾經為那些快要被判刑的人寫求情信?
[00:02:20.000 --> 00:02:22.000]  可不可以舉手?
