
[00:00:00.000 --> 00:00:02.000]  各位朋友你好
[00:00:02.000 --> 00:00:04.000]  經常都聽見有人說
[00:00:04.000 --> 00:00:06.000]  你都不像牧師
[00:00:06.000 --> 00:00:08.000]  我說是就不用像
[00:00:08.000 --> 00:00:10.000]  像又不一定是
[00:00:10.000 --> 00:00:12.000]  我真是牧師來的
[00:00:12.000 --> 00:00:14.000]  而且剛剛是上個月退休
[00:00:14.000 --> 00:00:16.000]  不是上個月
[00:00:16.000 --> 00:00:18.000]  是去年
[00:00:18.000 --> 00:00:20.000]  是上個月
[00:00:20.000 --> 00:00:22.000]  幾個月前
[00:00:22.000 --> 00:00:24.000]  六月的時候做新舖
[00:00:24.000 --> 00:00:26.000]  不像
[00:00:26.000 --> 00:00:28.000]  我現在已經退休了
[00:00:28.000 --> 00:00:30.000]  不像
[00:00:30.000 --> 00:00:32.000]  是不是
[00:00:32.000 --> 00:00:34.000]  我剛剛過了六十一歲
[00:00:34.000 --> 00:00:36.000]  那你
[00:00:36.000 --> 00:00:38.000]  如果有厚度一點
[00:00:38.000 --> 00:00:40.000]  不像
[00:00:40.000 --> 00:00:42.000]  像七十一
[00:00:42.000 --> 00:00:44.000]  我想有時候教會
[00:00:44.000 --> 00:00:46.000]  給人一個印象就是很嚴肅
[00:00:46.000 --> 00:00:48.000]  我今晚來講
[00:00:48.000 --> 00:00:50.000]  快樂的生命
[00:00:50.000 --> 00:00:52.000]  我就想你知道
[00:00:52.000 --> 00:00:54.000]  除了嚴肅之外
[00:00:54.000 --> 00:00:56.000]  其實神真是不想
[00:00:56.000 --> 00:00:58.000]  我們整天苦起
[00:00:58.000 --> 00:01:00.000]  臉
[00:01:00.000 --> 00:01:02.000]  好像背著
[00:01:02.000 --> 00:01:04.000]  千斤重擔來做人
[00:01:04.000 --> 00:01:06.000]  如果有人說
[00:01:06.000 --> 00:01:08.000]  叫我做一個
[00:01:08.000 --> 00:01:10.000]  自我介紹的話
[00:01:10.000 --> 00:01:12.000]  我想這樣介紹
[00:01:12.000 --> 00:01:14.000]  不知道行不行
[00:01:14.000 --> 00:01:16.000]  因為有主耶穌
[00:01:16.000 --> 00:01:18.000]  所以
[00:01:18.000 --> 00:01:20.000]  我好得意
[00:01:20.000 --> 00:01:22.000]  因為有主耶穌
[00:01:22.000 --> 00:01:24.000]  所以我都算是
