
[00:00:00.000 --> 00:00:05.600]  各位大圈子妹 各位朋友 你們好
[00:00:05.600 --> 00:00:08.200]  歡迎大家參加我們三藩市播道會
[00:00:08.200 --> 00:00:10.200]  網上午堂崇拜
[00:00:10.200 --> 00:00:14.600]  今天我們繼續思想論盡人生這個系列
[00:00:14.600 --> 00:00:18.600]  我們來到第六講題目是《聯》
[00:00:18.600 --> 00:00:25.100]  經文記載在《創世紀》第十一章第一節至第九節
[00:00:25.100 --> 00:00:28.000]  未開始思想這段世經之前
[00:00:28.000 --> 00:00:31.000]  早日同心低頭 我都同禱告
[00:00:31.000 --> 00:00:34.600]  慈悲人 我的天父 我們滿心多謝你
[00:00:34.600 --> 00:00:38.600]  雖然外面很凹凸不平
[00:00:38.600 --> 00:00:42.600]  但我們知道在你裏面是有平安
[00:00:42.600 --> 00:00:52.000]  求你著著你的說話去提醒 勸勉 教導 安慰 督責我們每一位
[00:00:52.000 --> 00:00:56.600]  叫我們在這個世代裏面活得精彩
[00:00:56.600 --> 00:01:00.000]  我們禱告 這是奉耶穌基督命求
[00:01:00.000 --> 00:01:01.000]  大王
[00:01:01.000 --> 00:01:05.000]  日本著名大導演 黑澤明
[00:01:05.000 --> 00:01:10.000]  在晚年拍了一套非常出色的電影《聯》
[00:01:10.000 --> 00:01:15.000]  這套電影改編自莎士比亞名劇《尼爾王》
[00:01:15.000 --> 00:01:21.000]  但背景是講述日本武將 毛利元宙的故事
[00:01:21.000 --> 00:01:26.000]  1985年獲最佳電影 最佳外語片
[00:01:26.000 --> 00:01:28.000]  多項庶榮
[00:01:28.000 --> 00:01:30.000]  故事講到在日本戰國時代
[00:01:30.000 --> 00:01:34.000]  一文治秀虎是一名軍閥
[00:01:34.000 --> 00:01:39.000]  此人手段殘忍 被征服的通常是全家被殺
[00:01:39.000 --> 00:01:43.000]  又將他們的女人賞賜給他們的部屬
[00:01:43.000 --> 00:01:48.000]  他年年征戰 雄霸一方 勢力如日中天
[00:01:48.000 --> 00:01:51.000]  但他年紀老了 在七十歲那年
[00:01:51.000 --> 00:01:56.000]  決定將江山一分為三 由三個兒子分掌大權
[00:01:56.000 --> 00:01:59.000]  大兒子太郎獲次第一成
[00:01:59.000 --> 00:02:05.000]  第二子次郎獲第二成 三子直虎獲第三成
[00:02:05.000 --> 00:02:10.000]  他拿出三支箭來 用刀一把一把截斷
[00:02:10.000 --> 00:02:14.000]  然後就囑咐三個兒子說 你們要團結合作
[00:02:14.000 --> 00:02:20.000]  而且說 我可以輕輕鬆鬆將一把一把箭截斷
[00:02:20.000 --> 00:02:26.000]  但如果三把箭合作就不容易被截斷
[00:02:26.000 --> 00:02:30.000]  他自己帶著三十多個忠心的隨從
[00:02:30.000 --> 00:02:35.000]  輪流在三個兒子裡居住 以為可以安享太平
[00:02:35.000 --> 00:02:39.000]  但這個計劃被三子直虎激烈反對
[00:02:39.000 --> 00:02:45.000]  而且拿出一把刀 將合作的三支箭斷
[00:02:45.000 --> 00:02:49.000]  然後就說 你怎知道我們會忠於你
[00:02:49.000 --> 00:02:54.000]  忠於在大兒子和二子恩賢接受之下
[00:02:54.000 --> 00:02:57.000]  這個計劃仍然實施
[00:02:57.000 --> 00:03:01.000]  受虎對直虎極其憤怒 將他趕走
[00:03:01.000 --> 00:03:06.000]  這個直虎拿不到第三成 趕走了他之後
[00:03:06.000 --> 00:03:09.000]  於是他就去到另外一個諸侯君佛
[00:03:09.000 --> 00:03:14.000]  因為得到他賞識 招為女婿 賦他獎證
[00:03:14.000 --> 00:03:20.000]  當受虎帶著妻妾隨從來到大兒子的城邑
[00:03:20.000 --> 00:03:26.000]  被大兒子輕慢排擠 更加侮辱隨從
[00:03:26.000 --> 00:03:30.000]  他忍受不住 搬到第二兒子的城邑居住
[00:03:30.000 --> 00:03:34.000]  誰知大兒子和二兒子勾結 集結重兵
[00:03:34.000 --> 00:03:37.000]  親生父親發動攻擊
[00:03:37.000 --> 00:03:41.000]  隨從和他的妻子全部被殺
[00:03:41.000 --> 00:03:44.000]  而自己也被驅逐到曠野流蕩
[00:03:44.000 --> 00:03:48.000]  身邊只有一個平時扮小丑的靈人陪伴
[00:03:48.000 --> 00:03:53.000]  一下子從最高的權位落到深淵
[00:03:53.000 --> 00:03:57.000]  而且被自己的親生兒子用毒計陷害
[00:03:57.000 --> 00:04:00.000]  他忍受不住刺激 以致神經不正常
[00:04:00.000 --> 00:04:03.000]  在曠野憤怒的日夜喊叫
[00:04:03.000 --> 00:04:07.000]  新的一場骨肉互相殘殺又展開
[00:04:07.000 --> 00:04:10.000]  二兒子次郎不甘居於太郎之下
[00:04:10.000 --> 00:04:14.000]  趁著齊手對付父親的時候
