
[00:00:00.000 --> 00:00:05.200]  各位弟妹 早安
[00:00:05.200 --> 00:00:07.800]  祝各位母親節快樂
[00:00:07.800 --> 00:00:09.700]  我不知道當中有多少是做母親的
[00:00:09.700 --> 00:00:11.200]  可不可以舉手
[00:00:11.200 --> 00:00:13.200]  我們給些掌聲鼓勵一下這班
[00:00:13.200 --> 00:00:17.180]  我相信無論是在家庭、在教會
[00:00:17.180 --> 00:00:19.520]  都是站在一個很重要的崗位裏面
[00:00:19.520 --> 00:00:21.120]  特別今天母親節
[00:00:21.120 --> 00:00:24.120]  大家選擇來敬拜神先 然後才去喝茶
[00:00:24.120 --> 00:00:25.920]  希望今天在主的面前
[00:00:25.920 --> 00:00:28.360]  我們一起在神的話裏有幫助
[00:00:28.360 --> 00:00:30.360]  也代表我所侍奉的地方
[00:00:30.360 --> 00:00:32.720]  布魯神學院的文安帶給大家
[00:00:32.720 --> 00:00:36.260]  今天叫做「基督教主日」
[00:00:36.260 --> 00:00:39.240]  可能大家未必留意到
[00:00:39.240 --> 00:00:42.460]  意思就是希望透過這些聚會
[00:00:42.460 --> 00:00:44.160]  讓我們大家更加明白
[00:00:44.160 --> 00:00:46.920]  在學習神的話
[00:00:46.920 --> 00:00:50.120]  在學習神學上的重要性
[00:00:50.120 --> 00:00:51.360]  但當我再想深一層
[00:00:51.360 --> 00:00:53.100]  其實所有的教育
[00:00:53.100 --> 00:00:55.500]  包括神學的學習在內都是
[00:00:55.500 --> 00:00:57.800]  或者神學的學習更加是
[00:00:57.800 --> 00:01:01.160]  如果歸納做一個字
[00:01:01.160 --> 00:01:02.800]  就是一個「變」字
[00:01:02.800 --> 00:01:05.520]  如果教育的最終目的
[00:01:05.520 --> 00:01:08.080]  不能夠改變一個人
[00:01:08.080 --> 00:01:12.580]  其實教育只能夠可能是知識的傳授
[00:01:12.580 --> 00:01:16.020]  或者是一些技能的訓練
[00:01:16.020 --> 00:01:20.380]  但是特別是聖經講到神學的教育
[00:01:20.380 --> 00:01:23.600]  我們最終希望是自己和聽的人
[00:01:23.600 --> 00:01:26.080]  生命不斷改變
[00:01:26.080 --> 00:01:28.380]  領子妹 我相信你很多人都是在
[00:01:28.380 --> 00:01:30.940]  信主的時候會時時聽到
[00:01:30.940 --> 00:01:33.920]  甚至你自己都會說得救見證
[00:01:33.920 --> 00:01:36.380]  我以前信主的時候是怎樣的人
[00:01:36.380 --> 00:01:37.900]  信主之前是怎樣的人
[00:01:37.900 --> 00:01:40.120]  後來信主之後我生命是怎樣改變的
[00:01:40.120 --> 00:01:41.520]  這種的改變
[00:01:41.520 --> 00:01:44.060]  就是我們信主的時間經常提到的
[00:01:44.060 --> 00:01:48.040]  我們信主的時候是為了生命的改變
[00:01:48.040 --> 00:01:50.040]  不是單單說我星期天上教會
[00:01:50.040 --> 00:01:51.460]  或者我認識了一班朋友
[00:01:51.460 --> 00:01:52.920]  或者我將來上天堂
[00:01:52.920 --> 00:01:55.260]  這些全部都是好的 是真的
[00:01:55.260 --> 00:01:57.080]  不過最重要的現在都是
[00:01:57.080 --> 00:01:59.300]  我由信耶穌開始
[00:01:59.300 --> 00:02:00.960]  請耶穌住在心裏面
[00:02:00.960 --> 00:02:03.460]  我的生命就可以改變了
[00:02:03.460 --> 00:02:05.720]  但坦白說這種的改變
[00:02:05.720 --> 00:02:09.160]  有時候慢慢到了信主久了
[00:02:09.160 --> 00:02:10.560]  習慣了
[00:02:10.560 --> 00:02:13.040]  或者自己冷淡了
[00:02:13.040 --> 00:02:14.880]  教會事務又多了
[00:02:14.880 --> 00:02:18.260]  甚至是有些不開心的事發生了
[00:02:18.260 --> 00:02:20.700]  這個改變慢慢地停滯了
[00:02:20.700 --> 00:02:23.000]  所以我想今天和大家看一段聖經
[00:02:23.000 --> 00:02:26.220]  就是剛才我們的主席和我們讀出的
[00:02:26.220 --> 00:02:31.220]  《馬太福音》第九章第九到第十七節
[00:02:31.220 --> 00:02:32.540]  我不知道大家手上有沒有聖經
[00:02:32.540 --> 00:02:34.260]  如果有的話可以翻開聖經
[00:02:34.260 --> 00:02:36.260]  程序表很好 幫我們印出來
[00:02:36.260 --> 00:02:37.540]  但如果你習慣看聖經
[00:02:37.540 --> 00:02:39.320]  我想你對聖經更加熟習一點
[00:02:39.320 --> 00:02:40.500]  講道就是講聖經
[00:02:40.500 --> 00:02:43.240]  希望你能夠越來越熟習聖經
[00:02:43.240 --> 00:02:45.520]  你可以翻開無論電子版
[00:02:45.520 --> 00:02:47.120]  或者印刷版的聖經
[00:02:47.120 --> 00:02:52.360]  《馬太福音》第九章第九到第十七節
