
[00:00:00.000 --> 00:00:02.000]  (音量問題)
[00:00:03.000 --> 00:00:04.000]  好
[00:00:04.000 --> 00:00:06.360]  去到第三晚了
[00:00:06.360 --> 00:00:10.200]  今天音量好像有點雜音
[00:00:10.200 --> 00:00:13.800]  所以更加要考大家的注意力
[00:00:13.800 --> 00:00:14.800]  所以
[00:00:14.800 --> 00:00:18.600]  專心,希望聽到神的道
[00:00:18.600 --> 00:00:20.400]  承認是當中大家的工作
[00:00:20.400 --> 00:00:24.400]  好,那我們就繼續說關於愛
[00:00:24.400 --> 00:00:27.400]  就是說那一堆的動詞
[00:00:27.400 --> 00:00:30.000]  愛是什麼,不是什麼,這些東西
[00:00:30.000 --> 00:00:31.400]  這些已經說了
[00:00:31.400 --> 00:00:34.400]  所以就不多說了
[00:00:34.400 --> 00:00:36.400]  當愛呢
[00:00:36.400 --> 00:00:38.400]  當你說到愛的敵人
[00:00:38.400 --> 00:00:40.400]  或者愛有什麼困難的時候
[00:00:40.400 --> 00:00:43.200]  其實愛的敵人有兩種的
[00:00:43.200 --> 00:00:44.800]  就好像你打功夫
[00:00:44.800 --> 00:00:46.800]  昨天鄭牧師所說的
[00:00:46.800 --> 00:00:49.400]  打功夫有些人就明刀明槍
[00:00:49.400 --> 00:00:53.000]  就是走過來跟你打死
[00:00:53.000 --> 00:00:56.200]  昨晚說的那些就是這類的敵人
[00:00:56.200 --> 00:00:58.600]  憤怒、比較、冷漠
[00:00:58.600 --> 00:01:03.800]  你一聽就知道這些是跟愛相反的
[00:01:03.800 --> 00:01:06.600]  這些是明刀明槍來打的
[00:01:06.600 --> 00:01:08.600]  今天跟你思想一下
[00:01:08.600 --> 00:01:14.800]  其實《臨前十三章》提到一些關於愛的條件
[00:01:14.800 --> 00:01:17.200]  就是要對付一些愛比較
[00:01:17.200 --> 00:01:21.600]  subtle,比較陰險的敵人
[00:01:21.600 --> 00:01:24.200]  所以今天第一個部分是《愛的真諦》
[00:01:24.200 --> 00:01:28.800]  就是說有些好像是愛的東西
[00:01:28.800 --> 00:01:32.000]  不過其實又不是聖經所說的愛
[00:01:32.000 --> 00:01:35.200]  那些東西才有時候危險性
[00:01:35.200 --> 00:01:41.200]  可以說比真槍真刀的敵人更加厲害
[00:01:41.200 --> 00:01:42.600]  譬如你也說
[00:01:42.600 --> 00:01:44.000]  今天說兩個敵人
[00:01:44.000 --> 00:01:47.200]  第一個敵人就是操控
[00:01:47.200 --> 00:01:49.200]  什麼叫操控呢
[00:01:49.200 --> 00:01:54.200]  先舉一個武俠小說的例子
[00:01:54.200 --> 00:01:57.200]  如果你看過《少傲江湖》
[00:01:57.200 --> 00:01:59.600]  知道有一個叫東方不敗的人
[00:01:59.600 --> 00:02:01.400]  這個也很傳統的人
[00:02:01.400 --> 00:02:05.000]  他修煉葵花寶殿
[00:02:05.000 --> 00:02:06.200]  他是一個男人
[00:02:06.200 --> 00:02:10.200]  修煉葵花寶殿就變成一個不男不女的人
[00:02:10.200 --> 00:02:13.200]  因為要煉葵花寶殿的神功
[00:02:13.200 --> 00:02:16.600]  第一件事就是要閹割自己
[00:02:16.600 --> 00:02:19.400]  如果你看過《少傲江湖》就知道
[00:02:19.400 --> 00:02:23.000]  東方不敗為什麼會得到葵花寶殿
[00:02:23.000 --> 00:02:28.400]  這本這麼寶貴的武學作品呢
[00:02:28.400 --> 00:02:34.000]  原來就是他的頭兒任我行
[00:02:34.000 --> 00:02:37.600]  大家知道日月神教本來的教主是任我行
[00:02:37.600 --> 00:02:41.000]  而東方不敗是他最得力的助手
[00:02:41.000 --> 00:02:42.800]  任我行就對東方不敗
[00:02:42.800 --> 00:02:44.600]  想當年就對東方不敗說
[00:02:44.600 --> 00:02:47.600]  你幫我這麼多這麼好
[00:02:47.600 --> 00:02:49.800]  我給你一些聰明的東西
[00:02:49.800 --> 00:02:53.000]  給你一本葵花寶殿
[00:02:53.000 --> 00:02:56.600]  不過如果你看完《少傲江湖》就知道
[00:02:56.600 --> 00:03:00.600]  原來任我行送一本葵花寶殿給他
[00:03:00.600 --> 00:03:02.400]  其實不是好東西
[00:03:02.400 --> 00:03:05.800]  因為任我行知道要煉這本葵花寶殿
[00:03:05.800 --> 00:03:08.400]  首先第一步就是要閹割自己
[00:03:08.400 --> 00:03:12.400]  所以他就知道他將這本東西送給東方不敗
[00:03:12.400 --> 00:03:14.000]  有兩個可能性
[00:03:14.000 --> 00:03:15.800]  一個就是他練不成
[00:03:15.800 --> 00:03:18.200]  練不成就是打不贏他
[00:03:18.200 --> 00:03:21.000]  第二就算他練得成葵花寶殿的東西
[00:03:21.000 --> 00:03:22.800]  一定會變成一個怪人
[00:03:22.800 --> 00:03:27.200]  所以任我行其實送這本東西給他是陰他
[00:03:27.200 --> 00:03:30.400]  讓東方不敗覺得這個幫主這麼好
[00:03:30.400 --> 00:03:33.200]  送一本武學的巨著給他
[00:03:33.200 --> 00:03:34.800]  原來就是陰他
[00:03:34.800 --> 00:03:37.400]  所以看完之後就會發覺
[00:03:37.400 --> 00:03:40.200]  原來任我行這個人也挺陰的
[00:03:40.200 --> 00:03:44.200]  你看多一點《少傲江湖》就知道了
[00:03:44.200 --> 00:03:47.000]  整本東西都是說怎樣陰人
[00:03:47.000 --> 00:03:48.200]  如果你記得的話
[00:03:48.200 --> 00:03:50.600]  岳不群就是最陰那個
[00:03:50.600 --> 00:03:53.400]  他講到他君子的綽號
[00:03:53.400 --> 00:03:55.200]  叫什麼君子我忘記了
[00:03:55.200 --> 00:03:57.400]  但其實就是最陰那個
