
[00:00:00.000 --> 00:00:02.000]  各位頂姐妹 祝你平安
[00:00:02.000 --> 00:00:04.000]  感謝神的恩典
[00:00:04.000 --> 00:00:06.000]  70年
[00:00:06.000 --> 00:00:10.000]  港神的遠慶
[00:00:10.000 --> 00:00:18.000]  我應該先祝賀香港神學院的同工、老師
[00:00:18.000 --> 00:00:22.000]  校友、同學
[00:00:22.000 --> 00:00:25.000]  我不是很認得你們是誰打誰的
[00:00:25.000 --> 00:00:30.000]  我也不知道為什麼今天會叫我來的
[00:00:30.000 --> 00:00:32.000]  不過這是一個很難得的日子
[00:00:32.000 --> 00:00:35.000]  我想想70年是什麼呢?
[00:00:35.000 --> 00:00:42.000]  上個月因為我答應了8月港九培靈言經會
[00:00:42.000 --> 00:00:46.000]  大會決定了錄影
[00:00:46.000 --> 00:00:49.000]  到時網上舉行
[00:00:49.000 --> 00:00:52.000]  因為另外兩位的講師
[00:00:52.000 --> 00:00:57.000]  因為另外兩位的講員都在美國
[00:00:57.000 --> 00:01:00.000]  所以5月份我就錄影
[00:01:00.000 --> 00:01:04.000]  幫我翻譯的是周志豪牧師
[00:01:04.000 --> 00:01:08.000]  中華聖結會的主任牧師
[00:01:08.000 --> 00:01:13.000]  他就跟我說 師兄 我有本書想送給你
[00:01:13.000 --> 00:01:16.000]  什麼書呢?
[00:01:16.000 --> 00:01:19.000]  《論天使》
[00:01:19.000 --> 00:01:21.000]  是首抄本來的
[00:01:21.000 --> 00:01:22.000]  是誰寫的?
[00:01:22.000 --> 00:01:24.000]  我爸爸
[00:01:24.000 --> 00:01:26.000]  我父親
[00:01:26.000 --> 00:01:31.000]  因為他教會是畢特利神學院的圖書館主任
[00:01:31.000 --> 00:01:36.000]  這位弟兄就說圖書館不要了
[00:01:36.000 --> 00:01:38.000]  扔了
[00:01:38.000 --> 00:01:41.000]  這本書有沒有人想要呢?
[00:01:41.000 --> 00:01:45.000]  就輾轉落到我的手中
[00:01:45.000 --> 00:01:47.000]  我打開一看
[00:01:47.000 --> 00:01:54.000]  是我父親1952年3月15日所寫的
[00:01:54.000 --> 00:01:58.000]  當時他神學最後一年
[00:01:58.000 --> 00:02:02.000]  BTH第四年畢業之前
[00:02:02.000 --> 00:02:07.000]  院長藍如溪校長就祝福他
[00:02:07.000 --> 00:02:15.000]  要在同學面前來present天使論的一堂
[00:02:15.000 --> 00:02:18.000]  我想其實是考他
[00:02:18.000 --> 00:02:23.000]  因為接著就留下他在學院任教做老師
[00:02:23.000 --> 00:02:29.000]  這是當時的規矩 可以這樣做
[00:02:29.000 --> 00:02:31.000]  這本書70年了
[00:02:31.000 --> 00:02:33.000]  一個人借過
[00:02:33.000 --> 00:02:38.000]  2010年3月9日 扔了個印在這裏
[00:02:38.000 --> 00:02:41.000]  不過對我很寶貴
[00:02:41.000 --> 00:02:46.000]  1952年我媽媽聽到說我都未認識你爸爸
[00:02:46.000 --> 00:02:50.000]  是他神學畢業的一年
[00:02:50.000 --> 00:02:55.000]  如果計算他1926年出生
[00:02:55.000 --> 00:03:01.000]  1952年是25歲
[00:03:01.000 --> 00:03:07.000]  這是70年的一個見證
[00:03:07.000 --> 00:03:09.000]  感謝神
[00:03:09.000 --> 00:03:17.000]  昨晚其實學院三位老師
[00:03:17.000 --> 00:03:22.000]  都已經就大會的題目
[00:03:22.000 --> 00:03:27.000]  在大時代中傳承使命
[00:03:27.000 --> 00:03:30.000]  講得很深入 很豐富
[00:03:30.000 --> 00:03:33.000]  我都學了很多東西
[00:03:33.000 --> 00:03:35.000]  他們講挑戰
[00:03:35.000 --> 00:03:40.000]  今天留下我要講承擔
