
[00:00:00.000 --> 00:00:03.000]  好,我們一起聽神的說話
[00:00:03.000 --> 00:00:08.000]  今天我講道大綱就等在我們的程序單裏面
[00:00:08.000 --> 00:00:13.000]  很細小的字,我覺得是一個很有挑戰性的大綱
[00:00:13.000 --> 00:00:17.000]  我不看,我自己忍得很大,你不用擔心,我沒那麼笨
[00:00:17.000 --> 00:00:22.000]  大家看近一點,因為好像都多些東西
[00:00:22.000 --> 00:00:27.000]  但今天有少少不像講道的方式
[00:00:27.000 --> 00:00:34.000]  有少少教導,不過不要緊,我都把它轉成我們生命裏面的一個很重要的學習
[00:00:34.000 --> 00:00:37.000]  為甚麼會講這一篇道呢?
[00:00:37.000 --> 00:00:43.000]  因為大家還記得我上一年曾經有一連串每個星期一晚
[00:00:43.000 --> 00:00:48.000]  跟大家講過哥倫多提摩泰前書
[00:00:48.000 --> 00:00:52.000]  在提摩泰前書那裏講到第六章的時候,心裏面都有一些感動
[00:00:52.000 --> 00:00:59.000]  很少聖經會這麼直接講到錢,很直接講錢,怎樣看錢
[00:00:59.000 --> 00:01:06.000]  我覺得很想再發揮一下,我自己看的時候心裏面都有所提醒和感動
[00:01:06.000 --> 00:01:10.000]  後來又沒機會跟大家在聚會裏面講
[00:01:10.000 --> 00:01:16.000]  所以等到這次,我就決定不如跟大家講一下我們怎樣去融錢
[00:01:16.000 --> 00:01:20.000]  金錢,怎樣在信仰裏面對金錢
[00:01:20.000 --> 00:01:26.000]  但我覺得這樣是不夠的,只是講剛才提摩泰前書那裏
[00:01:26.000 --> 00:01:30.000]  只是集中在錢,因為更加深刻的問題
[00:01:30.000 --> 00:01:36.000]  就是我們怎樣面對錢,怎樣從信仰裏面理解去看財富
[00:01:36.000 --> 00:01:40.000]  是和我們的生命更加深層的問題有關
[00:01:40.000 --> 00:01:44.000]  這個我稱為奉獻的生命,奉獻當然有兩重的意思
[00:01:44.000 --> 00:01:50.000]  奉獻的意思在信仰裏面講的是錢的奉獻
[00:01:50.000 --> 00:01:54.000]  奉獻的錢怎樣去用的生命
[00:01:54.000 --> 00:02:03.000]  但奉獻更加有更深刻的意思,就是講到我們整個生命奉獻給神的那種
