
[00:00:00.000 --> 00:00:07.440]  我們上次已經開始了大衛轉系列
[00:00:07.440 --> 00:00:08.640]  一個新的系列
[00:00:08.640 --> 00:00:12.280]  我們上次是講了大衛的介紹
[00:00:12.280 --> 00:00:17.400]  今天是要講三號以上的十六章和第十七章
[00:00:17.400 --> 00:00:22.520]  我給的題目是如何勝過我們生活中的巨敵
[00:00:22.520 --> 00:00:28.160]  我們每個人的生活當中都有些強敵有些巨敵
[00:00:28.160 --> 00:00:29.680]  我們需要克服
[00:00:29.680 --> 00:00:33.520]  今天就是透過大衛的故事讓我們看到
[00:00:33.520 --> 00:00:37.600]  我們如何戰勝我們生活中的敵人
[00:00:37.600 --> 00:00:42.200]  首先我們需要重溫一下薩姆爾上
[00:00:42.200 --> 00:00:45.040]  因為我們很久沒有講薩姆爾上記
[00:00:45.040 --> 00:00:50.040]  上次我們講到以色列人已經拒絕了薩姆爾
[00:00:50.040 --> 00:00:51.960]  成為他們的領袖
[00:00:51.960 --> 00:00:54.520]  說薩姆爾的年紀已經很大
[00:00:54.520 --> 00:00:56.520]  他們兩個兒子又不爭氣
[00:00:56.520 --> 00:01:01.120]  人民是希望蘇羅能夠成為他們的王
[00:01:01.120 --> 00:01:06.000]  但很可惜蘇羅屢次違反了神的命令
[00:01:06.000 --> 00:01:10.800]  所以他失去了從神而來的王權
[00:01:10.800 --> 00:01:14.120]  他雖然仍然坐在他的王位
[00:01:14.120 --> 00:01:16.600]  但神已經棄絕了他
[00:01:16.600 --> 00:01:20.080]  薩姆爾也跟他斷絕了關係
[00:01:20.080 --> 00:01:23.520]  薩姆爾為了這件事非常悲傷
[00:01:23.520 --> 00:01:25.520]  非常哀動
[00:01:25.520 --> 00:01:27.920]  聖經裡告訴我們
[00:01:27.920 --> 00:01:31.800]  哀動有時是傳道書的三章四節
[00:01:31.800 --> 00:01:37.480]  但行動也有時是約書亞記的七章第十節
[00:01:37.480 --> 00:01:41.320]  神給薩姆爾的工作還未完結
[00:01:41.320 --> 00:01:44.240]  神要薩姆爾高立新王
[00:01:44.240 --> 00:01:47.600]  這就是耶西的兒子大衛
[00:01:47.600 --> 00:01:50.640]  蘇羅是人民揀選的王
[00:01:50.640 --> 00:01:53.640]  但大衛是神所揀選
[00:01:53.640 --> 00:01:57.200]  在這兩章的經文我們清楚看到
[00:01:57.200 --> 00:02:01.000]  大衛真是神所預定的君王
[00:02:01.000 --> 00:02:06.560]  所以第一點就是神所預定的大衛
[00:02:06.560 --> 00:02:09.200]  在薩姆爾上的十六章第一節
[00:02:09.200 --> 00:02:11.200]  耶和華對薩姆爾說
[00:02:11.200 --> 00:02:14.840]  我既厭棄蘇羅作以色列的王
[00:02:14.840 --> 00:02:18.120]  你為他悲傷要到幾時呢?
[00:02:18.120 --> 00:02:20.400]  你將高遊盛滿了國
[00:02:20.400 --> 00:02:24.800]  我差遣你往伯尼行人耶西那裡去
[00:02:24.800 --> 00:02:27.760]  因為我在他眾子之內
[00:02:27.760 --> 00:02:30.080]  預定一個作王的
[00:02:30.080 --> 00:02:32.640]  有沒有看到「預定」這個字?
