
[00:00:00.000 --> 00:00:05.000]  深水清的弟兄姊妹或會問
[00:00:05.000 --> 00:00:10.000]  為何不是13579911呢?
[00:00:10.000 --> 00:00:15.000]  隔一個月 今年剛剛好單數的月份
[00:00:15.000 --> 00:00:20.000]  應該是這樣 不過9月我不在香港
[00:00:20.000 --> 00:00:25.000]  其實8月中就會離開
[00:00:25.000 --> 00:00:32.000]  有兩處的港島 一個在溫哥華 一個在紐約
[00:00:32.000 --> 00:00:38.000]  請大家紀念 祷告當中11塘的港島
[00:00:38.000 --> 00:00:44.000]  不容易 求主賜下訊息
[00:00:44.000 --> 00:00:46.000]  走之前最後這個禮拜
[00:00:46.000 --> 00:00:51.000]  我都希望能夠完成我寫的
[00:00:51.000 --> 00:00:56.000]  《舊約聖經神學》卷宗的最後一章
[00:00:56.000 --> 00:01:04.000]  所以都未曾執拾東西 仍然是努力完成
[00:01:04.000 --> 00:01:13.000]  我們來打開《春開及記》讀這個《納約的書卷》
[00:01:13.000 --> 00:01:21.000]  我們說上帝呼召以色列12支派的百姓
[00:01:21.000 --> 00:01:26.000]  去到西乃和他們納約
[00:01:26.000 --> 00:01:35.000]  使他們成為上主的子民 永約的子民
[00:01:35.000 --> 00:01:43.000]  John Stott寫過一本在《The Bible Speaks Today》的系列
[00:01:43.000 --> 00:01:47.000]  《已乏所書》的詮釋
[00:01:47.000 --> 00:01:59.000]  他開始在最賢的地方一針見血地說
[00:01:59.000 --> 00:02:09.000]  聖經告訴我們上帝的請求從來都不是集中個人
[00:02:09.000 --> 00:02:13.000]  這句話在我們保守傳統華人教會
[00:02:13.000 --> 00:02:18.000]  特別是恩信稱義 舉手決志
[00:02:18.000 --> 00:02:20.000]  就永遠得救
[00:02:20.000 --> 00:02:24.000]  聽起來好像是 為什麼會這樣
[00:02:24.000 --> 00:02:27.000]  但事實上John Stott說得很對
[00:02:27.000 --> 00:02:36.000]  他在《新約聖經》所說的是一個新的群體 教會
[00:02:36.000 --> 00:02:41.000]  其實典故就是《舊約聖經》
[00:02:41.000 --> 00:02:49.000]  春開及記 以色列 成約 納約 永約的子民
[00:02:49.000 --> 00:02:54.000]  所以不需要再討論什麼
[00:02:54.000 --> 00:02:59.000]  我信上帝 我信耶穌 但我不信教會
[00:02:59.000 --> 00:03:05.000]  我可以做一個沒有群體的基督徒
[00:03:05.000 --> 00:03:07.000]  這句話是不成立的
[00:03:07.000 --> 00:03:11.000]  其實你未信耶穌 你只信自己
[00:03:11.000 --> 00:03:14.000]  你選擇要信什麼 明白我的意思吧
[00:03:14.000 --> 00:03:16.000]  你講的 聖經也是這樣說的
[00:03:16.000 --> 00:03:25.000]  人若說 我愛神 卻恨他的弟兄
[00:03:25.000 --> 00:03:33.000]  他未曾愛主更深 否則 這人就是說謊話的
[00:03:33.000 --> 00:03:36.000]  說謊話 你說你愛上帝
[00:03:36.000 --> 00:03:41.000]  但你不愛身邊看得見的弟兄姊妹
[00:03:41.000 --> 00:03:45.000]  這人是說謊話的
[00:03:45.000 --> 00:03:56.000]  這是仕途若寒不客氣揭穿我們假冒為善的面具
[00:03:56.000 --> 00:03:59.000]  我們好像很superior
[00:03:59.000 --> 00:04:03.000]  我信上帝 我信耶穌 但我不信教會
[00:04:03.000 --> 00:04:06.000]  這句話不成立
[00:04:06.000 --> 00:04:09.000]  不過我繼續講下去 可能會得罪人的
[00:04:09.000 --> 00:04:11.000]  退休之後不怕講
