
[00:00:00.000 --> 00:00:08.320]  各位網友 今天是唐慶的
[00:00:08.320 --> 00:00:12.320]  上個禮拜唐慶的港島就已經講了
[00:00:12.320 --> 00:00:18.080]  今天我就和大家去思考 要拿書
[00:00:18.080 --> 00:00:24.880]  就是都是和整個形勢有關
[00:00:24.880 --> 00:00:30.200]  我覺得教會在今天的香港是面對一個很嚴峻的情況
[00:00:30.200 --> 00:00:32.400]  頂智慕很多時候都不安
[00:00:32.400 --> 00:00:37.400]  不安就是在香港的情況
[00:00:37.400 --> 00:00:42.440]  很多事情發生都令我們住在這些地方很多的恐懼
[00:00:42.440 --> 00:00:49.040]  例如程翔的事件 林榮基的事件 就是國內的政治
[00:00:49.040 --> 00:00:51.480]  我們怎樣去看和面對呢?
[00:00:51.480 --> 00:00:55.880]  我想和約拿書 最近我在約拿書有個領受
[00:00:55.880 --> 00:00:59.360]  約拿面對一個情況
[00:00:59.360 --> 00:01:00.880]  十字路口的約拿
[00:01:00.880 --> 00:01:03.680]  原來那個題目就是從約拿的矛盾
[00:01:03.680 --> 00:01:05.640]  在今天教會的歧路
[00:01:05.640 --> 00:01:09.080]  就是約拿是面對一個很大的矛盾
[00:01:09.080 --> 00:01:13.200]  約拿的故事大家很熟悉的
[00:01:13.200 --> 00:01:15.320]  剛才我們讀聖經讀到就是
[00:01:15.320 --> 00:01:19.480]  上帝叫約拿去尼尼微宣告上帝的審判
[00:01:19.480 --> 00:01:23.280]  但他逃避耶和華 他就坐船去他斯
[00:01:23.280 --> 00:01:26.320]  他斯就是大概是西班牙
[00:01:26.320 --> 00:01:28.960]  尼尼微是北面在亞述的首都
[00:01:28.960 --> 00:01:31.840]  如果由當時耶路撒冷向北
[00:01:31.840 --> 00:01:36.120]  大概要走8到10天的時間
[00:01:36.120 --> 00:01:39.800]  但他就很快就走了海邊坐船
[00:01:39.800 --> 00:01:41.720]  當他坐船的時候
[00:01:41.720 --> 00:01:44.840]  你說他是不是不怕耶和華上帝呢?
[00:01:44.840 --> 00:01:46.440]  或者他不尊重耶和華上帝呢?
[00:01:46.440 --> 00:01:48.600]  其實不是 他有很好的信心
[00:01:48.600 --> 00:01:51.080]  船遇到大風浪
[00:01:51.080 --> 00:01:53.800]  是上帝一個大風浪出來
[00:01:53.800 --> 00:01:57.000]  約拿竟然可以在船裏面睡覺
[00:01:57.000 --> 00:01:59.040]  就證明他很有信心
[00:01:59.040 --> 00:02:00.960]  那些人就很害怕
[00:02:00.960 --> 00:02:01.880]  不知道發生什麼事
[00:02:01.880 --> 00:02:03.360]  就去求告他們各種的神
[00:02:03.360 --> 00:02:06.000]  結果就抽籤就抽到約拿
[00:02:06.000 --> 00:02:07.520]  就問究竟發生什麼事
[00:02:07.520 --> 00:02:08.600]  約拿就跟他說
[00:02:08.600 --> 00:02:10.840]  你把我扔到海裏是我的問題
[00:02:10.840 --> 00:02:13.160]  於是那些人就把他扔到海裏
[00:02:13.160 --> 00:02:15.400]  那上帝就安排一條魚
[00:02:15.400 --> 00:02:17.920]  因為我找的圖畫基本上都是那些兒童
[00:02:17.920 --> 00:02:20.440]  原來什麼都沒有的
[00:02:20.440 --> 00:02:23.360]  不好意思
[00:02:23.360 --> 00:02:26.840]  那條要播放出來
[00:02:26.840 --> 00:02:31.240]  好 簡單的 我只有幾張
[00:02:31.240 --> 00:02:32.480]  OK 好
[00:02:32.480 --> 00:02:35.120]  你按第一張
[00:02:35.120 --> 00:02:38.400]  基本上這個故事是兒童故事
