
[00:00:00.000 --> 00:00:17.000]  各位姐妹早晨,祝大家在這個福活節期間,讓我們對生命,特別是永恆的生命有更深的理解
[00:00:17.000 --> 00:00:25.000]  讓我們在真理上有更好的掌握,讓我們聆聽主導意見,讓我們一起同心低頭禱告
[00:00:25.000 --> 00:00:34.000]  神父多謝你讓我們能夠再次回到你的啟示當中,去明白著常主理的心思意念
[00:00:34.000 --> 00:00:42.000]  特別是對拯救整個計劃,我們再次祈求主你的聖靈幫助我們去有更準確的拿捏
[00:00:42.000 --> 00:00:53.000]  保使我們能夠在這個世代裏面,有各式形式的信仰,包括各式形式被扭曲的基督信仰
[00:00:53.000 --> 00:01:02.000]  讓我們能夠在當中仍然辨明真理,去掌握好一個真正能夠有所確具的聖經教導
[00:01:02.000 --> 00:01:13.000]  依據上帝你的啟示,能夠走進永恆的道路當中,在新天新地這條目標的道路過程裏面
[00:01:13.000 --> 00:01:20.000]  讓我們能夠活出一個有力量,能夠見證出讓人認識神的生命
[00:01:20.000 --> 00:01:26.000]  多謝你給我們這段時間,禱告奉靠主耶穌基督,得聖靈致以求,阿們
[00:01:28.000 --> 00:01:35.000]  不知道大家有沒有聽過,以侍奉來犯罪這件事呢?
[00:01:35.000 --> 00:01:47.000]  最近我和一位信徒去談的時候,他談論到他在香港以至於北美洲的教會生活的時候
[00:01:47.000 --> 00:02:01.000]  他很感嘆地說了一句話,他說香港的教會基本上可以說是從西方教會帶到香港所建立的
[00:02:01.000 --> 00:02:15.000]  但是在香港的教會和北美洲的教會,無獨有偶的發展方向都進入了一個只講愛這個題目,而很少講罪的問題
[00:02:15.000 --> 00:02:23.000]  今天很多信徒以為在教會裏面,進入到教會當中就以為自己已經得著了
[00:02:23.000 --> 00:02:28.000]  或者回到教會,進入了會,受了浸,就等同於已經得救
[00:02:28.000 --> 00:02:33.000]  但是實質上他們是不是真的對上帝的說話有掌握呢?
[00:02:33.000 --> 00:02:41.000]  甚至在教會裏面,很多時候我們在做的事,在傳的事,在談論的事,以及在信的事
