
[00:00:00.000 --> 00:00:09.000]  我們在新年都希望萬事如意、萬事勝意
[00:00:09.000 --> 00:00:15.000]  我們很想在人生的路上能夠把握到一條萬能鎖匙
[00:00:15.000 --> 00:00:21.000]  能夠解除所有的問題,開啟所有人間機會的門
[00:00:21.000 --> 00:00:27.000]  我們很多時候都很想有一幅萬靈丹
[00:00:27.000 --> 00:00:31.000]  總之什麼病,一吃下去就百病消除
[00:00:31.000 --> 00:00:33.000]  大家有沒有這樣想過?
[00:00:33.000 --> 00:00:40.000]  我們希望我們人生能夠有一些魔術的方程式
[00:00:40.000 --> 00:00:43.000]  可以使我們無災病、無痛苦
[00:00:43.000 --> 00:00:47.000]  可以百事順利、百事可樂
[00:00:47.000 --> 00:00:52.000]  這是我們人生本能基本的一種渴求
[00:00:52.000 --> 00:00:58.000]  大家可能小時候吃保濟丸
[00:00:58.000 --> 00:01:04.000]  我們小時候在香港長大就常常吃保濟丸
[00:01:04.000 --> 00:01:06.000]  有百多年的歷史
[00:01:06.000 --> 00:01:10.000]  按照旁邊的廣告
[00:01:10.000 --> 00:01:16.000]  寫著其實就是「嗡嗡肚痛」、「四肢感冒」
[00:01:16.000 --> 00:01:22.000]  「身熱頭痛」、「氣喘痰多」、「濕熱嘔吐」
[00:01:22.000 --> 00:01:30.000]  「熱食外酸」、「酒醉食滯」、「舟車雲浪」、「水土不服」
[00:01:30.000 --> 00:01:32.000]  「輻射便棄」
[00:01:32.000 --> 00:01:36.000]  總之就是萬應萬靈
[00:01:36.000 --> 00:01:40.000]  大家有沒有小時候用過保濟丸呢?
[00:01:40.000 --> 00:01:42.000]  我不是在這裡跟他賣廣告
[00:01:42.000 --> 00:01:52.000]  因為他在2010年已經被新加坡藥物管制局發現有致癌的東西
[00:01:52.000 --> 00:01:54.000]  很可惜
[00:01:54.000 --> 00:01:58.000]  如果真的萬應萬靈的話
[00:01:58.000 --> 00:02:00.000]  我想我們其他的藥都不用吃了
[00:02:00.000 --> 00:02:04.000]  只要一服保濟丸放在這裡就行了
[00:02:04.000 --> 00:02:11.000]  我們人很想在世間找到一條萬能鎖匙
[00:02:11.000 --> 00:02:13.000]  一服萬靈丹
[00:02:13.000 --> 00:02:16.000]  到底這個世界有沒有呢?
[00:02:16.000 --> 00:02:19.000]  實際上可能沒有
[00:02:19.000 --> 00:02:25.000]  不過在聖經裡面有一服萬應萬靈的丹藥
[00:02:25.000 --> 00:02:27.000]  我覺得它是效力十足
[00:02:27.000 --> 00:02:29.000]  屢試不爽
[00:02:29.000 --> 00:02:35.000]  在什麼場合都可以拿出來幫助你解決很多問題
[00:02:35.000 --> 00:02:39.000]  我稱它是萬應萬靈的應許
[00:02:39.000 --> 00:02:44.000]  就是剛才我們開始的時候看到的
[00:02:44.000 --> 00:02:46.000]  在銀幕上
[00:02:46.000 --> 00:02:50.000]  這次我們要大字一點跟大家一起分享
[00:02:50.000 --> 00:02:51.000]  就是這一句話
[00:02:51.000 --> 00:02:53.000]  我想大家都會背的
[00:02:53.000 --> 00:02:55.000]  很熟悉的一節聖經
[00:02:55.000 --> 00:02:56.000]  我們一起來讀好不好?
[00:02:56.000 --> 00:03:00.000]  我們曉得萬事都互相效力
[00:03:00.000 --> 00:03:06.000]  叫愛神的人就是按他旨意備召的人
[00:03:06.000 --> 00:03:11.000]  今天我要跟大家介紹這一服萬靈丹
[00:03:11.000 --> 00:03:14.000]  為什麼叫萬靈丹呢?
[00:03:14.000 --> 00:03:16.000]  因為這裡有個萬事
[00:03:16.000 --> 00:03:22.000]  而它是什麼時候、什麼場合、什麼需要都可以派上用場
[00:03:22.000 --> 00:03:28.000]  如果你真的相信它和它背後操作的神
[00:03:28.000 --> 00:03:34.000]  一切都可以在順利的情況度過
[00:03:34.000 --> 00:03:37.000]  大家很熟悉的經文
[00:03:37.000 --> 00:03:41.000]  但不一定等於你很清楚它裡面說什麼
[00:03:41.000 --> 00:03:43.000]  大家同意嗎?
[00:03:43.000 --> 00:03:47.000]  很熟悉的經文有時反而令人以為自己懂
[00:03:47.000 --> 00:03:50.000]  但很可能真的不懂
[00:03:50.000 --> 00:03:55.000]  大家有沒有遇過一些鄰居經常跟你打招呼
[00:03:55.000 --> 00:03:58.000]  然後寒暄幾句
[00:03:58.000 --> 00:04:01.000]  很可能你都知道他叫什麼名字
[00:04:01.000 --> 00:04:06.000]  所以你再問他多說一些他的事給我聽
[00:04:06.000 --> 00:04:09.000]  你可能不知道怎麼說
[00:04:09.000 --> 00:04:13.000]  這一頂我聽它叫熟悉的陌生人
[00:04:13.000 --> 00:04:17.000]  大家有沒有遇過人生裡有些熟悉的陌生人
[00:04:17.000 --> 00:04:19.000]  其實經文也是
[00:04:19.000 --> 00:04:22.000]  有些熟悉的陌生的經文
[00:04:22.000 --> 00:04:25.000]  今天我跟大家說這一節聖經
[00:04:25.000 --> 00:04:28.000]  其實這一節聖經很豐富
[00:04:28.000 --> 00:04:34.000]  有些聖經其實是很豐富很深邃的真理
[00:04:34.000 --> 00:04:37.000]  不是每一節都是一樣
[00:04:37.000 --> 00:04:39.000]  但有些是非常豐富
[00:04:39.000 --> 00:04:43.000]  今天我跟大家說一項認定
[00:04:43.000 --> 00:04:47.000]  一個定數和一個變數
