
[00:00:00.000 --> 00:00:04.280]  各位媽媽 在這裡再一次恭祝大家
[00:00:04.280 --> 00:00:08.060]  特別是我們中間的媽媽母親節快樂
[00:00:08.060 --> 00:00:12.780]  也恭祝其他人看到我們媽媽開心
[00:00:12.780 --> 00:00:16.780]  媽媽不易做 真的很不易做
[00:00:16.780 --> 00:00:20.720]  或者今天我想和大家思想從聖經角度去看
[00:00:20.720 --> 00:00:23.580]  一個幸福的家庭是一個什麼樣的家庭
[00:00:23.580 --> 00:00:26.100]  或者開始的時候請同心我們一同祈禱
[00:00:26.100 --> 00:00:30.100]  天父我們再一次感謝祢 給祢寶貴的話語作為我們生命的指引
[00:00:30.100 --> 00:00:35.100]  求祢藉著祢的話語去提醒 眷面安慰 挑戰教導我們
[00:00:35.100 --> 00:00:37.100]  奉耶穌基督名求 阿們
[00:00:37.100 --> 00:00:43.100]  很久以前我看過蕭芳芳主演的一套戲叫《女人四十》
[00:00:43.100 --> 00:00:45.100]  但其實我想一下
[00:00:45.100 --> 00:00:49.100]  女士們遇到真正的危機不是四十歲 是五十歲
[00:00:49.100 --> 00:00:53.100]  我們聽聽下面我們三藩市的一個媽媽的故事
[00:00:53.100 --> 00:00:54.100]  好幾個月前
[00:00:54.100 --> 00:00:57.100]  她做婦科例行的檢查
[00:00:57.100 --> 00:01:00.100]  醫生就發現她子宮有個鈕
[00:01:00.100 --> 00:01:04.100]  醫生就說大多數是良性的 不用擔心
[00:01:04.100 --> 00:01:07.100]  這把年紀有這樣的現象也是很通常
[00:01:07.100 --> 00:01:09.100]  但是為了安全起見
[00:01:09.100 --> 00:01:11.100]  怕她有些變化
[00:01:11.100 --> 00:01:15.100]  最好提議始終還是割了她好一點
[00:01:15.100 --> 00:01:20.100]  但現在暫時不需要
[00:01:20.100 --> 00:01:23.100]  但就需要試上來檢查一下
[00:01:23.100 --> 00:01:27.100]  因為始終有些東西在那裡也是有風險的
[00:01:27.100 --> 00:01:32.100]  雖然她聽了 最大不是癌症
[00:01:32.100 --> 00:01:37.100]  但是想一下 好像有些陰影在裡面
[00:01:37.100 --> 00:01:39.100]  有些東西掛在那裡
[00:01:39.100 --> 00:01:44.100]  不久之前她發現自己無緣無故情緒很低落
[00:01:44.100 --> 00:01:47.100]  做事提不起勁
[00:01:47.100 --> 00:01:50.100]  晚上睡一覺的時候發現全身出汗
[00:01:50.100 --> 00:01:52.100]  突然間又醒
[00:01:52.100 --> 00:01:54.100]  醒了之後很難再睡
[00:01:54.100 --> 00:01:56.100]  整天覺得很累
[00:01:56.100 --> 00:01:58.100]  情緒很不穩定
[00:01:58.100 --> 00:02:01.100]  經期斷斷續續 很不正常
