
[00:00:00.000 --> 00:00:01.560]  見了謝牧師這麼多年
[00:00:01.560 --> 00:00:03.320]  我發覺他厲害了很多
[00:00:03.320 --> 00:00:06.320]  當然沒有人舉手
[00:00:06.320 --> 00:00:07.760]  怎會敢舉手呢
[00:00:07.760 --> 00:00:10.760]  心裡面已經硬硬不出的
[00:00:10.760 --> 00:00:13.760]  其實
[00:00:13.760 --> 00:00:15.760]  真的不要搞這些
[00:00:15.760 --> 00:00:17.360]  說什麼見過沒見過
[00:00:17.360 --> 00:00:18.800]  反而這段時間
[00:00:18.800 --> 00:00:20.200]  說回來
[00:00:20.200 --> 00:00:22.000]  我聽得最多的就是
[00:00:22.000 --> 00:00:23.680]  見到我他說
[00:00:23.680 --> 00:00:28.480]  我小時候就聽你打的了
[00:00:28.480 --> 00:00:29.880]  一個最深印象
[00:00:29.880 --> 00:00:31.400]  我去溫哥華見到一個神學生
[00:00:31.400 --> 00:00:33.080]  年輕人
[00:00:33.080 --> 00:00:35.360]  他說你就是溫偉耀啊
[00:00:35.360 --> 00:00:37.480]  他說我媽媽小時候
[00:00:37.480 --> 00:00:41.160]  拿著帶幫我暗睡的
[00:00:41.160 --> 00:00:43.040]  那個肥仔真是慘白
[00:00:43.040 --> 00:00:44.240]  我還記得他
[00:00:44.240 --> 00:00:47.720]  不過通常我現在想到一個方法來回應
[00:00:47.720 --> 00:00:51.440]  他說我出道早而已
[00:00:51.440 --> 00:00:52.840]  那都老了
[00:00:52.840 --> 00:00:53.520]  OK
[00:00:53.520 --> 00:00:55.960]  我們不要說這些無謂的東西
[00:00:55.960 --> 00:00:57.440]  難得有機會
[00:00:57.440 --> 00:00:59.440]  我們真的回來
[00:00:59.440 --> 00:01:01.600]  雪梨見到很多老朋友
[00:01:01.600 --> 00:01:03.200]  又見到很多弟兄姐妹
[00:01:03.200 --> 00:01:04.520]  以前認識的
[00:01:04.520 --> 00:01:06.000]  但是很多年沒見
[00:01:06.000 --> 00:01:07.200]  所以都很溫馨
[00:01:07.200 --> 00:01:09.200]  都很開心
[00:01:09.200 --> 00:01:11.400]  有這個週末
[00:01:11.400 --> 00:01:13.520]  跟大家一起在不同的聚會裡面
[00:01:13.520 --> 00:01:14.240]  一起分享
[00:01:14.240 --> 00:01:15.240]  都是我覺得
[00:01:15.240 --> 00:01:16.040]  看神的恩典
[00:01:16.040 --> 00:01:18.040]  也是我自己的福分
[00:01:18.040 --> 00:01:19.880]  希望我今晚和大家
[00:01:19.880 --> 00:01:21.840]  弟兄姐妹一起分享的時候
[00:01:21.840 --> 00:01:23.240]  不只是我講道
[00:01:23.240 --> 00:01:25.640]  我們一起來看聖經
[00:01:25.640 --> 00:01:27.400]  羅馬書第八章
[00:01:27.400 --> 00:01:29.720]  我選了這個經文
[00:01:29.720 --> 00:01:31.040]  都頗長的
[00:01:31.040 --> 00:01:34.640]  但是我相信都不會搞到一個半小時的
[00:01:34.640 --> 00:01:35.920]  不要擔心
[00:01:35.920 --> 00:01:39.520]  但是我真的很有負擔
[00:01:39.520 --> 00:01:41.400]  想將羅馬書裡面幾個
[00:01:41.400 --> 00:01:44.360]  我覺得很重要的真理
[00:01:44.360 --> 00:01:45.360]  真的很重要的真理
[00:01:45.360 --> 00:01:46.200]  或者你聽過
[00:01:46.200 --> 00:01:48.640]  但是你沒有從這個角度去瞭解
[00:01:48.640 --> 00:01:51.720]  來回答我們心裡面很多時候
[00:01:51.720 --> 00:01:53.880]  我們的掙扎
[00:01:53.880 --> 00:01:55.520]  我們的困難
[00:01:55.520 --> 00:01:58.240]  所以今晚我想和大家
[00:01:58.240 --> 00:02:01.000]  就是一路這樣在聖經裡面看
[00:02:01.000 --> 00:02:02.600]  如果你有帶聖經的
[00:02:02.600 --> 00:02:05.840]  就請你無論如何都翻開羅馬書第八章
