
[00:00:00.000 --> 00:00:04.360]  親愛的朋友你們好
[00:00:04.360 --> 00:00:07.160]  你們好
[00:00:07.160 --> 00:00:10.760]  這麼好 何必聽這個題目
[00:00:10.760 --> 00:00:12.800]  難怪你要聽不一樣的快樂
[00:00:12.800 --> 00:00:14.840]  已經這麼快樂 感謝主
[00:00:14.840 --> 00:00:16.880]  很感謝蔡傳圖的介紹
[00:00:16.880 --> 00:00:18.440]  我們說不一樣
[00:00:18.440 --> 00:00:20.680]  其實快樂很簡單
[00:00:20.680 --> 00:00:22.200]  你走在街上見到一個人
[00:00:22.200 --> 00:00:23.560]  喂 你最近好嗎
[00:00:23.560 --> 00:00:25.600]  有些人就會說不錯
[00:00:25.600 --> 00:00:27.920]  沒有穿沒有爛
[00:00:27.920 --> 00:00:31.760]  沒錯 沒有穿沒有爛是身體的完整
[00:00:31.760 --> 00:00:34.320]  有些人就會心虛一點
[00:00:34.320 --> 00:00:36.560]  吃得睡得
[00:00:36.560 --> 00:00:39.520]  吃得要身體好
[00:00:39.520 --> 00:00:43.600]  睡得大概要精神好
[00:00:43.600 --> 00:00:45.680]  吃得睡得夠不夠好
[00:00:45.680 --> 00:00:46.880]  當然不夠好
[00:00:46.880 --> 00:00:48.400]  豬也是吃得睡得
[00:00:48.400 --> 00:00:50.640]  所以人要有些不同
[00:00:50.640 --> 00:00:52.720]  人要做得
[00:00:52.720 --> 00:00:57.520]  學生要上得學
[00:00:57.520 --> 00:00:59.840]  不是每個人都做
[00:00:59.840 --> 00:01:02.640]  我家庭主婦我退休了
[00:01:02.640 --> 00:01:04.720]  家庭主婦是無價寶
[00:01:04.720 --> 00:01:06.240]  誰請得起
[00:01:06.240 --> 00:01:07.360]  總之做事
[00:01:07.360 --> 00:01:09.360]  在家裡退休也做很多事
[00:01:09.360 --> 00:01:10.160]  沒問題
[00:01:10.160 --> 00:01:13.200]  總之日出而作日入而息
[00:01:13.200 --> 00:01:14.640]  都是填滿自己的時間
[00:01:14.640 --> 00:01:16.720]  吃得睡得做得
[00:01:16.720 --> 00:01:17.840]  是否齊全呢
[00:01:17.840 --> 00:01:19.200]  All work and no play
[00:01:19.200 --> 00:01:20.000]  又不行
[00:01:20.000 --> 00:01:21.200]  所以要玩得
[00:01:21.200 --> 00:01:24.960]  玩得要跟別人玩得
[00:01:24.960 --> 00:01:26.000]  跟自己玩得
[00:01:26.000 --> 00:01:27.600]  運動一下
[00:01:27.600 --> 00:01:29.200]  齊不齊全呢
[00:01:29.200 --> 00:01:30.320]  那也不行
[00:01:30.320 --> 00:01:32.080]  吃得睡得玩得做得
[00:01:32.080 --> 00:01:33.440]  有一件事
[00:01:33.440 --> 00:01:34.960]  我媽媽就罵我
[00:01:34.960 --> 00:01:36.000]  她說你只吃
[00:01:36.000 --> 00:01:36.880]  對不起
[00:01:36.880 --> 00:01:37.840]  可以拉
[00:01:37.840 --> 00:01:39.920]  那媽媽罵我
[00:01:39.920 --> 00:01:40.880]  說我講得噁心
[00:01:40.880 --> 00:01:42.640]  陳家老你經常講噁心的東西
[00:01:42.640 --> 00:01:45.680]  大家知道任何嚴重病的人
[00:01:45.680 --> 00:01:46.640]  進醫院
[00:01:46.640 --> 00:01:48.320]  第一件事醫生開的
[00:01:48.320 --> 00:01:49.680]  叫input and output chart
[00:01:49.680 --> 00:01:51.200]  input and output chart
[00:01:51.200 --> 00:01:52.880]  你進多少進什麼
[00:01:52.880 --> 00:01:54.960]  出多少出什麼
[00:01:54.960 --> 00:01:56.400]  哇重要
[00:01:56.400 --> 00:01:58.400]  不只是這個入出
[00:01:58.400 --> 00:02:01.840]  我們有更深的意義
[00:02:01.840 --> 00:02:05.040]  人不只是收人東西
[00:02:05.040 --> 00:02:07.040]  有些人很不順氣
[00:02:07.040 --> 00:02:09.680]  我一世人只給人東西
[00:02:09.680 --> 00:02:10.480]  便便宜人
[00:02:10.480 --> 00:02:13.440]  於是這個人就去見閻羅王
[00:02:13.440 --> 00:02:15.760]  閻羅王說你下一世想做什麼
[00:02:15.760 --> 00:02:16.880]  他說對
[00:02:16.880 --> 00:02:18.000]  你問我對
[00:02:18.000 --> 00:02:19.920]  我這一世只給人東西
[00:02:19.920 --> 00:02:21.520]  我下一世只拿東西
[00:02:21.520 --> 00:02:22.720]  不要這麼吃虧
[00:02:22.720 --> 00:02:24.560]  閻羅王說容易
[00:02:24.560 --> 00:02:27.600]  於是他下一世就變成乞丐
[00:02:27.600 --> 00:02:29.360]  他只拿
[00:02:29.360 --> 00:02:31.760]  你知聖經說
[00:02:31.760 --> 00:02:34.400]  施比壽更為有福
[00:02:34.400 --> 00:02:36.560]  世界衛生健康組織
[00:02:36.560 --> 00:02:38.080]  World Health Organization
[00:02:38.080 --> 00:02:39.200]  它說What is health
[00:02:39.200 --> 00:02:40.480]  什麼是健康
[00:02:40.480 --> 00:02:50.240]  健康是身體精神和社交的狀態
[00:02:50.240 --> 00:02:54.160]  每個人的感覺都不同
[00:02:54.160 --> 00:02:56.000]  舒適就夠好
[00:02:56.000 --> 00:02:58.800]  身體健康
[00:02:58.800 --> 00:03:01.520]  我今天不是說工作壓力
[00:03:01.520 --> 00:03:03.120]  是說一般人的健康
[00:03:03.120 --> 00:03:04.240]  很重要
[00:03:04.240 --> 00:03:06.240]  你要做得精神好
[00:03:06.240 --> 00:03:07.280]  要睡得好
[00:03:07.280 --> 00:03:09.280]  否則腦筋混沌
[00:03:09.280 --> 00:03:10.480]  你怎麼做事
[00:03:10.480 --> 00:03:12.080]  效率不高
[00:03:12.080 --> 00:03:13.360]  做錯事被人罵
[00:03:13.360 --> 00:03:15.920]  於是你要睡得好
[00:03:15.920 --> 00:03:17.200]  睡得好
[00:03:17.200 --> 00:03:18.880]  其實有些人來看我
[00:03:18.880 --> 00:03:19.840]  說我不能睡
[00:03:19.840 --> 00:03:21.360]  我說不反自然
[00:03:21.360 --> 00:03:22.320]  神做人
