
[00:00:00.000 --> 00:00:08.000]  根據政府指引 港獨是可以不戴口罩
[00:00:08.000 --> 00:00:15.000]  好 不戴口罩講十足 戴口罩講七成
[00:00:15.000 --> 00:00:21.000]  今日主希望這個疫情早日完全過去
[00:00:21.000 --> 00:00:23.000]  大家都不用戴口罩
[00:00:23.000 --> 00:00:27.000]  不用每天都見到大家要鼓領袖
[00:00:27.000 --> 00:00:32.000]  尤其是很久沒見 戴口罩不要認得
[00:00:32.000 --> 00:00:37.000]  剛才讀的經文在羅馬書三章二十一到二十六前
[00:00:37.000 --> 00:00:42.000]  今個星期發生一件很震驚全城的案件
[00:00:42.000 --> 00:00:50.000]  令人很不安 兇殘和冷血
[00:00:50.000 --> 00:00:52.000]  這件案我不會作評論
[00:00:52.000 --> 00:00:59.000]  不過大家都知道這案件的可怕性
[00:00:59.000 --> 00:01:05.000]  事實上類似的案件都不是第一次
[00:01:05.000 --> 00:01:11.000]  過去都曾經發生過 經文不再讀了
[00:01:11.000 --> 00:01:22.000]  十多年前在台灣發生類似的案件
[00:01:22.000 --> 00:01:26.000]  大家有沒有聽過97年的時候
[00:01:26.000 --> 00:01:29.000]  在台灣有一個很壞的人
[00:01:29.000 --> 00:01:31.000]  這個人真的很壞 我查過他
[00:01:31.000 --> 00:01:39.000]  當年他做了打家劫舍不在話下
[00:01:39.000 --> 00:01:46.000]  騙財騙人等等 怪事做盡的陳俊興
[00:01:46.000 --> 00:01:55.000]  案件的震撼性是他綁架了台灣一個很知名的藝人
[00:01:55.000 --> 00:01:58.000]  叫做白冰冰 大家可能聽過
[00:01:58.000 --> 00:02:04.000]  她的白曉燕 當時她很年輕 大約二十歲
[00:02:04.000 --> 00:02:08.000]  當然綁架就是要拿錢
[00:02:08.000 --> 00:02:14.000]  後來因為一些談判不順利的緣故
[00:02:14.000 --> 00:02:22.000]  白冰冰在他要交贖金之前已經被殺被污辱
[00:02:22.000 --> 00:02:25.000]  後來發現了他的屍體
[00:02:25.000 --> 00:02:31.000]  根據當時的法證的追查
[00:02:31.000 --> 00:02:39.000]  證明犯事人就是陳俊興 因為他姦污了他
[00:02:39.000 --> 00:02:47.000]  他死得很慘 這件事令人非常氣憤
[00:02:47.000 --> 00:02:52.000]  但是這件事一直發展下去就有些意外
[00:02:52.000 --> 00:02:59.000]  就是他判了死刑 而且是判了五個死刑
[00:02:59.000 --> 00:03:06.000]  即是死一次都不夠 五個死刑
[00:03:06.000 --> 00:03:11.000]  他在坐牢的期間 由1997年發生到1998年
[00:03:11.000 --> 00:03:15.000]  他在1999年復發 在那一年裏面
[00:03:15.000 --> 00:03:19.000]  在獄中有人向他傳呼音
[00:03:19.000 --> 00:03:24.000]  一個浸信會牧師 他用了很多時間
[00:03:24.000 --> 00:03:31.000]  在獄中他悔改 信主 這個牧師都很小心
[00:03:31.000 --> 00:03:36.000]  他經歷了很多次 很小心 問過
[00:03:36.000 --> 00:03:39.000]  又跟他高呼一聲信仰
[00:03:39.000 --> 00:03:44.000]  到最後都相信 發現他很真心悔改
[00:03:44.000 --> 00:03:47.000]  他的生命是有改變的
