
[00:00:00.000 --> 00:00:09.000]  本輯節目早晨,今日講題:智慧的終極,寄讀
[00:00:09.000 --> 00:00:20.000]  過去在過渡會裏面有很多課堂講到針言,每一課我都好用心去聽,是覺得非常好
[00:00:20.000 --> 00:00:28.000]  或者在總結之前,我將過去我聽到的課堂,很簡單地去交代一下
[00:00:28.000 --> 00:00:39.000]  陳志良傳道講了四堂,7月19日他講的針言二章,就是智慧神保守與拯救的途徑
[00:00:39.000 --> 00:00:52.000]  裏面提到有智慧做的好事是不夠的,更加重要是要將提升生命的素質,真正的智慧就是我們得名生,享平安,很有意思的
[00:00:52.000 --> 00:01:12.000]  第二堂他在8月2日講的就是針言書第四章,是持定分會,保守紀深,勸勉我們要有一個心字,不要左右右擺,好像在超市排隊一樣,結果最快變得最慢
[00:01:12.000 --> 00:01:32.000]  有意思的,不要三心兩意,要堅定追隨上帝,不要就周圍的人影響,第三堂陳傳道在8月16日針言二十三章就講到,當與誰同行,就是要抗拒那些不良的同伴認定好的鼎姐妹
[00:01:32.000 --> 00:01:40.000]  是靠著鼎姐妹的支持,排除群眾的壓力,以上帝的道為智慧,此次不如
[00:01:40.000 --> 00:01:51.000]  第四堂陳傳道在針言十二章就提到,智慧人的言語,教導我們管理情緒,控制語言,表現智慧風度
[00:01:51.000 --> 00:02:16.000]  在針言裏面很多好的訊息,這四堂裏面說得相當給我們有好的反省,麥永榮牧師我聽到有三堂,7月26日針言第三章就講到,智慧人生路,智慧為我們提供是與非,什麼是應該做,什麼是不應該做的指引
[00:02:16.000 --> 00:02:32.000]  8月23日針言第四章提到,我對明天有信心,明天是什麼呢,什麼是最美滿的日子呢,就是在上帝的掌管下面,那個就是最美好的日子
[00:02:32.000 --> 00:02:50.000]  而9月13日針言第十章就提到針言的財富觀,給我們一個一生的,和世上很大的分別,我們的金錢財物的意義在哪裏
[00:02:50.000 --> 00:03:13.000]  王李慧媒傳道也有很好的教導,8月9日針言第五章說到兩口子,就是我們家庭最緊密親密的人,不要因為疫情時時見面產生磨擦,失去夫妻感情,珍惜身邊人
[00:03:13.000 --> 00:03:37.000]  更加不要偷情,偷淚水淹,那個對於我們的家庭來說是一個非常好的提醒,8月30日就提到針言十三章說到養兒育女,要趁早管教,要隨時隨地,並且要心平氣和,這些都是針言給我們非常好的教導
[00:03:37.000 --> 00:03:52.000]  原來針言這麼豐富,那有什麼可以總結呢?我聽完這麼多堂道之後,我一直想,其實很好的教導,裏面很好的奮慧,其實大家已經領受了
[00:03:52.000 --> 00:04:10.000]  我一直思想的時候,到最後我就用這個題目,就是終極的智慧,耶穌基督,我今天所選擇的是針言第八章,22-31節
[00:04:10.000 --> 00:04:33.000]  我先讀一遍,(讀)
[00:04:33.000 --> 00:04:59.000]  (讀)
[00:04:59.000 --> 00:05:17.000]  (讀)
[00:05:17.000 --> 00:05:40.000]  (讀)
[00:05:40.000 --> 00:05:54.000]  (讀)
[00:05:54.000 --> 00:06:20.000]  (讀)
[00:06:20.000 --> 00:06:37.000]  (讀)
[00:06:37.000 --> 00:06:59.000]  (讀)
[00:06:59.000 --> 00:07:27.000]  (讀)
[00:07:27.000 --> 00:07:51.000]  (讀)
[00:07:51.000 --> 00:08:06.000]  (讀)
[00:08:06.000 --> 00:08:30.000]  (讀)
[00:08:30.000 --> 00:08:58.000]  (讀)
[00:08:58.000 --> 00:09:22.000]  (讀)
[00:09:22.000 --> 00:09:50.000]  (讀)
[00:09:50.000 --> 00:10:17.000]  (讀)
[00:10:17.000 --> 00:10:44.000]  (讀)
