
[00:00:00.000 --> 00:00:04.000]  聽節目早晨
[00:00:04.000 --> 00:00:08.000]  今日跟大家不是思考單一一位男士
[00:00:08.000 --> 00:00:12.000]  他在家庭裏面
[00:00:12.000 --> 00:00:16.000]  所成就的貢獻,不是
[00:00:16.000 --> 00:00:20.000]  一班男人在一起會做些什麼呢?
[00:00:20.000 --> 00:00:24.000]  碰到一個問題的時候
[00:00:24.000 --> 00:00:28.000]  會怎樣解決處理
[00:00:28.000 --> 00:00:32.000]  以至問題得到解決呢?
[00:00:32.000 --> 00:00:36.000]  剛才所讀的《士囊傳》六章一至七節
[00:00:36.000 --> 00:00:40.000]  其實一個典型的故事有好結局
[00:00:40.000 --> 00:00:44.000]  你知道一班男人在一起做事情未必有好結果
[00:00:44.000 --> 00:00:48.000]  但這個故事
[00:00:48.000 --> 00:00:52.000]  是由一個問題開始,但有一個好結局
[00:00:52.000 --> 00:00:56.000]  所以我們都可以拿來做一個範例
[00:00:56.000 --> 00:01:00.000]  讓我們去看
[00:01:00.000 --> 00:01:04.000]  要得到一個好結局就沒有保證
[00:01:04.000 --> 00:01:08.000]  你可以每件事每個步驟都做對了
[00:01:08.000 --> 00:01:12.000]  但仍然有些不受控的因素
[00:01:12.000 --> 00:01:16.000]  結果都不是如你預期想像的
[00:01:16.000 --> 00:01:20.000]  所以又不是是非必然的好結局
[00:01:20.000 --> 00:01:24.000]  但無論結局好與壞
[00:01:24.000 --> 00:01:28.000]  我們都要知道有什麼正確的行動方法
[00:01:28.000 --> 00:01:32.000]  行走解決問題,一起共事
[00:01:32.000 --> 00:01:36.000]  即使家庭裡都不是一個人工作
[00:01:36.000 --> 00:01:40.000]  父母要一起合作工作
[00:01:40.000 --> 00:01:44.000]  如果父母這樣的話,這個家庭都很難
[00:01:44.000 --> 00:01:48.000]  健康甚至很難持續下去
[00:01:48.000 --> 00:01:52.000]  一起工作的時候又是一回什麼事情呢?
[00:01:52.000 --> 00:01:56.000]  我們先看問題起哪裏
[00:01:56.000 --> 00:02:00.000]  我們看回經文第一節,問題很簡單
[00:02:00.000 --> 00:02:04.000]  有些人被忽略了,這是最早期的教會
[00:02:04.000 --> 00:02:08.000]  現在是唐人傳第六章,五旬節過了之後
[00:02:08.000 --> 00:02:12.000]  十二使徒繼續在聖殿
[00:02:12.000 --> 00:02:16.000]  仍然在耶路撒冷,在聖殿附近宣講
[00:02:16.000 --> 00:02:20.000]  沒多久之前就被釘起
[00:02:20.000 --> 00:02:24.000]  釘在十字架上
[00:02:24.000 --> 00:02:28.000]  卻是三天後復活而升天的
[00:02:28.000 --> 00:02:32.000]  為以色列人所選擇
[00:02:32.000 --> 00:02:36.000]  要拯救他們的基督尼塞亞
[00:02:36.000 --> 00:02:40.000]  宣講這位復活的主,我們的盼望
[00:02:40.000 --> 00:02:44.000]  不再是虛幻的一件事
[00:02:44.000 --> 00:02:48.000]  是真真實實,因為我們的主已經復活
[00:02:48.000 --> 00:02:52.000]  即使現存也好,但在事實裏面
[00:02:52.000 --> 00:02:56.000]  死亡的勢力已經過去了,因為有更大的力量
[00:02:56.000 --> 00:03:00.000]  已經戰勝死亡,你和我的年齡
[00:03:00.000 --> 00:03:04.000]  都慢慢長大,都在看地上
[00:03:04.000 --> 00:03:08.000]  生活的終點,但你和我都要知道
