
[00:00:00.000 --> 00:00:05.000]  各位電影節目的各位朋友你們好
[00:00:05.000 --> 00:00:07.500]  歡迎大家參加我們三藩市播道會
[00:00:07.500 --> 00:00:09.500]  網上的五堂崇拜
[00:00:09.500 --> 00:00:13.000]  我們今天繼續思想登山補份的訊息
[00:00:13.000 --> 00:00:17.000]  我們去到《馬太福音》第五章17節至20節
[00:00:17.000 --> 00:00:19.500]  題目叫做「喚心」
[00:00:19.500 --> 00:00:21.500]  在開始思想這段聖經之前
[00:00:21.500 --> 00:00:24.000]  請我們再次同心低頭禱告
[00:00:24.000 --> 00:00:27.000]  慈悲人的天父我們滿心感謝你
[00:00:27.000 --> 00:00:29.500]  因為你賜給神的話語
[00:00:29.500 --> 00:00:31.500]  作為我們生命的指引
[00:00:31.500 --> 00:00:35.000]  藉著你的話語我們明白什麼叫做真理
[00:00:35.000 --> 00:00:39.000]  怎樣才能得到永遠滿足的生活
[00:00:39.000 --> 00:00:42.000]  求你打開我們的心門
[00:00:42.000 --> 00:00:44.000]  聖靈在我們心裡面工作
[00:00:44.000 --> 00:00:47.000]  明白你的話語又跟著你的話語走
[00:00:47.000 --> 00:00:49.000]  求你祝福保守我們
[00:00:49.000 --> 00:00:52.000]  祈禱奉耶穌基督命求 阿們
[00:00:52.000 --> 00:00:54.000]  中國人有句話說
[00:00:54.000 --> 00:00:57.000]  不孝有三 無後為大
[00:00:57.000 --> 00:01:00.500]  今天我們不再說無後為大了
[00:01:00.500 --> 00:01:02.500]  我就是想跟大家說說
[00:01:02.500 --> 00:01:05.500]  不孝有三這個問題
[00:01:05.500 --> 00:01:07.500]  你查一查中國的古書
[00:01:07.500 --> 00:01:10.500]  不難發覺不孝怎知三個
[00:01:10.500 --> 00:01:13.000]  簡直是不孝就有N
[00:01:13.000 --> 00:01:16.500]  所謂N者無限數也
[00:01:16.500 --> 00:01:18.000]  首先我們看看
[00:01:18.000 --> 00:01:22.000]  君要臣死 臣不死 視為不忠
[00:01:22.000 --> 00:01:25.500]  父要子亡 子不亡 視為不孝
[00:01:25.500 --> 00:01:28.500]  我就想到春秋戰國的時代
[00:01:28.500 --> 00:01:31.500]  晉國有個叫秦憲高
[00:01:31.500 --> 00:01:34.500]  這個秦憲高這個人就是糊里糊塗
[00:01:34.500 --> 00:01:39.000]  聽了西宮娘娘的唆擺
[00:01:39.000 --> 00:01:42.000]  要殺這個東宮娘娘的兒子
[00:01:42.000 --> 00:01:44.000]  連兒子都殺了
[00:01:44.000 --> 00:01:48.500]  那個傻子先生是個典型的忠君和孝子
[00:01:48.500 --> 00:01:51.500]  乖乖地受死 完成父要
[00:01:51.500 --> 00:01:54.500]  子亡 子不亡 視為不孝的典範
[00:01:54.500 --> 00:01:56.500]  他的弟弟就不同了
[00:01:56.500 --> 00:01:59.000]  不忠不孝 逃命出國
[00:01:59.000 --> 00:02:01.500]  後來復國成巴彥
[00:02:01.500 --> 00:02:05.500]  即是後人所熟悉的叫做晉文公
[00:02:05.500 --> 00:02:10.000]  他肯定比孝子先生是出名得多了
[00:02:10.000 --> 00:02:12.000]  中國人有一句
[00:02:12.000 --> 00:02:15.000]  身體發枯 愁之父母
[00:02:15.000 --> 00:02:18.500]  不敢諱商也 孝之始也
[00:02:18.500 --> 00:02:21.500]  那我又想起三國時代
[00:02:21.500 --> 00:02:24.500]  有個名將夏侯將軍
[00:02:24.500 --> 00:02:29.500]  眼部中箭竟然拔了箭出來
[00:02:29.500 --> 00:02:33.000]  還把眼球拔了出來
[00:02:33.000 --> 00:02:37.500]  大聲說父精母血不可棄也
[00:02:37.500 --> 00:02:43.000]  吞了自己的眼睛 視為大孝
[00:02:43.000 --> 00:02:44.500]  這麼非識比
[00:02:44.500 --> 00:02:47.500]  現在很多女性用護髮素
[00:02:47.500 --> 00:02:49.500]  護膚油
[00:02:49.500 --> 00:02:53.500]  不知道是不是出於那份孝心呢?
[00:02:53.500 --> 00:02:55.000]  中國人有句話
[00:02:55.000 --> 00:02:57.000]  古之孝者視為能養
[00:02:57.000 --> 00:02:59.000]  子犬說皆能有養
[00:02:59.000 --> 00:03:01.500]  不敬何以別乎呢?
[00:03:01.500 --> 00:03:03.500]  這個孔夫子說這句話
[00:03:03.500 --> 00:03:08.500]  就是說如果不存著敬的心
[00:03:08.500 --> 00:03:11.000]  哪裡是真正的孝順呢?
[00:03:11.000 --> 00:03:13.500]  古人就很執著要求尊重
[00:03:13.500 --> 00:03:18.500]  寧可死都不吃那些借來吃的東西
[00:03:18.500 --> 00:03:22.500]  所以就要求子女惜父又要養又要敬
[00:03:22.500 --> 00:03:26.500]  臣婚定省 跪地叩頭
[00:03:26.500 --> 00:03:28.500]  當然在美國的社會
