
[00:00:00.000 --> 00:00:03.000]  各位早晨 早晨
[00:00:03.000 --> 00:00:07.900]  很開心 我想是40年前我來過這裡
[00:00:07.900 --> 00:00:13.700]  3月19號上午來過西營盤 到現在還沒來過
[00:00:13.700 --> 00:00:18.000]  那時候是我結婚那天 3月19號星期天
[00:00:18.000 --> 00:00:20.800]  不知不覺就是40年了
[00:00:20.800 --> 00:00:25.000]  其實我很熟悉這裡的
[00:00:25.000 --> 00:00:28.800]  因為我在這裡工作了好幾年的時間
[00:00:28.800 --> 00:00:30.800]  我想你很小的時候可能認識我
[00:00:30.800 --> 00:00:32.800]  如果你過了50歲的話
[00:00:32.800 --> 00:00:37.300]  我在郵局樓上 我有幾台乒乓球
[00:00:37.300 --> 00:00:40.800]  和那些理性的 經常吐鶴的10元仔
[00:00:40.800 --> 00:00:44.800]  識字反彈的那些 幫襯我的
[00:00:44.800 --> 00:00:49.300]  另外就是在那個小販市場
[00:00:49.300 --> 00:00:52.300]  那時候也有些和小朋友
[00:00:52.300 --> 00:00:54.800]  那時候我做外展工作 社工
[00:00:54.800 --> 00:00:58.800]  也有機會在聖律師擔任了18年
[00:00:58.800 --> 00:01:00.800]  聯校領袖訓練營
[00:01:00.800 --> 00:01:03.800]  在80年至97年 很久了
[00:01:03.800 --> 00:01:05.800]  所以你應該認識我50歲了
[00:01:05.800 --> 00:01:08.800]  如果不是不認識也不要緊 恭喜你這麼年輕
[00:01:08.800 --> 00:01:10.800]  今天是一個很開心的時間
[00:01:10.800 --> 00:01:14.300]  研究的題目就是真愛之道
[00:01:14.300 --> 00:01:15.800]  就是我們做心理治療
[00:01:15.800 --> 00:01:17.800]  很多時候兩種人找我
[00:01:17.800 --> 00:01:23.800]  一是抑鬱 一是沒事 覺得自己有事
[00:01:23.800 --> 00:01:27.800]  第二種就是浪費時間
[00:01:27.800 --> 00:01:31.800]  因為他看完醫生 醫生說你沒事
[00:01:31.800 --> 00:01:35.800]  他說我有事 醫生說你見義德信了
[00:01:35.800 --> 00:01:38.800]  我的責任就是令你覺得沒事
[00:01:38.800 --> 00:01:41.800]  事實上這些錢很容易賺的
[00:01:41.800 --> 00:01:43.800]  但是很多人覺得自己有事
[00:01:43.800 --> 00:01:46.800]  因為他內疚 覺得對不起人
[00:01:46.800 --> 00:01:49.800]  睡不著 香港有30萬人睡不著
[00:01:49.800 --> 00:01:51.800]  要吃安眠藥
[00:01:51.800 --> 00:01:53.800]  但是吃安眠藥是會死的
[00:01:53.800 --> 00:01:55.800]  因為你再吃 越重
[00:01:55.800 --> 00:01:59.800]  你沒有考慮到份量 你受不了
[00:01:59.800 --> 00:02:02.800]  睡覺就去世了
[00:02:02.800 --> 00:02:04.800]  所以很多人都很怕睡不著
[00:02:04.800 --> 00:02:07.800]  不只是年紀大的人
[00:02:07.800 --> 00:02:09.800]  還有很多孤單的人
[00:02:09.800 --> 00:02:13.800]  很多人都以為沒有結婚的人一定很孤單
[00:02:13.800 --> 00:02:16.800]  其實不是的 結婚的人更孤單
[00:02:16.800 --> 00:02:18.800]  兩個都談不攏 更慘
[00:02:18.800 --> 00:02:21.800]  住了一個都不知道什麼人在旁邊睡
[00:02:21.800 --> 00:02:23.800]  感覺真的很慘
[00:02:23.800 --> 00:02:25.800]  有些小朋友都很孤單
[00:02:25.800 --> 00:02:27.800]  所以現在那些人打機
[00:02:27.800 --> 00:02:30.800]  其實不是真的打機很好玩
[00:02:30.800 --> 00:02:34.800]  我相信打機玩了十年左右都會被淘汰
[00:02:34.800 --> 00:02:37.800]  又有第二樣東西代替打機
[00:02:37.800 --> 00:02:39.800]  因為人很寂寞
[00:02:39.800 --> 00:02:42.800]  怎樣都找另一樣東西來代替人的
[00:02:42.800 --> 00:02:44.800]  人最後不寂寞
[00:02:44.800 --> 00:02:47.800]  就是因為找回有真正愛他的人
[00:02:47.800 --> 00:02:49.800]  他才會不寂寞
[00:02:49.800 --> 00:02:51.800]  否則一輩子都會寂寞
[00:02:51.800 --> 00:02:53.800]  所以今天在聖經裏面很好
[00:02:53.800 --> 00:02:56.800]  看到有一個最寶貴的東西
[00:02:56.800 --> 00:02:58.800]  就是神送給我們的
[00:02:58.800 --> 00:03:02.800]  就是他不愛惜自己的兒子 耶穌
[00:03:02.800 --> 00:03:05.800]  送給我們 怎樣送給我們呢?
[00:03:05.800 --> 00:03:07.800]  就是將他的命
[00:03:07.800 --> 00:03:09.800]  代替了我們最不安心的東西
[00:03:09.800 --> 00:03:13.800]  就是內疚 覺得自己做了很多不好的事
[00:03:13.800 --> 00:03:16.800]  我相信了耶穌50年了
[00:03:16.800 --> 00:03:18.800]  50年
[00:03:18.800 --> 00:03:22.800]  那一年在我讀中學的時候
[00:03:22.800 --> 00:03:24.800]  我在聖教失讀
[00:03:24.800 --> 00:03:28.800]  成績不好 因為程度都很高
[00:03:28.800 --> 00:03:31.800]  我經常都考尾幾的
[00:03:31.800 --> 00:03:35.800]  但次都升到班 是最後那幾個升到班
[00:03:35.800 --> 00:03:36.800]  有一年升到班
[00:03:36.800 --> 00:03:40.800]  不過我看到一些章程表真的難看到很可怕
[00:03:40.800 --> 00:03:44.800]  只有一科是藍色字 全部都是紅色的
[00:03:44.800 --> 00:03:49.800]  我最後知道學校要我找爸爸簽名
[00:03:49.800 --> 00:03:51.800]  我很怕爸爸
[00:03:51.800 --> 00:03:54.800]  我在教會經常都聽到
[00:03:54.800 --> 00:03:59.800]  祈禱上帝什麼都會幫我們
[00:03:59.800 --> 00:04:02.800]  我就將成績表放在抽屜裏
[00:04:02.800 --> 00:04:03.800]  然後我祈禱
[00:04:03.800 --> 00:04:08.800]  我一開 就全藍色
[00:04:08.800 --> 00:04:10.800]  如果這樣的話
[00:04:10.800 --> 00:04:16.800]  我真的相信上帝 信到死心塌地
[00:04:16.800 --> 00:04:20.800]  祈完禱 拉出抽屜
[00:04:20.800 --> 00:04:22.800]  動都沒有動過
[00:04:22.800 --> 00:04:23.800]  全部都是紅色
[00:04:23.800 --> 00:04:26.800]  當然不夠誠心
[00:04:26.800 --> 00:04:28.800]  我祈禱十分鐘那麼長
[00:04:28.800 --> 00:04:30.800]  唸經那麼唸
[00:04:30.800 --> 00:04:31.800]  這次夠誠心了吧
[00:04:31.800 --> 00:04:34.800]  這次開 變回藍色
[00:04:34.800 --> 00:04:36.800]  又關上
[00:04:36.800 --> 00:04:38.800]  我真的信到十足十
[00:04:38.800 --> 00:04:40.800]  一開 會變成藍色
[00:04:40.800 --> 00:04:44.800]  因為憑著我上了八年主學
[00:04:44.800 --> 00:04:46.800]  應該都夠功力
[00:04:46.800 --> 00:04:48.800]  變藍色了
[00:04:48.800 --> 00:04:51.800]  拉開 又是紅色
[00:04:51.800 --> 00:04:53.800]  有沒有搞錯呢
[00:04:53.800 --> 00:04:55.800]  上帝告個病假
[00:04:55.800 --> 00:04:58.800]  為什麼你今天不聽祈禱
[00:04:58.800 --> 00:05:01.800]  當時我就決定了
[00:05:01.800 --> 00:05:03.800]  我要重新去找
[00:05:03.800 --> 00:05:06.800]  為什麼不靈呢
[00:05:06.800 --> 00:05:08.800]  我主要是考第一的
[00:05:08.800 --> 00:05:12.800]  為什麼不行呢
[00:05:12.800 --> 00:05:14.800]  其實我想你今天坐在這裏
[00:05:14.800 --> 00:05:16.800]  不知道你能不能回答我
[00:05:16.800 --> 00:05:18.800]  如果你沒有去過教會
[00:05:18.800 --> 00:05:20.800]  沒有聽過耶穌
[00:05:20.800 --> 00:05:22.800]  可能你都回答不了我
[00:05:22.800 --> 00:05:24.800]  因為你都要相信
