
[00:00:00.000 --> 00:00:05.700]  路德記解讀李思敬博士主講
[00:00:05.700 --> 00:00:07.700]  第一講 長路漫漫
[00:00:07.700 --> 00:00:13.580]  有人問我星期日港渡我就知啦
[00:00:13.580 --> 00:00:15.580]  平日你做乜嘢㗎
[00:00:15.580 --> 00:00:22.220]  呢個係我其中一部分做緊嘅工作
[00:00:22.220 --> 00:00:27.940]  幫手喺香港漢語聖經協會
[00:00:27.940 --> 00:00:33.260]  翻譯一本新的中文聖經
[00:00:33.260 --> 00:00:36.420]  叫做新漢語譯本
[00:00:36.420 --> 00:00:43.740]  中文翻譯其實都係一個好長嘅功夫
[00:00:43.740 --> 00:00:49.500]  新約聖經應該希望明年就完成
[00:00:49.500 --> 00:00:51.500]  不過舊約呢
[00:00:51.500 --> 00:00:59.180]  佢哋做咗初稿 而家仍然進行當中
[00:00:59.180 --> 00:01:01.940]  我幫手就唔係幫手翻譯
[00:01:01.940 --> 00:01:05.500]  我只係幫手做最後嘅編輯
[00:01:05.500 --> 00:01:11.020]  不過最少大概由07年開始數
[00:01:11.020 --> 00:01:15.580]  都需要六年嘅時間左右
[00:01:15.580 --> 00:01:19.020]  所以如果神嘅恩典
[00:01:19.020 --> 00:01:26.700]  就07、08、09、10、11、12年就可以完成
[00:01:26.700 --> 00:01:31.740]  所以路德記嘅翻譯就唔係我嘅版權
[00:01:31.740 --> 00:01:33.740]  不過唔等於你可以翻印
[00:01:33.740 --> 00:01:40.300]  版權係屬於香港漢語聖經協會
[00:01:40.300 --> 00:01:45.340]  我借大家做一個實驗
[00:01:45.340 --> 00:01:48.460]  即係你睇唔睇得明呢
[00:01:48.460 --> 00:01:51.020]  我應該用普通話讀嘅
[00:01:51.020 --> 00:01:57.740]  因為今日讀中文聖經最多嘅信徒係喺中國
[00:01:57.740 --> 00:01:59.740]  就唔係喺多倫多
[00:01:59.740 --> 00:02:01.260]  所以如果你返去呢
[00:02:01.260 --> 00:02:05.100]  關埋門喺洗手間用普通話大聲讀一次
[00:02:05.100 --> 00:02:07.500]  你發覺有啲乜嘢甩咳嘅地方
[00:02:07.500 --> 00:02:11.020]  你可以畀一啲feedback畀我
[00:02:11.020 --> 00:02:12.620]  咁我哋可以再
[00:02:12.620 --> 00:02:15.980]  仲有修改嘅因為有中文嘅編輯
[00:02:15.980 --> 00:02:19.820]  佢哋係國內背景嘅弟兄姊妹
[00:02:19.820 --> 00:02:23.420]  咁就好多人參與呢個聖經翻譯嘅工作
[00:02:23.420 --> 00:02:25.980]  都請你哋喺祈禱當中
[00:02:25.980 --> 00:02:28.780]  嚟到為呢件事代禱
[00:02:28.780 --> 00:02:35.180]  路德記應該唔係好陌生嘅故事
[00:02:35.180 --> 00:02:41.820]  路德記係舊約聖經裏面唯一
[00:02:41.820 --> 00:02:52.460]  你可以講兩卷書卷係用女性嘅名字作為書名
[00:02:52.460 --> 00:02:54.860]  另外一本記得係邊本嗎
