
[00:00:00.000 --> 00:00:02.000]  各位電視節目的朋友 您好
[00:00:02.000 --> 00:00:04.500]  感謝主給我再一次機會來到大家當中
[00:00:04.500 --> 00:00:08.000]  我相信上一次在這裡跟大家分享神的話
[00:00:08.000 --> 00:00:10.000]  是三年前的事了
[00:00:10.000 --> 00:00:13.000]  感謝主給我這個機會跟大家分享
[00:00:13.000 --> 00:00:16.000]  這次主要是在溫哥華這個地方
[00:00:16.000 --> 00:00:18.000]  透過現在暑假時間
[00:00:18.000 --> 00:00:20.500]  可以在不同的教會裡面領會
[00:00:20.500 --> 00:00:22.000]  主要是有幾個的下令會
[00:00:22.000 --> 00:00:23.000]  感謝主給我機會
[00:00:23.000 --> 00:00:27.000]  也多謝李牧師給我機會跟大家分享
[00:00:27.000 --> 00:00:29.500]  也將薄露神學院的文案帶給大家
[00:00:29.500 --> 00:00:33.500]  過去這兩年我回到機會帶領神學院的工作
[00:00:33.500 --> 00:00:36.000]  現在在各方面見到上帝的恩典
[00:00:36.000 --> 00:00:38.500]  我現場感恩 請你們為我們祈禱
[00:00:38.500 --> 00:00:42.500]  如果昨天晚上有來參加那個祈禱神學的講座的話
[00:00:42.500 --> 00:00:46.500]  我提出如果大家想收到薄露神學院的通訊
[00:00:46.500 --> 00:00:50.000]  我們非常樂意和很希望你能夠為我們祈禱
[00:00:50.000 --> 00:00:54.000]  我們有些的 希望你可以寫下你的電郵
[00:00:54.000 --> 00:00:56.500]  昨晚我們剩下了一些表格
[00:00:56.500 --> 00:00:59.000]  有些電郵的地址交給我們
[00:00:59.000 --> 00:01:03.500]  我們就按時將代討信和軟信分給大家
[00:01:03.500 --> 00:01:10.000]  我今天和大家分享一段聖經
[00:01:10.000 --> 00:01:13.500]  是在約翰福音第二章一到十一節
[00:01:13.500 --> 00:01:15.500]  相信大家剛才有看到經文
[00:01:15.500 --> 00:01:17.500]  不過也想鼓勵大家
[00:01:17.500 --> 00:01:19.500]  我發現不是每個人都有這樣的習慣
[00:01:19.500 --> 00:01:22.500]  你聽到的時候請你打開聖經好嗎
[00:01:22.500 --> 00:01:24.000]  無論是電子版的聖經
[00:01:24.000 --> 00:01:27.500]  或者是一些我們印刷用的聖經
[00:01:27.500 --> 00:01:29.500]  甚至是堂會在你面前就有的
[00:01:29.500 --> 00:01:31.500]  請你打開聖經來聽
[00:01:31.500 --> 00:01:34.000]  因為講道就是講聖經
[00:01:34.000 --> 00:01:35.500]  如果你不看著聖經
[00:01:35.500 --> 00:01:36.500]  你聽了很多次之後
[00:01:36.500 --> 00:01:37.500]  你都會有這個印象
[00:01:37.500 --> 00:01:39.000]  但你不是很熟悉聖經的
[00:01:39.000 --> 00:01:42.000]  想請你習慣打開聖經來聽
[00:01:42.000 --> 00:01:44.000]  你猜你是隔壁那個
[00:01:44.000 --> 00:01:45.000]  可能他不方便
[00:01:45.000 --> 00:01:47.000]  我不行了 我太嚴重老花
[00:01:47.000 --> 00:01:48.000]  怎樣看都看不到
[00:01:48.000 --> 00:01:49.500]  那就例外了
[00:01:49.500 --> 00:01:53.000]  請你打開聖經來聽
[00:01:53.500 --> 00:01:59.000]  我相信回教會一段時間
[00:01:59.000 --> 00:02:01.000]  大家應該都不陌生這段聖經
[00:02:01.000 --> 00:02:03.000]  這段聖經講到耶穌
[00:02:03.000 --> 00:02:05.000]  走的第一個神蹟
[00:02:05.000 --> 00:02:07.000]  或者更加小心一點說
[00:02:07.000 --> 00:02:10.000]  是耶穌在加利利走的第一個神蹟
[00:02:10.000 --> 00:02:12.000]  聖經說第三日
[00:02:12.000 --> 00:02:14.000]  而第一節說第三日
[00:02:14.000 --> 00:02:15.000]  那什麼是第三日呢
[00:02:15.000 --> 00:02:17.000]  是怎樣計算方法呢
[00:02:17.000 --> 00:02:19.000]  其實約翰是一個目擊證人
[00:02:19.000 --> 00:02:21.000]  即是說和耶穌一起出入
[00:02:21.000 --> 00:02:23.000]  見到耶穌所行的神蹟
[00:02:23.000 --> 00:02:26.000]  和所聽的所講的道
[00:02:26.000 --> 00:02:29.000]  所以他記載時間有個特色
[00:02:29.000 --> 00:02:35.000]  就是地點 人物 時間 什麼節期
[00:02:35.000 --> 00:02:36.000]  是記載得很清楚的
[00:02:36.000 --> 00:02:38.000]  譬如你看第一章
[00:02:38.000 --> 00:02:41.000]  第一章29節次日
[00:02:41.000 --> 00:02:42.000]  你看到時間
[00:02:42.000 --> 00:02:43.000]  第一章29節
[00:02:43.000 --> 00:02:46.000]  然後35節再次日
[00:02:47.000 --> 00:02:51.000]  43節 一章43節又次日
[00:02:51.000 --> 00:02:52.000]  即是多少日呢
[00:02:52.000 --> 00:02:53.000]  已經很多日了
[00:02:53.000 --> 00:02:56.000]  然後到第一章第一節的時候
[00:02:56.000 --> 00:02:57.000]  第三日
[00:02:57.000 --> 00:03:00.000]  這個大概應該是指上一件事
[00:03:00.000 --> 00:03:05.000]  即是說耶穌呼召肥力和肥力的好朋友拿旦葉
[00:03:05.000 --> 00:03:08.000]  作為他門徒之後的第三日
[00:03:08.000 --> 00:03:10.000]  在這段經文裏面
[00:03:10.000 --> 00:03:14.000]  就說耶穌從呼召門徒的地方
[00:03:14.000 --> 00:03:17.000]  去到加利利的加拿
[00:03:17.000 --> 00:03:19.000]  加利利是一個省份
[00:03:19.000 --> 00:03:21.000]  加拿是一個鄉鎮
[00:03:21.000 --> 00:03:24.000]  離開耶穌長大的城市拿撒勒
[00:03:24.000 --> 00:03:26.000]  向北行大約14公里
[00:03:26.000 --> 00:03:28.000]  就是加拿這個鄉鎮
[00:03:28.000 --> 00:03:31.000]  這個言籍裏面
[00:03:31.000 --> 00:03:33.000]  這個婚言裏面
[00:03:33.000 --> 00:03:36.000]  耶穌的家庭母親被邀請去
[00:03:36.000 --> 00:03:41.000]  似乎耶穌的母親不是一個普通的賓客
[00:03:41.000 --> 00:03:44.000]  她是被邀請去的親人
[00:03:44.000 --> 00:03:48.000]  或者是一個很主要的幫手的人
[00:03:48.000 --> 00:03:50.000]  因為當這個言籍出現麻煩的時間
[00:03:50.000 --> 00:03:54.000]  就去到耶穌的母親瑪利亞的面前
[00:03:54.000 --> 00:03:56.000]  相信瑪利亞是一個當時
[00:03:56.000 --> 00:04:01.000]  在婚宴裏面很重要的幫手的人
[00:04:01.000 --> 00:04:04.000]  還有聖經說耶穌和他的門徒一起去
[00:04:04.000 --> 00:04:06.000]  為什麼門徒一起去呢
[00:04:06.000 --> 00:04:08.000]  其中一個可能的原因
[00:04:08.000 --> 00:04:11.000]  就是他的門徒和加拿都有關係
[00:04:11.000 --> 00:04:13.000]  我想問大家一個問題
[00:04:13.000 --> 00:04:14.000]  拿旦葉
[00:04:14.000 --> 00:04:18.000]  就是剛剛在第一章尾呼召成為耶穌門徒的人
[00:04:18.000 --> 00:04:20.000]  他的鄉下在哪裏呢
[00:04:20.000 --> 00:04:22.000]  在哪裏呢
[00:04:22.000 --> 00:04:24.000]  剛剛說完
[00:04:24.000 --> 00:04:26.000]  應該是加拿
[00:04:26.000 --> 00:04:28.000]  你怎麼知道呢
[00:04:28.000 --> 00:04:30.000]  因為剛剛說完
[00:04:31.000 --> 00:04:34.000]  現在看最後一章
[00:04:34.000 --> 00:04:38.000]  21章
[00:04:38.000 --> 00:04:40.000]  第二節
[00:04:40.000 --> 00:04:41.000]  說到一群門徒
[00:04:41.000 --> 00:04:42.000]  好像是從粗故業
[00:04:42.000 --> 00:04:43.000]  就是打魚
[00:04:43.000 --> 00:04:47.000]  裏面記載的名單有西門彼得和多瑪
[00:04:47.000 --> 00:04:49.000]  然後第二節中間說
[00:04:49.000 --> 00:04:52.000]  並加尼尼的加拿人
[00:04:52.000 --> 00:04:53.000]  拿旦葉
[00:04:53.000 --> 00:04:54.000]  很清楚嗎
[00:04:54.000 --> 00:04:56.000]  拿旦葉是加拿的人
[00:04:56.000 --> 00:04:57.000]  因為這個緣故
[00:04:57.000 --> 00:04:59.000]  所以拿旦葉其中一個門徒
[00:04:59.000 --> 00:05:00.000]  因為這個緣故
[00:05:00.000 --> 00:05:03.000]  被邀請到加拿這個婚宴也不成
[00:05:03.000 --> 00:05:06.000]  在這個婚宴裏面
[00:05:06.000 --> 00:05:08.000]  大家不知道有沒有
[00:05:08.000 --> 00:05:12.000]  真的參加過滿漢筵席
[00:05:12.000 --> 00:05:14.000]  有多少人參加過
[00:05:14.000 --> 00:05:16.000]  我只是聽過
[00:05:16.000 --> 00:05:18.000]  我見到走來看滿漢
[00:05:18.000 --> 00:05:20.000]  但我沒有參加過滿漢筵席
[00:05:20.000 --> 00:05:22.000]  聽聞好像是吃一個星期
[00:05:22.000 --> 00:05:24.000]  我不知道
[00:05:24.000 --> 00:05:30.000]  大概當時的耶穌時代猶太人的婚宴
[00:05:30.000 --> 00:05:32.000]  好像滿漢筵席一樣
[00:05:32.000 --> 00:05:33.000]  意思是
[00:05:33.000 --> 00:05:38.000]  他先在女家家裏吃三天
[00:05:38.000 --> 00:05:39.000]  三天之後
[00:05:39.000 --> 00:05:44.000]  父親和親友將新娘子送到男家家裏
[00:05:44.000 --> 00:05:47.000]  去到男家家裏又再三天
[00:05:47.000 --> 00:05:50.000]  所以你見到是一個很隆重
[00:05:50.000 --> 00:05:53.000]  和很長時間的婚宴
[00:05:53.000 --> 00:05:55.000]  大概這件事
[00:05:55.000 --> 00:06:00.000]  發生在女家將新娘子送到男家家裏
[00:06:00.000 --> 00:06:03.000]  有婚宴的時間出現一件事
[00:06:03.000 --> 00:06:06.000]  耶穌將水變成酒
[00:06:06.000 --> 00:06:09.000]  酒是一個很快樂的時間
[00:06:09.000 --> 00:06:11.000]  或者特別是婚宴的時候
[00:06:11.000 --> 00:06:14.000]  經常會飲用的飲料
[00:06:14.000 --> 00:06:16.000]  中外都是這樣
[00:06:16.000 --> 00:06:17.000]  對於飲酒這件事
[00:06:17.000 --> 00:06:20.000]  我發覺基督徒有兩個極端
[00:06:20.000 --> 00:06:23.000]  一個極端就是不准飲酒
[00:06:23.000 --> 00:06:26.000]  什麼情況下都不准飲酒
[00:06:26.000 --> 00:06:30.000]  有沒有見過這樣的朋友呢
[00:06:30.000 --> 00:06:33.000]  原來我起碼知道美國的一個教會
[00:06:33.000 --> 00:06:35.000]  一個保守信仰的宗派
[00:06:35.000 --> 00:06:37.000]  叫做拿撒勒人會
[00:06:37.000 --> 00:06:38.000]  Nazarene Church
[00:06:38.000 --> 00:06:40.000]  他們寫明在信條上
[00:06:40.000 --> 00:06:42.000]  不可以飲酒
[00:06:42.000 --> 00:06:45.000]  有機會我認識拿撒勒人會的一位目者
[00:06:45.000 --> 00:06:48.000]  我問他為什麼你們會規定信徒不准飲酒
[00:06:48.000 --> 00:06:51.000]  是一個要求會有其中的條件
