
[00:00:00.000 --> 00:00:09.200]  今天和大家一起分享的經文是出自於迦拉太書的第二章
[00:00:09.200 --> 00:00:11.600]  第一至第五節
[00:00:11.600 --> 00:00:16.680]  其實這一部分是屬於從第二章第一至第十節的頭一半
[00:00:16.680 --> 00:00:20.720]  我們會分開兩堂的時間去看這段聖經
[00:00:20.720 --> 00:00:25.280]  在開始之前我讓我們再次去思想一下
[00:00:25.280 --> 00:00:29.800]  或者去領受一下這段經文所講的內容是甚麼
[00:00:29.800 --> 00:00:33.840]  然後我們才進入到今天所講的真正講題
[00:00:33.840 --> 00:00:40.560]  靠著福音如何撕掉這個明星效應在我們屬靈生命上的影響
[00:00:40.560 --> 00:00:44.080]  讓我們一起再次打開神的寶貴說話
[00:00:44.080 --> 00:00:50.360]  讓我們先以和合本的版本去讀迦拉太書的第二章
[00:00:50.360 --> 00:00:53.360]  第一至第五節
[00:00:53.360 --> 00:00:58.400]  「過了十四年,我和巴拿巴又上耶路撒冷去,
[00:00:58.400 --> 00:01:00.760]  並帶著提多同去。
[00:01:00.760 --> 00:01:08.040]  我是奉啟示上去的,把我在外邦人中所傳的福音對弟兄們陳說,
[00:01:08.040 --> 00:01:12.120]  卻是背地裡對那有名望之人說的,
[00:01:12.120 --> 00:01:16.960]  唯恐我現在或是從前徒然奔跑。
[00:01:16.960 --> 00:01:23.080]  但與我同去的提多,雖是希臘人,也沒有勉強他受割禮,
[00:01:23.080 --> 00:01:30.240]  因為有偷著引進來的假弟兄私下窺探我們在基督耶穌裡的自由,
[00:01:30.240 --> 00:01:32.480]  要叫我們作奴僕。
[00:01:32.480 --> 00:01:37.080]  我們就使一刻的功夫也沒有容讓信服他們,
[00:01:37.080 --> 00:01:41.520]  唯要叫福音的真理仍存在你們中間。」
[00:01:41.520 --> 00:01:44.160]  我經常看很多電影
[00:01:44.160 --> 00:01:47.560]  有些電影曾經有這樣的橋段
[00:01:47.560 --> 00:01:55.360]  就是講到原本很有正義感的警察或官員
[00:01:55.360 --> 00:01:59.720]  隨著時日的歲月磨細
[00:01:59.720 --> 00:02:05.200]  最初的正義感漸漸磨滅
[00:02:05.200 --> 00:02:11.240]  這些電影我們通常都會形容為他如何成魔的過程
[00:02:11.240 --> 00:02:13.640]  其實成魔
[00:02:13.640 --> 00:02:17.400]  為何一個人會漸漸由一個很有正義感的人
[00:02:17.400 --> 00:02:21.760]  後來演變成一個無惡不作的人呢?
[00:02:21.760 --> 00:02:27.800]  其實同樣的情況可能都會發生在我們屬靈的生命上
[00:02:27.800 --> 00:02:34.280]  最初一個基督徒帶著滿懷熱誠的心智去侍奉主
[00:02:34.280 --> 00:02:37.080]  對主每一件事都言聽計從
[00:02:37.080 --> 00:02:41.000]  但隨著時日不斷參與在一些侍奉中
[00:02:41.000 --> 00:02:43.120]  漸漸開始變質
[00:02:43.120 --> 00:02:45.640]  究竟是甚麼原因使他變質呢?
[00:02:45.640 --> 00:02:52.000]  而我們應該怎樣做才可以防止自己走入這樣的局面呢?
[00:02:52.000 --> 00:02:54.400]  今日我們所看的加拉太書
