
[00:00:00.000 --> 00:00:05.000]  各位大姐姐妹 各位朋友你們好
[00:00:05.000 --> 00:00:10.000]  歡迎大家參加我們三藩市播道會網上午課崇拜
[00:00:10.000 --> 00:00:14.000]  今天我們繼續思想約翰福音的訊息
[00:00:14.000 --> 00:00:18.000]  我們來到約翰福音第六章三十節至兩十一節
[00:00:18.000 --> 00:00:23.000]  題目叫做生命之糧 未開始思想這段聖經之前
[00:00:23.000 --> 00:00:28.000]  請你同心低頭 同祷告 慈悲人愛天父我們本心多謝你
[00:00:28.000 --> 00:00:31.000]  因為我們知道你就是生命之糧
[00:00:31.000 --> 00:00:35.000]  唯有你才讓我們有真正的飽足
[00:00:35.000 --> 00:00:41.000]  求你藉著你的話語提醒 怨勉 教導 安慰 督戰我們
[00:00:41.000 --> 00:00:45.000]  我們禱告拉奉耶穌基督名求 阿們
[00:00:45.000 --> 00:00:51.000]  在新年時節我們恭喜人會說心想事成
[00:00:51.000 --> 00:00:55.000]  從心所欲 想過樣就得過樣
[00:00:55.000 --> 00:00:59.000]  但究竟這些是不是真的好呢?
[00:00:59.000 --> 00:01:02.000]  讓我想起史丹利·瓊斯(Stanley Jones)
[00:01:02.000 --> 00:01:05.000]  他寫了一本書叫做《Growing Spiritually》
[00:01:05.000 --> 00:01:11.000]  他提到一個故事 有一個人真的夢境成真
[00:01:11.000 --> 00:01:15.000]  心想事成 想過樣就得過樣
[00:01:15.000 --> 00:01:18.000]  他想要什麼呢?
[00:01:18.000 --> 00:01:22.000]  他想到他在三藩市唐人埠住散房
[00:01:22.000 --> 00:01:27.000]  又細又簡陋 租又貴 環境又不好
[00:01:27.000 --> 00:01:31.000]  當然最重要是搬屋
[00:01:31.000 --> 00:01:35.000]  如果能夠在Hillsboro有一間大屋
[00:01:35.000 --> 00:01:41.000]  有游水池 有網球場 嘩!這樣就爽了
[00:01:41.000 --> 00:01:44.000]  於是他想到這間大屋
[00:01:44.000 --> 00:01:49.000]  就說一聲「風啊」這個暗語 事就這樣成了
[00:01:49.000 --> 00:01:54.000]  忽然之間他置身一間有14間套房的寓所
[00:01:54.000 --> 00:01:59.000]  前面有一個一畝地的花園 有浴池
[00:01:59.000 --> 00:02:05.000]  後面有游水池 是奧林匹克世運會的尺寸
[00:02:05.000 --> 00:02:08.000]  又有個網球場 籃球場
[00:02:08.000 --> 00:02:13.000]  這位仁兄開心到極了
[00:02:13.000 --> 00:02:19.000]  再想想 這麼大間屋 叫我一個人打掃
[00:02:19.000 --> 00:02:24.000]  但已經吸塵吸了一個星期都吸不完
[00:02:24.000 --> 00:02:27.000]  那我就做了這間大屋的奴隸
[00:02:27.000 --> 00:02:32.000]  不行不行 我一定要有二三十人照顧家裡
[00:02:32.000 --> 00:02:35.000]  於是他又說一聲「風啊」的暗語
[00:02:35.000 --> 00:02:39.000]  事就這樣成了 現在去安樂了
[00:02:39.000 --> 00:02:42.000]  有人幫他煮飯 有人幫他買菜
