
[00:00:00.000 --> 00:00:04.560]  各位兄弟姐妹早晨
[00:00:04.560 --> 00:00:09.360]  每個月來一次真的搞不定
[00:00:09.360 --> 00:00:13.440]  以前每年九月我都來
[00:00:13.440 --> 00:00:20.160]  那些大日子就留給新上任總幹事主席他們來
[00:00:20.160 --> 00:00:22.160]  我們跟大家講一下聚會
[00:00:22.160 --> 00:00:28.240]  今天選這個題目我來到沈先生就說
[00:00:28.240 --> 00:00:32.480]  一會兒要看看這個生命的真相到底怎樣
[00:00:32.480 --> 00:00:38.240]  直覺就感覺到他很想知道生命的真相是怎樣
[00:00:38.240 --> 00:00:44.720]  用這個題目都想深一點
[00:00:44.720 --> 00:00:48.720]  我們人沒辦法知道生命的真相到底是怎樣
[00:00:48.720 --> 00:00:52.560]  我們經常聽到你想知道真相
[00:00:52.560 --> 00:00:54.560]  真相是很殘酷的
[00:00:54.560 --> 00:00:58.400]  你是不是真的想知道那個道理是怎樣
[00:00:58.400 --> 00:01:00.400]  那個道理是很殘酷的
[00:01:00.400 --> 00:01:03.840]  你有沒有這樣的勇氣可以面對那個真相
[00:01:03.840 --> 00:01:09.920]  可以面對那個道理背後的真實
[00:01:09.920 --> 00:01:12.880]  那個真實可以讓人很震撼
[00:01:12.880 --> 00:01:18.880]  或者很讓人會頂不住
[00:01:18.880 --> 00:01:27.200]  將你這個人你認為很寶貴
[00:01:27.200 --> 00:01:30.000]  你認為沒人知曉
[00:01:30.000 --> 00:01:36.080]  你認為甚至連自己都不太清楚的那個道理
[00:01:36.080 --> 00:01:41.280]  那個真相將他整個反映出來給你看到
[00:01:41.280 --> 00:01:43.280]  原來我是這樣的
[00:01:43.280 --> 00:01:46.560]  那個這樣的真是很醜陋的
[00:01:46.560 --> 00:01:52.960]  保羅在這裏容許我將題目帶前進一章十二節
[00:01:52.960 --> 00:01:55.280]  我們十二節那一節怎樣說
[00:01:55.280 --> 00:01:57.280]  我感謝大家的力量
[00:01:57.280 --> 00:01:59.280]  我們的主基督耶穌
[00:01:59.280 --> 00:02:02.000]  因他以我有忠心派我伏事得
[00:02:02.000 --> 00:02:04.000]  一開始在這個段落裏面
[00:02:04.000 --> 00:02:07.120]  他用感謝來開始
[00:02:07.120 --> 00:02:11.280]  我們賢經那些就很喜歡看一個段落一個段落
[00:02:11.280 --> 00:02:14.560]  但是到這個段落的第十七節是怎樣呢
[00:02:14.560 --> 00:02:16.560]  我們去到第十七節
[00:02:16.560 --> 00:02:18.560]  但願尊貴榮耀歸納
[00:02:18.560 --> 00:02:20.560]  不能柳懷 不能按見
[00:02:20.560 --> 00:02:22.560]  永世的君王 獨一的神
[00:02:22.560 --> 00:02:24.560]  直到永永遠遠夏末
[00:02:24.560 --> 00:02:31.200]  好像一個感謝讚美來做這個段落的一個結束
[00:02:31.200 --> 00:02:34.240]  開首他又讚美 結束他又讚美
[00:02:34.240 --> 00:02:36.240]  對賢經的人來說
[00:02:36.240 --> 00:02:38.240]  這個就是一個很肯定的段落
[00:02:38.240 --> 00:02:42.240]  這個段落裏面他要講些什麼呢
[00:02:42.240 --> 00:02:49.200]  我們就說用生命的真相來做一個開始
[00:02:49.200 --> 00:02:54.480]  前一陣子我看到一本書
[00:02:54.480 --> 00:02:58.480]  那本書是在我美國讀神學的時候
[00:02:58.480 --> 00:03:01.040]  那個神學教授寫的那本書
[00:03:01.040 --> 00:03:05.600]  那本書叫尋求上帝
[00:03:05.600 --> 00:03:09.120]  Enquiring after God
[00:03:09.120 --> 00:03:11.120]  尋求上帝
[00:03:11.120 --> 00:03:15.600]  到底他在那本書裏面寫了些什麼呢
[00:03:15.600 --> 00:03:17.600]  他就發覺到
[00:03:17.600 --> 00:03:20.720]  在我們所讀的神學著作
[00:03:20.720 --> 00:03:23.280]  特別是關於古代教父的著作
[00:03:23.280 --> 00:03:26.800]  那些書裏面有一個很一切的主題
[00:03:26.800 --> 00:03:29.360]  講真那些道理的時候
[00:03:29.360 --> 00:03:31.360]  他都想建立我們的生命
[00:03:31.360 --> 00:03:35.120]  怎樣和上帝有更好的關係
[00:03:35.120 --> 00:03:37.600]  怎樣和人有一個更好的關係
