
[00:00:00.000 --> 00:00:07.100]  在聆聽主導儀師我們一起同心低頭禱告先
[00:00:07.100 --> 00:00:14.800]  父神多謝你 多謝你讓我們能夠在你的當中有你的啟示
[00:00:14.800 --> 00:00:19.000]  有你的僕人的見證 以及他們的侍奉
[00:00:19.000 --> 00:00:25.000]  成為我們今天在這條熟練的道路上的一個很好的典範
[00:00:25.000 --> 00:00:31.000]  甚至有很多地方值得我們借鏡學習跟從
[00:00:31.000 --> 00:00:39.000]  但最重要的是主你讓我們了解這些屬靈的領袖或你的工人
[00:00:39.000 --> 00:00:45.000]  如何每一個在主你面前侍奉的心智
[00:00:45.000 --> 00:00:50.000]  讓我們今天做基督徒也好 管束受聖靈的引導
[00:00:50.000 --> 00:00:57.000]  知道我們如何在上帝安託的地方作美好的見證
[00:00:57.000 --> 00:01:03.000]  而不是為了自己而出位 不是為了自己有多風光而去做事
[00:01:03.000 --> 00:01:10.000]  甚至不是為了如何高舉我們基督徒有多特別不同
[00:01:10.000 --> 00:01:16.000]  而是讓我們切切實實地去讓人認識到
[00:01:16.000 --> 00:01:27.000]  這位創始成中的神是如何引導人能夠歸回到一個無罪重擔的一個屬靈光景
[00:01:27.000 --> 00:01:32.000]  求你的幫助大靈 他們同心的禱告奉靠主耶穌的德性明智
[00:01:32.000 --> 00:01:38.000]  人很喜歡被人稱讚
[00:01:38.000 --> 00:01:48.000]  甚至很多人覺得稱讚是一個鼓勵 是一個對自己的肯定
[00:01:48.000 --> 00:01:57.000]  不過其實稱讚也很多時候成為了一些人用來陷害人
[00:01:57.000 --> 00:02:06.000]  甚至是一種手段去將自己高抬的一種方法或手段
[00:02:06.000 --> 00:02:13.000]  很多人用各種方式去誇讚對方
[00:02:13.000 --> 00:02:27.000]  嘗試在裡面用一些好的說話去打動其他人來順從自己
[00:02:27.000 --> 00:02:32.000]  廣東話有句俗語叫做雞腿打人牙較軟
[00:02:32.000 --> 00:02:39.000]  給你一些甜頭 讓你覺得自己很厲害
[00:02:39.000 --> 00:02:45.000]  但其實這類型的可能只是一種假的讚賞
[00:02:45.000 --> 00:02:54.000]  裡面空洞的表揚反而導致人跌入陷阱的開始
[00:02:54.000 --> 00:03:04.000]  新約聖經裡有一個教導 當人說你是好的時候 你就有禍了
[00:03:04.000 --> 00:03:07.000]  這句話我們要很小心去聽
[00:03:07.000 --> 00:03:13.000]  不是說人人稱讚你一定是準備墮落 跌倒的情況
[00:03:13.000 --> 00:03:23.000]  這句話是提醒我們要很小心去掌握一些人究竟他們的動機是什麼
[00:03:23.000 --> 00:03:27.000]  甚至我們去聽或接受一些讚許的時候
[00:03:27.000 --> 00:03:30.000]  我們自己的心態是怎樣
[00:03:30.000 --> 00:03:38.000]  不要只求為了感覺良好就以為別人讚我我就樂樂受著
[00:03:38.000 --> 00:03:50.000]  但其實這些情況可能更加容易讓我們跌入一種很容易被人唆擺或利用的狀態
[00:03:50.000 --> 00:03:56.000]  這種種情況在聖經裡我們屢見不鮮
[00:03:56.000 --> 00:04:06.000]  但在屬靈世界裡有沒有人利用這種方式去行騙呢?
[00:04:06.000 --> 00:04:13.000]  也不少 特別是我們在教會裡經常聽到很多人說
[00:04:13.000 --> 00:04:20.000]  我們的神是大而有力的 因為上主是Almighty Lord
[00:04:20.000 --> 00:04:33.000]  於是利用上帝很有力量成為了教會或世界裡的一種抬舉手段
[00:04:33.000 --> 00:04:37.000]  我稱之為狐假虎威的一種伎倆
[00:04:37.000 --> 00:04:46.000]  沒錯 我們的上帝是大有能力甚至可以在這個世界上施展祂的旗幟和意象
[00:04:46.000 --> 00:04:55.000]  但當祂這樣做的時候卻不是為了我們的利益或身份在這個世界被高抬而去做
[00:04:55.000 --> 00:05:01.000]  而是為了上帝在這個地上讓人認識祂
[00:05:01.000 --> 00:05:08.000]  除了有力量之外 祂的力量使用的目的是什麼呢?
[00:05:08.000 --> 00:05:14.000]  不只是使人有富貴或成功
[00:05:14.000 --> 00:05:20.000]  但很可惜有些基督徒因為他們的心術不太正確
[00:05:20.000 --> 00:05:26.000]  甚至看到上帝做了一些歧視或異象的時候
[00:05:26.000 --> 00:05:37.000]  他們就成為了包裝自己比其他人更有屬靈的一份遺憤的感覺
[00:05:37.000 --> 00:05:45.000]  這種情況很多基督徒久而久之就墮入了這種陷阱
[00:05:45.000 --> 00:05:52.000]  以為利用上帝行神蹟或身上有什麼歧視發生了
[00:05:52.000 --> 00:05:56.000]  然後就成為了我們有多麼的屬靈呢?
[00:05:56.000 --> 00:06:00.000]  這種標準的宣傳伎倆
[00:06:00.000 --> 00:06:03.000]  把自己包裝在一個群體裏面
[00:06:03.000 --> 00:06:07.000]  讓人覺得自己好像被人沽一點
[00:06:07.000 --> 00:06:10.000]  所以今天當我們看回這段經文
[00:06:10.000 --> 00:06:15.000]  但以理書第二章24至28節的時候
[00:06:15.000 --> 00:06:21.000]  我們發覺到但以理做了一件事是很值得我們去學習的
[00:06:21.000 --> 00:06:28.000]  上帝是給但以理有能力去做很多歧視
[00:06:28.000 --> 00:06:34.000]  甚至可以演繹很多的異象或奇妙的事
[00:06:34.000 --> 00:06:37.000]  上帝將要發生或執行的事
[00:06:37.000 --> 00:06:40.000]  但他沒有利用這件事去成為了台舉
[00:06:40.000 --> 00:06:45.000]  但以理截然不同或比其他人高高在上
[00:06:45.000 --> 00:06:50.000]  好像在巴比倫裏沒有任何一個哲士比但以理更厲害
[00:06:50.000 --> 00:06:52.000]  他沒有這樣做
[00:06:52.000 --> 00:06:57.000]  反而他利用了一個這樣的情況
[00:06:57.000 --> 00:07:06.000]  機會來將這位大而可謂智慧源頭的上帝
[00:07:06.000 --> 00:07:09.000]  引戰到這些人的面前
[00:07:09.000 --> 00:07:11.000]  甚至倒過來說
