
[00:00:00.000 --> 00:00:05.000]  各位影視節目平安
[00:00:05.000 --> 00:00:10.000]  我們今天繼續跟大家分享創世紀的系列
[00:00:10.000 --> 00:00:15.000]  今天如果大家有留意新聞的時候
[00:00:15.000 --> 00:00:20.000]  你會很清楚看到這個世界是一個撕裂的世界
[00:00:20.000 --> 00:00:25.000]  撕裂的世界似乎是兩大陣營
[00:00:25.000 --> 00:00:32.000]  一個是歐美的陣營 另一個是中俄的陣營
[00:00:32.000 --> 00:00:36.000]  彼此你不服我 我不服你
[00:00:36.000 --> 00:00:40.000]  所有其他世界上的國家
[00:00:40.000 --> 00:00:42.000]  你差不多都要歸邊
[00:00:42.000 --> 00:00:47.000]  如果你不歸邊 就好像所羅門群島
[00:00:47.000 --> 00:00:51.000]  我希望做生意而已 兩邊都可以
[00:00:51.000 --> 00:00:53.000]  原來都不一定可以
[00:00:53.000 --> 00:01:01.000]  但另一方面我們看到不只是這個世界國和國之間的撕裂嚴重
[00:01:01.000 --> 00:01:07.000]  我們看到在今天 隨著各種不同的問題產生的時候
[00:01:07.000 --> 00:01:14.000]  國內都有很多不同的利益持份者
[00:01:14.000 --> 00:01:18.000]  都有一些撕裂的現象 彼此不服
[00:01:18.000 --> 00:01:22.000]  黨與黨彼此不服 民與民彼此不服
[00:01:22.000 --> 00:01:31.000]  特別是一個國家有多種民族不服的現象更加明顯
[00:01:31.000 --> 00:01:38.000]  另一方面我們看到謊言方面彼此不服
[00:01:38.000 --> 00:01:50.000]  更加可悲的是家庭有很多時候都隨著我們對各方面問題的不同看法而撕裂
[00:01:50.000 --> 00:01:52.000]  教會又如何呢?
[00:01:52.000 --> 00:01:55.000]  我最近去不同的教會的時候
[00:01:55.000 --> 00:02:04.000]  我都發現不少的教會在過去都因為一些看法的不同而產生一種撕裂的現象
[00:02:04.000 --> 00:02:09.000]  而這種撕裂是非常嚴重的撕裂
[00:02:09.000 --> 00:02:16.000]  因為這樣的緣故 有些弟兄姐妹去到另外一個國家的時候跟我說
[00:02:16.000 --> 00:02:24.000]  他們看到的好像教會和一般社會上所看到的東西毫無分別
[00:02:24.000 --> 00:02:28.000]  人們堅持己見以至導致撕裂
[00:02:28.000 --> 00:02:34.000]  原來教會內一樣有人堅持己見而導致撕裂
[00:02:34.000 --> 00:02:39.000]  我們今天就要跟大家來看一看
[00:02:39.000 --> 00:02:47.000]  本來整個世界是一樣的人 一個一個的家 一樣的言語
[00:02:47.000 --> 00:02:49.000]  全部都是一樣的
[00:02:49.000 --> 00:02:53.000]  但為什麼後來會四分五裂呢?
[00:02:53.000 --> 00:02:58.000]  所以我今天跟大家分享的是為何有巴別
[00:02:58.000 --> 00:03:05.000]  所謂巴別就是分裂 就是變亂 就是彼此不服
[00:03:05.000 --> 00:03:09.000]  撕裂是和這方面有關係
[00:03:09.000 --> 00:03:16.000]  而這個字本身也和巴比倫的字是同一個字根
[00:03:16.000 --> 00:03:22.000]  是因為這樣的緣故 當我們留意看到巴比倫 巴別
[00:03:22.000 --> 00:03:26.000]  我希望大家留意到其實是同出一源
[00:03:26.000 --> 00:03:35.000]  都是在美索不達米亞平原兩河流域一個大的城市的位置上
[00:03:35.000 --> 00:03:41.000]  我們首先看一看《創世紀》十一章一到四節
[00:03:41.000 --> 00:03:49.000]  聖經說:那時天下人的口音言語都是一樣
[00:03:49.000 --> 00:03:56.000]  他們往東邊遷移的時候 在士拿地遇見一片平原就住在那裡
[00:03:56.000 --> 00:04:02.000]  他們彼此商量說:奈巴 我們要造磚 把磚燒透
[00:04:02.000 --> 00:04:09.000]  他們就將磚當作石頭 又拿石灰 石漆當作灰泥
[00:04:09.000 --> 00:04:14.000]  他們說:奈巴 我們要興建一座城和一座塔
[00:04:14.000 --> 00:04:22.000]  塔頂要通天 要傳揚我們的名 免得我們分散在全地上
[00:04:22.000 --> 00:04:27.000]  跟大家來說一說 在這段聖經當中
[00:04:27.000 --> 00:04:33.000]  那時天下人的口音言語都是一樣
[00:04:33.000 --> 00:04:40.000]  是說到應該是第十章之前發生的事
[00:04:40.000 --> 00:04:45.000]  原來《創世紀》第十章就說到
[00:04:45.000 --> 00:04:55.000]  閃的後裔去了哪裡 含的後裔去了哪裡 瓦弗的後裔去了哪裡
[00:04:55.000 --> 00:05:00.000]  然後各自有自己的方言 自己的言語 自己的地圖
[00:05:00.000 --> 00:05:05.000]  但是來到十一章的時候 第一節就說
[00:05:05.000 --> 00:05:12.000]  天下人的口音言語都是一樣 而且他們都在一起
[00:05:12.000 --> 00:05:19.000]  是因為這樣的緣故 我相信作者為何先說了第十章
[00:05:19.000 --> 00:05:23.000]  然後回來十一章呢 是因為十一章裡面
[00:05:23.000 --> 00:05:28.000]  特別說到神要選擇的一個族裔
[00:05:28.000 --> 00:05:32.000]  這個族裔就是閃的族裔
[00:05:32.000 --> 00:05:40.000]  而由閃的族裔甚至要帶出阿伯拉罕
