
[00:00:00.000 --> 00:00:04.000]  各位聽眾你好
[00:00:04.000 --> 00:00:08.000]  對於我來說
[00:00:08.000 --> 00:00:12.000]  大家的面孔和環境是比較陌生的
[00:00:12.000 --> 00:00:16.000]  所以難怪剛才我到洗手間
[00:00:16.000 --> 00:00:20.000]  看到一個小朋友 男生大約五、六歲
[00:00:20.000 --> 00:00:24.000]  他按洗手盤時不夠力
[00:00:24.000 --> 00:00:28.000]  按來按去 按不到我就說我幫你
[00:00:28.000 --> 00:00:32.000]  他走過來 我以為他很樂意接受我的幫忙
[00:00:32.000 --> 00:00:36.000]  他走過來後 經過我面前走出門口
[00:00:36.000 --> 00:00:40.000]  我說你不用了 他不理我 走了出去
[00:00:40.000 --> 00:00:42.000]  我不知道是不是現在的少年人的特徵
[00:00:42.000 --> 00:00:46.000]  不過我發現成年人好很多 青年人好很多
[00:00:46.000 --> 00:00:48.000]  多謝主給我機會
[00:00:48.000 --> 00:00:52.000]  其實在不同的場合都有機會和平安方堂的弟子們交通
[00:00:52.000 --> 00:00:56.000]  所以感謝主給我機會再次來到大家當中
[00:00:56.000 --> 00:01:00.000]  今次下令會的主題是「成為我意象」
[00:01:00.000 --> 00:01:04.000]  我知道晚上接下來的四堂課都是由我負責講
[00:01:04.000 --> 00:01:06.000]  白天有另外一位講員要負責
[00:01:06.000 --> 00:01:10.000]  我思考了很久究竟在這段時間內和大家思考甚麼訊息呢?
[00:01:10.000 --> 00:01:12.000]  我選了四個
[00:01:12.000 --> 00:01:16.000]  我想預先宣告一下
[00:01:16.000 --> 00:01:20.000]  我分了四個題目 選了四段情經和大家思想
[00:01:20.000 --> 00:01:24.000]  今晚我和大家講「成為我意象」的目標
[00:01:24.000 --> 00:01:30.000]  究竟基督徒怎樣才是「成為我意象」的目標呢?
[00:01:30.000 --> 00:01:32.000]  我會找段情經和大家分享
[00:01:32.000 --> 00:01:40.000]  明晚我會和大家講「成為我意象」的一個很關鍵的地方
[00:01:40.000 --> 00:01:44.000]  究竟為何這麼難成為主的意象呢?
[00:01:44.000 --> 00:01:48.000]  為何這麼難將神的托付成為我們自己的意象呢?
[00:01:48.000 --> 00:01:52.000]  明晚我會講「成為我意象」的關鍵
[00:01:52.000 --> 00:01:58.000]  第三晚我會和大家思考「成為我意象」的動力
[00:01:58.000 --> 00:02:08.000]  如何能夠持續地有魄力和心智去完成上帝給我們的意象
[00:02:08.000 --> 00:02:11.000]  第四晚 除非你有反對
[00:02:11.000 --> 00:02:12.000]  如果你有反對可以告訴我
