
[00:00:00.000 --> 00:00:08.000]  今年我們選擇讀《約伯記》
[00:00:08.000 --> 00:00:11.000]  今次是第四次
[00:00:11.000 --> 00:00:16.000]  不過由年頭到現在的確是隔了很遠
[00:00:16.000 --> 00:00:21.000]  中間這兩次,第三、第四次
[00:00:21.000 --> 00:00:34.000]  我們是來討論約伯的三個朋友和約伯之間的對白
[00:00:34.000 --> 00:00:40.000]  通常我們讀《約伯記》就是讀頭兩章,然後跳到最後兩章就到完啦
[00:00:40.000 --> 00:00:45.000]  很快樂,我們認識約伯的故事,我們很安樂
[00:00:45.000 --> 00:00:48.000]  上帝賞賜他
[00:00:48.000 --> 00:00:52.000]  但其實《約伯記》有42章
[00:00:52.000 --> 00:00:58.000]  即是你讀了四章都未夠十分之一
[00:00:58.000 --> 00:01:06.000]  另外十分之九就是記載三個朋友和約伯的討論
[00:01:06.000 --> 00:01:10.000]  他們說的東西是錯的,誰說的錯話?上帝
[00:01:10.000 --> 00:01:15.000]  我們一口咬定,錯的就不用看了
[00:01:15.000 --> 00:01:24.000]  如果是這樣的話,那聖經為甚麼花這麼多篇幅來記載這些錯的說話呢?
[00:01:24.000 --> 00:01:28.000]  《約伯記》的作者在騙稿費?不是的
[00:01:28.000 --> 00:01:32.000]  所以上一次我們嘗試指出
[00:01:32.000 --> 00:01:40.000]  其實《約伯記》有三段關於朋友的記載
[00:01:40.000 --> 00:01:45.000]  你有沒有印象?還是不要了,太多事情發生了,不會記得了
[00:01:45.000 --> 00:01:50.000]  二章第十一、十三節一開始介紹
[00:01:50.000 --> 00:01:55.000]  約伯有三個好朋友,他們約在一起
[00:01:55.000 --> 00:01:59.000]  聽到約伯遭遇的災禍
[00:01:59.000 --> 00:02:03.000]  他們要來安慰約伯
[00:02:03.000 --> 00:02:07.000]  他們不是要來和約伯辯論
[00:02:07.000 --> 00:02:12.000]  我們趁你受苦,討論一下二人受苦的問題
[00:02:12.000 --> 00:02:16.000]  這樣真的很風涼、很冷血
[00:02:16.000 --> 00:02:19.000]  不是,他們唯一的目的,你讀清楚一點
[00:02:19.000 --> 00:02:23.000]  第二章結束,三個朋友遠道而來
[00:02:23.000 --> 00:02:28.000]  他們是要安慰約伯
[00:02:28.000 --> 00:02:31.000]  於是我們就自作聰明了
[00:02:31.000 --> 00:02:34.000]  不過不是你們,是我們港道的人
[00:02:34.000 --> 00:02:37.000]  三個朋友不開口更好
[00:02:37.000 --> 00:02:40.000]  所以探病應該沉默,拿一束花去
[00:02:40.000 --> 00:02:42.000]  一句話都不說
[00:02:42.000 --> 00:02:46.000]  約伯三個朋友錯,就錯在他們開口
[00:02:46.000 --> 00:02:53.000]  是不是約伯的朋友
[00:02:53.000 --> 00:02:57.000]  只是陪約伯,一聲不吭
[00:02:57.000 --> 00:03:00.000]  就達到安慰的目的呢?
[00:03:01.000 --> 00:03:06.000]  見仁見智,因人而異
[00:03:06.000 --> 00:03:10.000]  有些人的確是的,你去幫他做一下事
[00:03:10.000 --> 00:03:14.000]  去到現在不能探病,以前醫院倒杯水
[00:03:14.000 --> 00:03:18.000]  剝個橙,我住醫院住得多了
[00:03:18.000 --> 00:03:22.000]  最好的就是我有個姨媽,她是做護士的
[00:03:22.000 --> 00:03:26.000]  今年96歲,仍然頭腦很清醒的
[00:03:26.000 --> 00:03:28.000]  不過近的事情什麼都不記得
[00:03:28.000 --> 00:03:33.000]  她來探我,我打了石膏,兩隻腳躺在床上不能動
[00:03:33.000 --> 00:03:38.000]  她懂得跟我逐隻腳趾仔捏
[00:03:38.000 --> 00:03:42.000]  一句話都不說,就是做事的
[00:03:42.000 --> 00:03:46.000]  護士的訓練,我到現在都記得
[00:03:46.000 --> 00:03:50.000]  感激到現在都這麼真實
[00:03:50.000 --> 00:03:55.000]  不過,三十二章開頭
[00:03:55.000 --> 00:04:00.000]  約伯告訴我們,三個朋友的說話
[00:04:00.000 --> 00:04:06.000]  其實又迫使約伯反省自己
[00:04:06.000 --> 00:04:11.000]  約伯的確是一個異人
[00:04:11.000 --> 00:04:16.000]  不是中文聖經翻譯「自以為異」
[00:04:16.000 --> 00:04:20.000]  我們中文聖經翻譯錯了這些說話
[00:04:20.000 --> 00:04:30.000]  希伯來文是說,在他自己的眼中是異人
