
[00:00:00.000 --> 00:00:06.400]  大兄姐妹 我們今天一起去看的經文
[00:00:06.400 --> 00:00:09.800]  就是這個《馬太福音》的第七章
[00:00:09.800 --> 00:00:14.000]  我們會從第七至十一節的經文一起去看
[00:00:14.000 --> 00:00:16.480]  看的主題就是信耶穌
[00:00:16.480 --> 00:00:20.520]  不是可以使我們心想事成的嗎?
[00:00:20.520 --> 00:00:23.320]  這個題目我相信很多大兄姐妹
[00:00:23.320 --> 00:00:25.600]  對於這段經文當你去看的時候
[00:00:25.600 --> 00:00:28.920]  你自己都可能未必有這樣的理解
[00:00:28.920 --> 00:00:32.480]  因為這段經文很多時候我們在
[00:00:32.480 --> 00:00:37.520]  比如一些福音聚會、報道會
[00:00:37.520 --> 00:00:40.240]  主日崇拜等等的時間
[00:00:40.240 --> 00:00:43.000]  很多目者都很喜歡引用這段聖經
[00:00:43.000 --> 00:00:45.880]  來引導人
[00:00:45.880 --> 00:00:48.200]  說得好聽叫引導人
[00:00:48.200 --> 00:00:52.880]  或者說得不好聽的就是去推銷給人
[00:00:52.880 --> 00:00:58.440]  我們怎樣才能夠吸引人來參加教會
[00:00:58.440 --> 00:01:01.840]  並且成為教會的一份子
[00:01:01.840 --> 00:01:06.200]  但是究竟這段經文是想說些什麼呢?
[00:01:06.200 --> 00:01:10.720]  這段經文如果我們一直看登山寶物的時候
[00:01:10.720 --> 00:01:13.600]  都曾經提過一個很重要的原則
[00:01:13.600 --> 00:01:17.760]  就是如果我們解釋這段經文只是騰空這段經文
[00:01:17.760 --> 00:01:20.800]  自己獨立的去解釋的話
[00:01:20.800 --> 00:01:25.720]  就會很容易去誤解這段經文的內容
[00:01:25.720 --> 00:01:30.360]  特別這段聖經的頭七和第八節裡面
[00:01:30.360 --> 00:01:33.960]  很多時候都會被一些傳道人、目者
[00:01:33.960 --> 00:01:36.280]  說到信耶穌啦
[00:01:36.280 --> 00:01:38.040]  信這個上帝啦
[00:01:38.040 --> 00:01:40.320]  這個上帝很豐富的
[00:01:40.320 --> 00:01:42.280]  只要你相信他的時候
[00:01:42.280 --> 00:01:44.400]  你求什麼都求得到的
[00:01:44.400 --> 00:01:48.120]  你找些什麼你都會找得到的
[00:01:48.120 --> 00:01:51.400]  究竟是不是這段聖經本身原本的事情
[00:01:51.400 --> 00:01:53.840]  就是要陳述的內容呢?
